"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BAZHENOV Aleksandr","RUS",1995,"","","Tq"
"2",NA,"BOYARINTSEV Vladislav","RUS",1994,"","","Tq"
"3",NA,"DESCHWANDEN Gregor","SUI",1991,"","","Tq"
"4",NA,"HAZETDINOV Ilmir","RUS",1991,"","","Tq"
"5",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"6",NA,"LANISEK Anze","SLO",1996,"","","Tq"
"7",NA,"MOGEL Zak","SLO",2001,"","","Tq"
"8",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"9",NA,"NAGLIC Tomaz","SLO",1989,"","","Tq"
"10",NA,"NAZAROV Mikhail","RUS",1994,"","","Tq"
"11",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"12",NA,"USACHEV Egor","RUS",1991,"","","Tq"
"13",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"14",1,"KOBAYASHI Ryoyu","JPN",1996,"132,5","133,5","273,1"
"15",2,"FORFANG Johann Andre","NOR",1995,"132,5","130","259,2"
"16",3,"ZYLA Piotr","POL",1987,"126","133","258,9"
"17",4,"STOCH Kamil","POL",1987,"129,5","129,5","257,8"
"18",5,"GEIGER Karl","GER",1993,"128","128","248,7"
"19",6,"AALTO Antti","FIN",1995,"129","126","246,6"
"20",7,"FANNEMEL Anders","NOR",1991,"128,5","128,5","246,5"
"21",8,"KLIMOV Evgeniy","RUS",1994,"126","129","243,2"
"22",9,"JOHANSSON Robert","NOR",1990,"126","124,5","238"
"23",10,"EISENBICHLER Markus","GER",1991,"124,5","127","236,9"
"24",11,"KUBACKI Dawid","POL",1990,"126","127","236,4"
"25",12,"PEIER Killian","SUI",1995,"129,5","119,5","235,3"
"26",13,"WELLINGER Andreas","GER",1995,"125","123,5","233,7"
"27",14,"PREVC Domen","SLO",1999,"134","116,5","233,6"
"28",15,"ZOGRAFSKI Vladimir","BUL",1993,"125","123","232,2"
"29",16,"FETTNER Manuel","AUT",1985,"122,5","126","231,8"
"30",17,"KOUDELKA Roman","CZE",1989,"125","120,5","231,3"
"31",18,"NAKAMURA Naoki","JPN",1996,"125,5","119","230,1"
"32",19,"KOBAYASHI Junshiro","JPN",1991,"121,5","124,5","229,5"
"33",20,"KRAFT Stefan","AUT",1993,"131","117","229,4"
"34",21,"TANDE Daniel Andre","NOR",1994,"125","121","228,4"
"35",22,"POLASEK Viktor","CZE",1997,"121","124","228"
"36",23,"ITO Daiki","JPN",1985,"124","121","227,6"
"37",24,"ZAJC Timi","SLO",2000,"123","121,5","223,6"
"38",25,"LEYHE Stephan","GER",1992,"127","114","221,6"
"39",26,"BICKNER Kevin","USA",1996,"129","114,5","219,4"
"40",27,"INSAM Alex","ITA",1997,"121,5","119","219,2"
"41",28,"HUBER Daniel","AUT",1993,"124","120,5","218,5"
"42",29,"SIEGEL David","GER",1996,"121,5","116","213,4"
"43",30,"FREUND Severin","GER",1988,"123,5","112,5","213"
"44",31,"FREITAG Richard","GER",1991,"129","118,5","210,4"
"45",32,"VASSILIEV Dimitry","RUS",1979,"120","","110,1"
"46",33,"SCHULER Andreas","SUI",1995,"122,5","","109,7"
"47",34,"KASAI Noriaki","JPN",1972,"120,5","","109,1"
"48",35,"DAMJAN Jernej","SLO",1983,"121","","108,7"
"49",36,"HULA Stefan","POL",1986,"117,5","","106"
"50",37,"GRANERUD Halvor Egner","NOR",1996,"120","","105,4"
"51",38,"BOYD-CLOWES Mackenzie","CAN",1991,"118","","104,6"
"52",39,"TAKEUCHI Taku","JPN",1987,"116","","101,7"
"53",40,"ASCHENWALD Philipp","AUT",1995,"118","","101,3"
"54",41,"KOT Maciej","POL",1991,"117,5","","100,8"
"55",42,"HLAVA Lukas","CZE",1984,"117,5","","100,5"
"56",43,"AIGNER Clemens","AUT",1993,"117,5","","100,2"
"57",44,"TROFIMOV Roman Sergeevich","RUS",1989,"115,5","","99,8"
"58",45,"SCHLIERENZAUER Gregor","AUT",1990,"115,5","","97,8"
"59",46,"RINGEN Sondre","NOR",1996,"115","","95,4"
"60",47,"KOZISEK Cestmir","CZE",1991,"112","","93,1"
"61",48,"MAEAETTAE Jarkko","FIN",1994,"112,5","","89,1"
"62",49,"MAKSIMOCHKIN Mikhail","RUS",1993,"109,5","","83,1"
"63",50,"PAVLOVCIC Bor","SLO",1998,"107,5","","81,4"
