"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BAZHENOV Aleksandr","RUS",1995,"","","Tq"
"2",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"3",NA,"ITO Kenshiro","JPN",1990,"","","Tq"
"4",NA,"LINDVIK Marius","NOR",1998,"","","Tq"
"5",NA,"TAKEUCHI Taku","JPN",1987,"","","Tq"
"6",NA,"NAITO Tomofumi","JPN",1993,"","","DSQF"
"7",NA,"NAZAROV Mikhail","RUS",1994,"","","DSQF"
"8",NA,"PEDERSEN Robin","NOR",1996,"","","DSQF"
"9",1,"KRAFT Stefan","AUT",1993,"135","128,5","248,2"
"10",2,"ZAJC Timi","SLO",2000,"138,5","125","238,4"
"11",3,"KOBAYASHI Ryoyu","JPN",1996,"124,5","129,5","236,6"
"12",4,"GRANERUD Halvor Egner","NOR",1996,"131","129","236,1"
"13",4,"ZYLA Piotr","POL",1987,"139,5","127","236,1"
"14",6,"STOCH Kamil","POL",1987,"126,5","131,5","232,3"
"15",7,"KASAI Noriaki","JPN",1972,"131,5","127,5","229,9"
"16",8,"LEYHE Stephan","GER",1992,"133,5","126,5","228,6"
"17",9,"JOHANSSON Robert","NOR",1990,"130,5","125","227,5"
"18",10,"FORFANG Johann Andre","NOR",1995,"125,5","128","226,1"
"19",11,"LANISEK Anze","SLO",1996,"131,5","124","224,6"
"20",12,"KUBACKI Dawid","POL",1990,"127,5","130,5","221,5"
"21",13,"PREVC Domen","SLO",1999,"127,5","128,5","220,4"
"22",14,"KOUDELKA Roman","CZE",1989,"129","123","220,1"
"23",15,"HOERL Jan","AUT",1998,"117","136,5","216,9"
"24",16,"EISENBICHLER Markus","GER",1991,"128,5","122","213,9"
"25",17,"WELLINGER Andreas","GER",1995,"121,5","134","212,5"
"26",18,"HUBER Daniel","AUT",1993,"132","120","212,2"
"27",19,"FETTNER Manuel","AUT",1985,"127","117,5","211,4"
"28",20,"NAKAMURA Naoki","JPN",1996,"122,5","125,5","207,2"
"29",21,"KOT Maciej","POL",1991,"125","119,5","200,4"
"30",22,"KOBAYASHI Junshiro","JPN",1991,"125,5","118","200"
"31",23,"SATO Keiichi","JPN",1997,"126","120","199,8"
"32",24,"SEMENIC Anze","SLO",1993,"121,5","124","198,6"
"33",25,"HULA Stefan","POL",1986,"124","118","193,9"
"34",26,"ITO Daiki","JPN",1985,"121,5","118","189"
"35",27,"PEIER Killian","SUI",1995,"121","115","181,7"
"36",28,"SATO Yukiya","JPN",1995,"118","110","179,6"
"37",29,"BARTOL Tilen","SLO",1997,"121","113","178,4"
"38",30,"WOLNY Jakub","POL",1995,"119","110,5","175,5"
"39",31,"AIGNER Clemens","AUT",1993,"119","","93,6"
"40",32,"JELAR Ziga","SLO",1997,"117,5","","92,6"
"41",33,"TOCHIMOTO Shohei","JPN",1989,"119,5","","92,3"
"42",34,"POLASEK Viktor","CZE",1997,"118","","92,2"
"43",35,"GEIGER Karl","GER",1993,"116,5","","86,2"
"44",36,"BAER Moritz","GER",1997,"115,5","","83,5"
"45",37,"FANNEMEL Anders","NOR",1991,"111","","81,7"
"46",38,"HARADA Yumu","JPN",1990,"114","","80,9"
"47",39,"HAZETDINOV Ilmir","RUS",1991,"113,5","","79,9"
"48",40,"HOFFMANN Felix","GER",1997,"109,5","","78,8"
"49",41,"LEITNER Clemens","AUT",1998,"108,5","","77,1"
"50",41,"SCHULER Andreas","SUI",1995,"113,5","","77,1"
"51",43,"SAKUYAMA Kento","JPN",1990,"107,5","","74"
"52",44,"LARSON Casey","USA",1998,"104","","67,8"
"53",45,"SCHIFFNER Markus","AUT",1992,"107","","67,1"
"54",46,"SOUKUP Matthew","CAN",1997,"105","","66"
"55",47,"KOZISEK Cestmir","CZE",1991,"101,5","","65,3"
