"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"LOEYTAEINEN Niko","FIN",1998,"",NA,"DSQF"
"2",1,"KOBAYASHI Ryoyu","JPN",1996,"138,5",NA,"142"
"3",2,"STOCH Kamil","POL",1987,"140,5",NA,"139,9"
"4",3,"ZYLA Piotr","POL",1987,"136",NA,"135"
"5",4,"PREVC Domen","SLO",1999,"146",NA,"133,6"
"6",5,"GEIGER Karl","GER",1993,"135",NA,"133,5"
"7",6,"ZOGRAFSKI Vladimir","BUL",1993,"140",NA,"133,4"
"8",7,"ZAJC Timi","SLO",2000,"136",NA,"131,8"
"9",8,"JOHANSSON Robert","NOR",1990,"132",NA,"129,9"
"10",9,"WELLINGER Andreas","GER",1995,"132,5",NA,"129,8"
"11",10,"LANISEK Anze","SLO",1996,"135,5",NA,"126,8"
"12",11,"WOLNY Jakub","POL",1995,"132,5",NA,"126,7"
"13",12,"SCHLIERENZAUER Gregor","AUT",1990,"135,5",NA,"124,9"
"14",13,"FORFANG Johann Andre","NOR",1995,"131,5",NA,"124,2"
"15",14,"HUBER Daniel","AUT",1993,"134",NA,"123"
"16",15,"EISENBICHLER Markus","GER",1991,"129,5",NA,"121,9"
"17",16,"LEYHE Stephan","GER",1992,"125,5",NA,"121,7"
"18",17,"KOBAYASHI Junshiro","JPN",1991,"132,5",NA,"119,4"
"19",18,"HLAVA Lukas","CZE",1984,"132",NA,"118,9"
"20",19,"KOUDELKA Roman","CZE",1989,"130",NA,"118,3"
"21",20,"HULA Stefan","POL",1986,"133,5",NA,"118"
"22",21,"FREITAG Richard","GER",1991,"128,5",NA,"117,9"
"23",22,"FETTNER Manuel","AUT",1985,"130,5",NA,"117,4"
"24",23,"DAMJAN Jernej","SLO",1983,"129,5",NA,"114,4"
"25",24,"GRANERUD Halvor Egner","NOR",1996,"130,5",NA,"113"
"26",24,"MOGEL Zak","SLO",2001,"130",NA,"113"
"27",26,"KRAFT Stefan","AUT",1993,"126,5",NA,"112,6"
"28",27,"BOYD-CLOWES Mackenzie","CAN",1991,"129,5",NA,"112,5"
"29",28,"NAKAMURA Naoki","JPN",1996,"126",NA,"111,6"
"30",29,"FREUND Severin","GER",1988,"128,5",NA,"109,5"
"31",30,"DESCHWANDEN Gregor","SUI",1991,"127,5",NA,"107"
"32",31,"KLIMOV Evgeniy","RUS",1994,"121,5",NA,"106,9"
"33",32,"AALTO Antti","FIN",1995,"122",NA,"106,7"
"34",33,"PAVLOVCIC Bor","SLO",1998,"124",NA,"106"
"35",33,"TANDE Daniel Andre","NOR",1994,"124",NA,"106"
"36",35,"KUBACKI Dawid","POL",1990,"120",NA,"105"
"37",36,"FANNEMEL Anders","NOR",1991,"122,5",NA,"104"
"38",37,"AMMANN Simon","SUI",1981,"122,5",NA,"103,8"
"39",38,"KASAI Noriaki","JPN",1972,"126",NA,"103,1"
"40",39,"AIGRO Artti","EST",1999,"124",NA,"102,8"
"41",40,"KORNILOV Denis","RUS",1986,"125",NA,"101"
"42",41,"PEIER Killian","SUI",1995,"117,5",NA,"97,5"
"43",42,"ASCHENWALD Philipp","AUT",1995,"120",NA,"96,8"
"44",42,"STJERNEN Andreas","NOR",1988,"118,5",NA,"96,8"
"45",44,"AIGNER Clemens","AUT",1993,"118,5",NA,"96,2"
"46",45,"MAEAETTAE Jarkko","FIN",1994,"116,5",NA,"91"
"47",46,"VASSILIEV Dimitry","RUS",1979,"121",NA,"90,8"
"48",47,"NOUSIAINEN Eetu","FIN",1997,"114",NA,"83,6"
"49",48,"NAZAROV Mikhail","RUS",1994,"113,5",NA,"82,4"
"50",49,"SIEGEL David","GER",1996,"111,5",NA,"79,6"
"51",50,"LEAROYD Jonathan","FRA",2000,"110,5",NA,"76,8"
"52",51,"POLASEK Viktor","CZE",1997,"111",NA,"76,6"
"53",52,"ITO Daiki","JPN",1985,"109,5",NA,"75,8"
"54",53,"KOT Maciej","POL",1991,"106",NA,"70,3"
"55",54,"KOZISEK Cestmir","CZE",1991,"104,5",NA,"70,2"
"56",55,"HAYBOECK Michael","AUT",1991,"101,5",NA,"68,4"
"57",56,"SCHULER Andreas","SUI",1995,"100,5",NA,"65,1"
"58",57,"NOMME Martti","EST",1993,"103",NA,"64,7"
"59",58,"TAKEUCHI Taku","JPN",1987,"103",NA,"54,4"
"60",59,"BICKNER Kevin","USA",1996,"93",NA,"43,4"
"61",60,"SEMENIC Anze","SLO",1993,"94",NA,"41,9"
"62",61,"KYTOESAHO Niko","FIN",1999,"88",NA,"39,8"
"63",62,"ALAMOMMO Andreas","FIN",1998,"92,5",NA,"37"
"64",63,"HEIKKINEN Kalle","FIN",1999,"90,5",NA,"35,2"
"65",64,"TAEHKAEVUORI Frans","FIN",1992,"90",NA,"27,5"
