"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"2",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"3",NA,"HAYBOECK Michael","AUT",1991,"","","Tq"
"4",NA,"HEIKKINEN Kalle","FIN",1999,"","","Tq"
"5",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"6",NA,"KOT Maciej","POL",1991,"","","Tq"
"7",NA,"KYTOESAHO Niko","FIN",1999,"","","Tq"
"8",NA,"LEAROYD Jonathan","FRA",2000,"","","Tq"
"9",NA,"LOEYTAEINEN Niko","FIN",1998,"","","Tq"
"10",NA,"NOMME Martti","EST",1993,"","","Tq"
"11",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"12",NA,"SCHLIERENZAUER Gregor","AUT",1990,"","","Tq"
"13",NA,"TAEHKAEVUORI Frans","FIN",1992,"","","Tq"
"14",NA,"TAKEUCHI Taku","JPN",1987,"","","Tq"
"15",NA,"VASSILIEV Dimitry","RUS",1979,"","","Tq"
"16",1,"KOBAYASHI Ryoyu","JPN",1996,"140","147,5","310,4"
"17",2,"WELLINGER Andreas","GER",1995,"136","145,5","288,4"
"18",3,"STOCH Kamil","POL",1987,"136,5","144","285,4"
"19",4,"PREVC Domen","SLO",1999,"136,5","142,5","274,8"
"20",5,"ZYLA Piotr","POL",1987,"133,5","139,5","274"
"21",6,"LEYHE Stephan","GER",1992,"136,5","137,5","268,9"
"22",7,"JOHANSSON Robert","NOR",1990,"134","139","268"
"23",8,"GEIGER Karl","GER",1993,"135","138","267,4"
"24",9,"FORFANG Johann Andre","NOR",1995,"131,5","137,5","264,8"
"25",10,"KRAFT Stefan","AUT",1993,"128","139","264,3"
"26",11,"ZAJC Timi","SLO",2000,"130","135","256"
"27",12,"KUBACKI Dawid","POL",1990,"130","133","254,5"
"28",13,"WOLNY Jakub","POL",1995,"125,5","134","254,2"
"29",14,"FREITAG Richard","GER",1991,"126","133,5","253,1"
"30",15,"FETTNER Manuel","AUT",1985,"124","133","248,9"
"31",16,"ASCHENWALD Philipp","AUT",1995,"129","132","247,4"
"32",17,"KOUDELKA Roman","CZE",1989,"128,5","130","246,7"
"33",18,"KOBAYASHI Junshiro","JPN",1991,"123,5","133","246,5"
"34",19,"AIGRO Artti","EST",1999,"130","128,5","246,1"
"35",20,"MOGEL Zak","SLO",2001,"124,5","134,5","244"
"36",21,"LANISEK Anze","SLO",1996,"125,5","130","242,4"
"37",22,"SIEGEL David","GER",1996,"119","128,5","239,4"
"38",23,"NAKAMURA Naoki","JPN",1996,"129,5","123","238,7"
"39",24,"TANDE Daniel Andre","NOR",1994,"120,5","127,5","237,1"
"40",25,"EISENBICHLER Markus","GER",1991,"124,5","124,5","233,1"
"41",26,"KLIMOV Evgeniy","RUS",1994,"129,5","125","232,2"
"42",27,"GRANERUD Halvor Egner","NOR",1996,"122,5","126,5","231,7"
"43",28,"PEIER Killian","SUI",1995,"120","126","231"
"44",29,"MAEAETTAE Jarkko","FIN",1994,"128","120","222,7"
"45",30,"SCHULER Andreas","SUI",1995,"129","117","222,1"
"46",31,"FREUND Severin","GER",1988,"120","","109,5"
"47",32,"ITO Daiki","JPN",1985,"121,5","","108,9"
"48",33,"AALTO Antti","FIN",1995,"120","","108,2"
"49",34,"HLAVA Lukas","CZE",1984,"120","","107,6"
"50",35,"DESCHWANDEN Gregor","SUI",1991,"121","","107,3"
"51",36,"PAVLOVCIC Bor","SLO",1998,"118,5","","106,9"
"52",37,"DAMJAN Jernej","SLO",1983,"118,5","","105,9"
"53",38,"KASAI Noriaki","JPN",1972,"121,5","","105,6"
"54",39,"NAZAROV Mikhail","RUS",1994,"121,5","","105,2"
"55",40,"FANNEMEL Anders","NOR",1991,"117","","102,8"
"56",41,"AIGNER Clemens","AUT",1993,"117,5","","102,3"
"57",42,"POLASEK Viktor","CZE",1997,"115,5","","101,8"
"58",43,"KOZISEK Cestmir","CZE",1991,"117,5","","98,6"
"59",44,"HULA Stefan","POL",1986,"112","","98,2"
"60",45,"BOYD-CLOWES Mackenzie","CAN",1991,"114,5","","97,8"
"61",46,"HUBER Daniel","AUT",1993,"113,5","","94,4"
"62",47,"SEMENIC Anze","SLO",1993,"109","","80,3"
"63",48,"ZOGRAFSKI Vladimir","BUL",1993,"108,5","","77,7"
"64",49,"BICKNER Kevin","USA",1996,"102,5","","77,6"
"65",50,"STJERNEN Andreas","NOR",1988,"83,5","","14,7"
