"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"SCHLIERENZAUER Gregor","AUT",1990,"","","DSQF"
"2",1,"KOBAYASHI Ryoyu","JPN",1996,"146","144","274,4"
"3",2,"EISENBICHLER Markus","GER",1991,"140","141,5","252,8"
"4",3,"ZYLA Piotr","POL",1987,"142","137,5","250"
"5",4,"FREITAG Richard","GER",1991,"138","144","249,6"
"6",5,"KUBACKI Dawid","POL",1990,"143","139","249,3"
"7",6,"GEIGER Karl","GER",1993,"137,5","138,5","243"
"8",7,"STOCH Kamil","POL",1987,"138,5","134,5","242,5"
"9",8,"ZAJC Timi","SLO",2000,"140","135,5","242,2"
"10",9,"FORFANG Johann Andre","NOR",1995,"141","134,5","240"
"11",10,"KRAFT Stefan","AUT",1993,"133","135","237,4"
"12",11,"PEIER Killian","SUI",1995,"134","137,5","234,8"
"13",12,"HUBER Daniel","AUT",1993,"135","138","234,7"
"14",13,"KLIMOV Evgeniy","RUS",1994,"133","134,5","233,1"
"15",14,"GRANERUD Halvor Egner","NOR",1996,"133,5","134,5","232,2"
"16",15,"JOHANSSON Robert","NOR",1990,"140,5","130,5","228,4"
"17",16,"WOLNY Jakub","POL",1995,"137","134,5","228"
"18",17,"ASCHENWALD Philipp","AUT",1995,"141","129","227,1"
"19",18,"KOBAYASHI Junshiro","JPN",1991,"135,5","137","225,8"
"20",19,"WELLINGER Andreas","GER",1995,"134","134","224,8"
"21",20,"HAYBOECK Michael","AUT",1991,"135","135,5","223,2"
"22",21,"SCHMID Constantin","GER",1999,"135,5","130","220,6"
"23",22,"LEYHE Stephan","GER",1992,"133","135,5","219,4"
"24",23,"AMMANN Simon","SUI",1981,"133,5","132,5","216,7"
"25",24,"KOUDELKA Roman","CZE",1989,"131,5","134,5","215,4"
"26",25,"AALTO Antti","FIN",1995,"131,5","135","215,2"
"27",26,"JELAR Ziga","SLO",1997,"130","133","212,2"
"28",27,"ITO Daiki","JPN",1985,"135","127","210,6"
"29",28,"FETTNER Manuel","AUT",1985,"132","127","207,2"
"30",29,"SEMENIC Anze","SLO",1993,"133,5","128","199,6"
"31",30,"KOT Maciej","POL",1991,"133,5","126","195,1"
"32",31,"FANNEMEL Anders","NOR",1991,"130,5","","94,1"
"33",32,"PREVC Domen","SLO",1999,"128","","90,3"
"34",33,"LINDVIK Marius","NOR",1998,"130","","88,9"
"35",34,"HULA Stefan","POL",1986,"127,5","","88,5"
"36",35,"SATO Yukiya","JPN",1995,"127,5","","88"
"37",36,"KASAI Noriaki","JPN",1972,"128","","87,3"
"38",37,"DAMJAN Jernej","SLO",1983,"125","","86,1"
"39",38,"MARKENG Thomas Aasen","NOR",2000,"117","","85,7"
"40",39,"HAMANN Martin","GER",1997,"128,5","","84"
"41",40,"PREVC Peter","SLO",1992,"126","","83,4"
"42",41,"POLASEK Viktor","CZE",1997,"121,5","","80,1"
"43",42,"HOERL Jan","AUT",1998,"118","","76,1"
"44",43,"PAVLOVCIC Bor","SLO",1998,"113,5","","75,2"
"45",44,"NOUSIAINEN Eetu","FIN",1997,"108,5","","67,2"
"46",45,"SCHULER Andreas","SUI",1995,"106,5","","66,5"
"47",46,"INSAM Alex","ITA",1997,"110","","63,6"
"48",47,"HLAVA Lukas","CZE",1984,"111","","58,6"
"49",48,"BOYD-CLOWES Mackenzie","CAN",1991,"112","","57,7"
"50",49,"ALAMOMMO Andreas","FIN",1998,"101","","50,7"
