"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"2",NA,"BRESADOLA Davide","ITA",1988,"","","Tq"
"3",NA,"BRESADOLA Giovanni","ITA",2001,"","","Tq"
"4",NA,"CECON Federico","ITA",1994,"","","Tq"
"5",NA,"COLLOREDO Sebastian","ITA",1987,"","","Tq"
"6",NA,"FANNEMEL Anders","NOR",1991,"","","Tq"
"7",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"8",NA,"TOCHIMOTO Shohei","JPN",1989,"","","Tq"
"9",NA,"EISENBICHLER Markus","GER",1991,"","","DSQK"
"10",1,"KOBAYASHI Ryoyu","JPN",1996,"135","136","315"
"11",2,"KUBACKI Dawid","POL",1990,"122","131,5","288,5"
"12",3,"STOCH Kamil","POL",1987,"121,5","133,5","282,9"
"13",4,"KRAFT Stefan","AUT",1993,"121,5","129,5","281,6"
"14",5,"LEYHE Stephan","GER",1992,"119,5","127,5","275,1"
"15",6,"KOUDELKA Roman","CZE",1989,"120","129,5","271,9"
"16",7,"ZYLA Piotr","POL",1987,"121,5","127","270"
"17",8,"FETTNER Manuel","AUT",1985,"114,5","132,5","269,7"
"18",9,"PEIER Killian","SUI",1995,"118,5","130,5","269,3"
"19",10,"SEMENIC Anze","SLO",1993,"120,5","128,5","268,4"
"20",11,"FORFANG Johann Andre","NOR",1995,"115","130","267,4"
"21",12,"ZAJC Timi","SLO",2000,"114","130","266,3"
"22",13,"JOHANSSON Robert","NOR",1990,"115","128","266"
"23",14,"SIEGEL David","GER",1996,"115","130","265,3"
"24",15,"AMMANN Simon","SUI",1981,"117,5","129,5","265,2"
"25",16,"SATO Yukiya","JPN",1995,"118","125","264,9"
"26",17,"FREITAG Richard","GER",1991,"119,5","129","264,4"
"27",18,"LANISEK Anze","SLO",1996,"117,5","127","261,1"
"28",19,"GEIGER Karl","GER",1993,"116","127","260,1"
"29",20,"STJERNEN Andreas","NOR",1988,"116","126","257,6"
"30",21,"KOBAYASHI Junshiro","JPN",1991,"119,5","123,5","256,3"
"31",22,"ASCHENWALD Philipp","AUT",1995,"125","120,5","256"
"32",23,"AALTO Antti","FIN",1995,"116,5","124,5","255,5"
"33",24,"HUBER Daniel","AUT",1993,"115","125,5","255,1"
"34",25,"GRANERUD Halvor Egner","NOR",1996,"115","125","252,5"
"35",26,"WELLINGER Andreas","GER",1995,"115,5","123","251,5"
"36",27,"DAMJAN Jernej","SLO",1983,"117,5","123,5","250,8"
"37",28,"ZOGRAFSKI Vladimir","BUL",1993,"116,5","124","250,2"
"38",29,"HULA Stefan","POL",1986,"116,5","125","248,4"
"39",30,"SCHIFFNER Markus","AUT",1992,"116,5","123,5","247,6"
"40",31,"POLASEK Viktor","CZE",1997,"112,5","","115,7"
"41",32,"HOERL Jan","AUT",1998,"113","","113,9"
"42",33,"HAYBOECK Michael","AUT",1991,"110,5","","112,3"
"43",34,"KOT Maciej","POL",1991,"112,5","","111,7"
"44",35,"KOZISEK Cestmir","CZE",1991,"111,5","","110,3"
"45",36,"ITO Daiki","JPN",1985,"108","","109,8"
"46",36,"NAKAMURA Naoki","JPN",1996,"109","","109,8"
"47",38,"BOYD-CLOWES Mackenzie","CAN",1991,"113","","109,1"
"48",39,"BARTOL Tilen","SLO",1997,"111,5","","107,1"
"49",40,"PREVC Peter","SLO",1992,"110","","106,9"
"50",40,"WOLNY Jakub","POL",1995,"109","","106,9"
"51",42,"MUMINOV Sabirzhan","KAZ",1994,"112","","105,9"
"52",43,"ALAMOMMO Andreas","FIN",1998,"107,5","","105,3"
"53",44,"KASAI Noriaki","JPN",1972,"108","","104,7"
"54",45,"PETER Dominik","SUI",2001,"109","","102,4"
"55",46,"PEDERSEN Robin","NOR",1996,"107","","99,5"
"56",47,"INSAM Alex","ITA",1997,"105,5","","98,8"
"57",47,"LINDVIK Marius","NOR",1998,"111","","98,8"
"58",49,"HAUSWIRTH Sandro","SUI",2000,"105","","96,1"
"59",50,"NOUSIAINEN Eetu","FIN",1997,"107","","93,4"
