"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CHOI Heung-Chul","KOR",1981,"","","Tq"
"2",NA,"CHOI Seou","KOR",1982,"","","Tq"
"3",NA,"HUBER Daniel","AUT",1993,"","","Tq"
"4",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"5",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"6",NA,"MOGEL Zak","SLO",2001,"","","Tq"
"7",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"8",NA,"NAGLIC Tomaz","SLO",1989,"","","Tq"
"9",NA,"NOMME Martti","EST",1993,"","","Tq"
"10",NA,"SCHULER Andreas","SUI",1995,"","","Tq"
"11",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"12",1,"KOBAYASHI Ryoyu","JPN",1996,"144","137","294,4"
"13",2,"ZYLA Piotr","POL",1987,"137,5","135","285,1"
"14",3,"STOCH Kamil","POL",1987,"138","131","279,5"
"15",4,"GEIGER Karl","GER",1993,"137","135","278,6"
"16",5,"KUBACKI Dawid","POL",1990,"138,5","133,5","278,5"
"17",6,"EISENBICHLER Markus","GER",1991,"135","137","276,9"
"18",7,"JOHANSSON Robert","NOR",1990,"137","134","276,8"
"19",8,"KLIMOV Evgeniy","RUS",1994,"136","136","275,7"
"20",9,"KOUDELKA Roman","CZE",1989,"135","135,5","272,8"
"21",10,"AALTO Antti","FIN",1995,"135","137","270,5"
"22",11,"LEYHE Stephan","GER",1992,"134","135","268,5"
"23",12,"KRAFT Stefan","AUT",1993,"132,5","137","268,1"
"24",13,"LINDVIK Marius","NOR",1998,"128,5","136,5","260,3"
"25",14,"NAKAMURA Naoki","JPN",1996,"126","136,5","259,6"
"26",15,"FORFANG Johann Andre","NOR",1995,"126,5","135,5","259,5"
"27",16,"PREVC Peter","SLO",1992,"128","135","258,7"
"28",17,"STJERNEN Andreas","NOR",1988,"129","134,5","258,5"
"29",18,"PREVC Domen","SLO",1999,"128,5","133","256,5"
"30",18,"ZAJC Timi","SLO",2000,"128","134","256,5"
"31",20,"KOBAYASHI Junshiro","JPN",1991,"130","132,5","255,9"
"32",21,"GRANERUD Halvor Egner","NOR",1996,"127,5","134","254,5"
"33",22,"WOLNY Jakub","POL",1995,"126","131,5","252,5"
"34",23,"FANNEMEL Anders","NOR",1991,"130","134","249,7"
"35",24,"WELLINGER Andreas","GER",1995,"128","131","246,2"
"36",25,"SIEGEL David","GER",1996,"125","133","246"
"37",26,"ZOGRAFSKI Vladimir","BUL",1993,"130","129,5","245,1"
"38",27,"HULA Stefan","POL",1986,"124,5","129","244,7"
"39",28,"BOYD-CLOWES Mackenzie","CAN",1991,"125","127","239,2"
"40",29,"AMMANN Simon","SUI",1981,"126,5","127","234,8"
"41",30,"KASAI Noriaki","JPN",1972,"124,5","125","233,9"
"42",31,"PEIER Killian","SUI",1995,"127,5","","117,2"
"43",32,"SATO Yukiya","JPN",1995,"125","","115,2"
"44",33,"BICKNER Kevin","USA",1996,"121,5","","114,2"
"45",34,"LANISEK Anze","SLO",1996,"121,5","","114"
"46",35,"TROFIMOV Roman Sergeevich","RUS",1989,"122,5","","113,4"
"47",36,"DAMJAN Jernej","SLO",1983,"121","","113,1"
"48",37,"ASCHENWALD Philipp","AUT",1995,"121,5","","112,8"
"49",38,"INSAM Alex","ITA",1997,"122,5","","111,6"
"50",39,"POLASEK Viktor","CZE",1997,"121","","111,2"
"51",40,"MAEAETTAE Jarkko","FIN",1994,"121,5","","109,4"
"52",41,"HAYBOECK Michael","AUT",1991,"119","","109,2"
"53",42,"KOT Maciej","POL",1991,"120","","107,8"
"54",43,"SCHIFFNER Markus","AUT",1992,"120,5","","107,5"
"55",44,"ITO Daiki","JPN",1985,"119,5","","106,4"
"56",45,"LEAROYD Jonathan","FRA",2000,"118,5","","105,4"
"57",46,"DESCHWANDEN Gregor","SUI",1991,"118,5","","104,6"
"58",47,"FREUND Severin","GER",1988,"120","","103,8"
"59",48,"FETTNER Manuel","AUT",1985,"117,5","","103,6"
"60",49,"VASSILIEV Dimitry","RUS",1979,"118,5","","103,3"
"61",50,"HLAVA Lukas","CZE",1984,"118","","102,5"
"62",51,"AIGNER Clemens","AUT",1993,"117","","100,3"
