"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AIGNER Clemens","AUT",1993,"","","Tq"
"2",NA,"BAZHENOV Aleksandr","RUS",1995,"","","Tq"
"3",NA,"BOYARINTSEV Vladislav","RUS",1994,"","","Tq"
"4",NA,"FETTNER Manuel","AUT",1985,"","","Tq"
"5",NA,"HAZETDINOV Ilmir","RUS",1991,"","","Tq"
"6",NA,"HLAVA Lukas","CZE",1984,"","","Tq"
"7",NA,"KOTIK Kiril","RUS",1998,"","","Tq"
"8",NA,"MAKSIMOCHKIN Mikhail","RUS",1993,"","","Tq"
"9",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"10",NA,"NAGLIC Tomaz","SLO",1989,"","","Tq"
"11",NA,"PAVLOVCIC Bor","SLO",1998,"","","Tq"
"12",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"13",NA,"KORNILOV Denis","RUS",1986,"","","DSQK"
"14",1,"FORFANG Johann Andre","NOR",1995,"135,5","129","264,4"
"15",2,"ZYLA Piotr","POL",1987,"133","131","264,2"
"16",3,"KOBAYASHI Ryoyu","JPN",1996,"134","130","262"
"17",4,"LEYHE Stephan","GER",1992,"129,5","134","252,9"
"18",5,"KRAFT Stefan","AUT",1993,"132","131,5","250,4"
"19",6,"JOHANSSON Robert","NOR",1990,"126","130,5","244,6"
"20",7,"STOCH Kamil","POL",1987,"123,5","129","244,2"
"21",8,"ZAJC Timi","SLO",2000,"131","123,5","235,7"
"22",9,"GRANERUD Halvor Egner","NOR",1996,"135","120","234,4"
"23",10,"GEIGER Karl","GER",1993,"121,5","128,5","233,9"
"24",11,"KLIMOV Evgeniy","RUS",1994,"123,5","130","233,3"
"25",12,"AALTO Antti","FIN",1995,"121,5","132","232,6"
"26",13,"WELLINGER Andreas","GER",1995,"120","126,5","230,1"
"27",14,"PREVC Domen","SLO",1999,"122","128,5","228,5"
"28",15,"ZOGRAFSKI Vladimir","BUL",1993,"129,5","119,5","225,4"
"29",16,"PEIER Killian","SUI",1995,"132,5","119","225,3"
"30",17,"VASSILIEV Dimitry","RUS",1979,"133","116","225,2"
"31",18,"BICKNER Kevin","USA",1996,"127","121,5","224,4"
"32",19,"DAMJAN Jernej","SLO",1983,"131","118","223,6"
"33",20,"KUBACKI Dawid","POL",1990,"126","122","223,2"
"34",21,"HULA Stefan","POL",1986,"125,5","120","220,5"
"35",22,"FREUND Severin","GER",1988,"123,5","125","218,2"
"36",23,"KOUDELKA Roman","CZE",1989,"121,5","119","218"
"37",24,"HUBER Daniel","AUT",1993,"126","117","216,2"
"38",25,"LANISEK Anze","SLO",1996,"120,5","121","213,9"
"39",26,"TROFIMOV Roman Sergeevich","RUS",1989,"123","116","210,9"
"40",27,"NAKAMURA Naoki","JPN",1996,"119,5","117","209,3"
"41",28,"DESCHWANDEN Gregor","SUI",1991,"122,5","120","209,1"
"42",29,"KOZISEK Cestmir","CZE",1991,"122,5","119","207,3"
"43",30,"KOBAYASHI Junshiro","JPN",1991,"124,5","112,5","200,6"
"44",31,"BOYD-CLOWES Mackenzie","CAN",1991,"122,5","","105,9"
"45",32,"EISENBICHLER Markus","GER",1991,"122","","105,6"
"46",33,"FANNEMEL Anders","NOR",1991,"119","","104,5"
"47",34,"SCHLIERENZAUER Gregor","AUT",1990,"119","","104,2"
"48",35,"KASAI Noriaki","JPN",1972,"119","","104,1"
"49",36,"KOT Maciej","POL",1991,"121","","102,5"
"50",37,"RINGEN Sondre","NOR",1996,"118","","101,1"
"51",38,"INSAM Alex","ITA",1997,"121","","100,2"
"52",39,"ASCHENWALD Philipp","AUT",1995,"112,5","","98,2"
"53",40,"FREITAG Richard","GER",1991,"117","","97,1"
"54",41,"TAKEUCHI Taku","JPN",1987,"116","","96,6"
"55",42,"POLASEK Viktor","CZE",1997,"115,5","","96,5"
"56",43,"SIEGEL David","GER",1996,"112,5","","94,7"
"57",44,"ITO Daiki","JPN",1985,"116,5","","94,5"
"58",45,"NAZAROV Mikhail","RUS",1994,"117,5","","93,2"
"59",46,"TANDE Daniel Andre","NOR",1994,"115,5","","92,6"
"60",47,"WOLNY Jakub","POL",1995,"114","","90,7"
"61",48,"SCHULER Andreas","SUI",1995,"112","","88,8"
"62",49,"MAEAETTAE Jarkko","FIN",1994,"108","","85,3"
"63",50,"MOGEL Zak","SLO",2001,"110","","78,6"
