"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",1,"KOBAYASHI Ryoyu","JPN",1996,"252","230,5","464,9"
"2",2,"PREVC Domen","SLO",1999,"239,5","222,5","444"
"3",3,"EISENBICHLER Markus","GER",1991,"227","235","442,5"
"4",4,"ZYLA Piotr","POL",1987,"248","222","438,6"
"5",5,"ZAJC Timi","SLO",2000,"231,5","229,5","425,4"
"6",6,"KUBACKI Dawid","POL",1990,"229,5","234","424,8"
"7",7,"GEIGER Karl","GER",1993,"238,5","228","422,8"
"8",8,"FORFANG Johann Andre","NOR",1995,"225","223,5","416,2"
"9",9,"SEMENIC Anze","SLO",1993,"241","224","413,8"
"10",10,"KLIMOV Evgeniy","RUS",1994,"233","221,5","411,7"
"11",11,"STOCH Kamil","POL",1987,"222","220","408,2"
"12",12,"WOLNY Jakub","POL",1995,"223","219","407,5"
"13",13,"AMMANN Simon","SUI",1981,"234","221","407"
"14",14,"SATO Yukiya","JPN",1995,"230,5","216,5","400,3"
"15",15,"KOBAYASHI Junshiro","JPN",1991,"228,5","211,5","399,4"
"16",16,"JOHANSSON Robert","NOR",1990,"226,5","211,5","397,4"
"17",17,"KRAFT Stefan","AUT",1993,"224","212,5","395,3"
"18",18,"HAYBOECK Michael","AUT",1991,"222,5","216","384,6"
"19",19,"PREVC Peter","SLO",1992,"221,5","204,5","381"
"20",20,"WELLINGER Andreas","GER",1995,"220","203","374,7"
"21",21,"HUBER Daniel","AUT",1993,"219","207","370,8"
"22",21,"ITO Daiki","JPN",1985,"213","212","370,8"
"23",23,"ASCHENWALD Philipp","AUT",1995,"221,5","208","366,4"
"24",24,"FREITAG Richard","GER",1991,"211","212","356,3"
"25",25,"AALTO Antti","FIN",1995,"206","210,5","353,9"
"26",26,"PEIER Killian","SUI",1995,"207","200","344,4"
"27",27,"ZOGRAFSKI Vladimir","BUL",1993,"194,5","214","329,6"
"28",28,"GRANERUD Halvor Egner","NOR",1996,"194,5","216","327,6"
"29",29,"LANISEK Anze","SLO",1996,"195,5","201,5","317,8"
"30",30,"FETTNER Manuel","AUT",1985,"186","209","309,8"
