"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"COLLOREDO Sebastian","ITA",1987,"","","Tq"
"2",NA,"EGLOFF Luca","SUI",1995,"","","Tq"
"3",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"4",NA,"MAEAETTAE Jarkko","FIN",1994,"","","Tq"
"5",NA,"NAKAMURA Naoki","JPN",1996,"","","Tq"
"6",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"7",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"8",NA,"BICKNER Kevin","USA",1996,"","","DSQK"
"9",NA,"SAKALA Filip","CZE",1996,"","","DSQK"
"10",NA,"HLAVA Lukas","CZE",1984,"","","DSQF"
"11",NA,"HOERL Jan","AUT",1998,"","","DSQF"
"12",NA,"NOUSIAINEN Eetu","FIN",1997,"","","DSQF"
"13",1,"GEIGER Karl","GER",1993,"142","150,5","311,1"
"14",2,"STOCH Kamil","POL",1987,"144,5","144,5","307,1"
"15",3,"KOBAYASHI Ryoyu","JPN",1996,"144,5","143","304,7"
"16",4,"ZYLA Piotr","POL",1987,"142","141,5","297,9"
"17",5,"KUBACKI Dawid","POL",1990,"144","141,5","297"
"18",6,"FREITAG Richard","GER",1991,"144","140","291,4"
"19",7,"KLIMOV Evgeniy","RUS",1994,"138,5","143","289,2"
"20",8,"PEIER Killian","SUI",1995,"132,5","145,5","285,5"
"21",9,"ZAJC Timi","SLO",2000,"140,5","136","280,8"
"22",10,"FORFANG Johann Andre","NOR",1995,"137","139,5","280,2"
"23",11,"KRAFT Stefan","AUT",1993,"134,5","139","273,8"
"24",12,"KOBAYASHI Junshiro","JPN",1991,"136,5","140,5","273,2"
"25",13,"ITO Daiki","JPN",1985,"134,5","140,5","273"
"26",14,"GRANERUD Halvor Egner","NOR",1996,"128","144","270,9"
"27",15,"AMMANN Simon","SUI",1981,"138,5","133,5","270,8"
"28",16,"ASCHENWALD Philipp","AUT",1995,"131","145,5","268,9"
"29",17,"JOHANSSON Robert","NOR",1990,"134","136,5","264,8"
"30",18,"AALTO Antti","FIN",1995,"136","133,5","262,4"
"31",19,"WELLINGER Andreas","GER",1995,"134,5","134","261,3"
"32",20,"PREVC Peter","SLO",1992,"129","139","261,1"
"33",21,"HUBER Daniel","AUT",1993,"133,5","133,5","260,2"
"34",22,"HULA Stefan","POL",1986,"137,5","129","260,1"
"35",23,"DAMJAN Jernej","SLO",1983,"132","131,5","258,7"
"36",24,"HAYBOECK Michael","AUT",1991,"132,5","136,5","257,8"
"37",25,"JELAR Ziga","SLO",1997,"134,5","135,5","257,4"
"38",26,"KOUDELKA Roman","CZE",1989,"133,5","135","255,8"
"39",27,"MARKENG Thomas Aasen","NOR",2000,"132","134","251"
"40",28,"SEMENIC Anze","SLO",1993,"131","129,5","244"
"41",29,"POLASEK Viktor","CZE",1997,"128,5","133","240,9"
"42",30,"SATO Yukiya","JPN",1995,"131,5","124,5","236,7"
"43",31,"FETTNER Manuel","AUT",1985,"132","","118,9"
"44",32,"LINDVIK Marius","NOR",1998,"131","","117,8"
"45",33,"WOLNY Jakub","POL",1995,"126","","117,4"
"46",34,"SCHMID Constantin","GER",1999,"124,5","","116,1"
"47",35,"LEYHE Stephan","GER",1992,"125","","114,1"
"48",36,"EISENBICHLER Markus","GER",1991,"125,5","","112,5"
"49",37,"KOT Maciej","POL",1991,"125","","112,3"
"50",38,"HAMANN Martin","GER",1997,"122,5","","110,2"
"51",39,"PREVC Domen","SLO",1999,"122","","108,6"
"52",40,"KASAI Noriaki","JPN",1972,"122,5","","108,3"
"53",41,"SCHULER Andreas","SUI",1995,"126","","107"
"54",42,"SCHLIERENZAUER Gregor","AUT",1990,"124,5","","106,7"
"55",43,"INSAM Alex","ITA",1997,"122,5","","106,1"
"56",44,"PAVLOVCIC Bor","SLO",1998,"120,5","","102"
"57",45,"FANNEMEL Anders","NOR",1991,"114,5","","90,4"
"58",46,"BOYD-CLOWES Mackenzie","CAN",1991,"107","","82,8"
"59",47,"ALAMOMMO Andreas","FIN",1998,"104,5","","80"
