"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"2",NA,"GRANERUD Halvor Egner","NOR",1996,"","","Tq"
"3",NA,"HAUSWIRTH Sandro","SUI",2000,"","","Tq"
"4",NA,"INSAM Alex","ITA",1997,"","","Tq"
"5",NA,"KASAI Noriaki","JPN",1972,"","","Tq"
"6",NA,"KOT Maciej","POL",1991,"","","Tq"
"7",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"8",NA,"LISSO Justin","GER",1999,"","","Tq"
"9",NA,"MAEAETTAE Jarkko","FIN",1994,"","","Tq"
"10",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"11",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"12",NA,"PREVC Domen","SLO",1999,"","","Tq"
"13",NA,"SCHULER Andreas","SUI",1995,"","","Tq"
"14",NA,"SERGEEV Maksim","RUS",1999,"","","Tq"
"15",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"16",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"17",NA,"NAZAROV Mikhail","RUS",1994,"","","DSQK"
"18",1,"KOBAYASHI Ryoyu","JPN",1996,"138,5","126,5","282,3"
"19",2,"EISENBICHLER Markus","GER",1991,"133","129","281,9"
"20",3,"KRAFT Stefan","AUT",1993,"131","134,5","280,5"
"21",4,"STJERNEN Andreas","NOR",1988,"132,5","131","278,2"
"22",5,"KUBACKI Dawid","POL",1990,"128,5","133,5","269,8"
"23",6,"ZYLA Piotr","POL",1987,"133","126,5","268,3"
"24",7,"JOHANSSON Robert","NOR",1990,"129","125","268"
"25",8,"STOCH Kamil","POL",1987,"127","131","267,6"
"26",9,"ZAJC Timi","SLO",2000,"127","125,5","266"
"27",10,"HUBER Daniel","AUT",1993,"129","124","265,2"
"28",11,"KOUDELKA Roman","CZE",1989,"126","129","264,4"
"29",12,"GEIGER Karl","GER",1993,"129","128","262,9"
"30",13,"LEYHE Stephan","GER",1992,"125,5","125","260"
"31",14,"AMMANN Simon","SUI",1981,"125","126","258,3"
"32",15,"SATO Yukiya","JPN",1995,"130","124,5","255"
"33",16,"FREITAG Richard","GER",1991,"123,5","122,5","251"
"34",17,"SIEGEL David","GER",1996,"121,5","122","250,2"
"35",18,"PREVC Peter","SLO",1992,"120,5","122,5","247,5"
"36",19,"PEIER Killian","SUI",1995,"123","119","241,2"
"37",20,"KLIMOV Evgeniy","RUS",1994,"124","117","240,6"
"38",21,"PASCHKE Pius","GER",1990,"120","116,5","240,3"
"39",22,"AALTO Antti","FIN",1995,"120","118","240"
"40",23,"ZOGRAFSKI Vladimir","BUL",1993,"125","118","239,1"
"41",24,"SCHMID Constantin","GER",1999,"119","113","226,6"
"42",25,"FORFANG Johann Andre","NOR",1995,"125","110","226,3"
"43",26,"WOLNY Jakub","POL",1995,"116","117","225,4"
"44",27,"HAYBOECK Michael","AUT",1991,"118,5","109","214,6"
"45",28,"POLASEK Viktor","CZE",1997,"119","109","210,8"
"46",29,"NAKAMURA Naoki","JPN",1996,"118","108","208,8"
"47",30,"SCHIFFNER Markus","AUT",1992,"119,5","107","208,4"
"48",31,"BOYD-CLOWES Mackenzie","CAN",1991,"124,5","","120,7"
"49",31,"ITO Daiki","JPN",1985,"123","","120,7"
"50",33,"FANNEMEL Anders","NOR",1991,"121,5","","118,4"
"51",34,"PEDERSEN Robin","NOR",1996,"117","","115,8"
"52",35,"ASCHENWALD Philipp","AUT",1995,"122,5","","114,2"
"53",36,"FREUND Severin","GER",1988,"118,5","","114,1"
"54",36,"SEMENIC Anze","SLO",1993,"117,5","","114,1"
"55",38,"LEAROYD Jonathan","FRA",2000,"119,5","","111,7"
"56",39,"WELLINGER Andreas","GER",1995,"114,5","","109,6"
"57",40,"PAVLOVCIC Bor","SLO",1998,"116","","109,2"
"58",41,"HOFFMANN Felix","GER",1997,"114","","109,1"
"59",42,"ZNISZCZOL Aleksander","POL",1994,"114,5","","108,7"
"60",43,"HULA Stefan","POL",1986,"113,5","","107,1"
"61",44,"BAER Moritz","GER",1997,"109","","105,5"
"62",44,"TANDE Daniel Andre","NOR",1994,"110,5","","105,5"
"63",46,"HLAVA Lukas","CZE",1984,"109","","93,6"
"64",47,"DAMJAN Jernej","SLO",1983,"108","","93,5"
"65",48,"FETTNER Manuel","AUT",1985,"104,5","","92,1"
"66",49,"HAMANN Martin","GER",1997,"105","","91,1"
"67",50,"KOBAYASHI Junshiro","JPN",1991,"101","","87,7"
