"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",1,"ZAJC Timi","SLO",2000,"232,5","234","455,1"
"2",2,"LANISEK Anze","SLO",1996,"239,5","242","455"
"3",3,"KRAFT Stefan","AUT",1993,"238,5","235","445,1"
"4",4,"PREVC Domen","SLO",1999,"237,5","232","441"
"5",5,"HOERL Jan","AUT",1998,"236,5","240","431,8"
"6",6,"JELAR Ziga","SLO",1997,"228,5","236,5","429,1"
"7",7,"NAKAMURA Naoki","JPN",1996,"237","222,5","425,2"
"8",8,"KOBAYASHI Ryoyu","JPN",1996,"229,5","239","424,8"
"9",9,"WELLINGER Andreas","GER",1995,"228,5","240,5","420,8"
"10",10,"FORFANG Johann Andre","NOR",1995,"228,5","228,5","418"
"11",11,"EISENBICHLER Markus","GER",1991,"225","240,5","417,2"
"12",12,"TSCHOFENIG Daniel","AUT",2002,"227,5","236,5","413,3"
"13",13,"GRANERUD Halvor Egner","NOR",1996,"215,5","237","407,5"
"14",14,"ZYLA Piotr","POL",1987,"221,5","241,5","405,9"
"15",15,"STOCH Kamil","POL",1987,"216","231,5","402"
"16",16,"JOHANSSON Robert","NOR",1990,"217","234","401,9"
"17",17,"ZNISZCZOL Aleksander","POL",1994,"226","235,5","398,7"
"18",18,"HAYBOECK Michael","AUT",1991,"230,5","220","398,2"
"19",19,"DESCHWANDEN Gregor","SUI",1991,"219","229,5","397,1"
"20",20,"KOS Lovro","SLO",1999,"217","227","392,9"
"21",21,"FETTNER Manuel","AUT",1985,"219","223,5","389,1"
"22",22,"SCHMID Constantin","GER",1999,"210,5","220,5","385,4"
"23",23,"GEIGER Karl","GER",1993,"217,5","215,5","381,7"
"24",24,"BRESADOLA Giovanni","ITA",2001,"208,5","220","376,2"
"25",25,"HEGGLI Bendik Jakobsen","NOR",2001,"216,5","212","373,7"
"26",26,"SUNDAL Kristoffer Eriksen","NOR",2001,"211","213,5","372,4"
"27",27,"PASCHKE Pius","GER",1990,"220","208,5","372,3"
"28",28,"WASEK Pawel","POL",1999,"216","198,5","357,7"
"29",29,"AIGNER Clemens","AUT",1993,"207","206","356"
"30",30,"TANDE Daniel Andre","NOR",1994,"192","202,5","334,8"
