"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"2",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"3",NA,"DEAN Decker","USA",2000,"","","Tq"
"4",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"5",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"6",NA,"LARSON Casey","USA",1998,"","","Tq"
"7",NA,"LISSO Justin","GER",1999,"","","Tq"
"8",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"9",NA,"NIKAIDO Ren","JPN",2001,"","","Tq"
"10",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"11",NA,"PASCHKE Pius","GER",1990,"","","Tq"
"12",NA,"PEIER Killian","SUI",1995,"","","Tq"
"13",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"14",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"15",NA,"TAKEUCHI Taku","JPN",1987,"","","Tq"
"16",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"17",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"18",1,"GRANERUD Halvor Egner","NOR",1996,"234,5","235","455,5"
"19",2,"ZAJC Timi","SLO",2000,"234","230,5","451,4"
"20",3,"KRAFT Stefan","AUT",1993,"233","229","446,4"
"21",4,"WELLINGER Andreas","GER",1995,"230","230","432,3"
"22",5,"HOERL Jan","AUT",1998,"220","222","416"
"23",6,"ZYLA Piotr","POL",1987,"226,5","220","415,5"
"24",7,"FETTNER Manuel","AUT",1985,"235","221,5","412,8"
"25",8,"FORFANG Johann Andre","NOR",1995,"223","224","410,9"
"26",9,"LANISEK Anze","SLO",1996,"225","221","408,9"
"27",10,"LINDVIK Marius","NOR",1998,"222,5","224","406,1"
"28",11,"TANDE Daniel Andre","NOR",1994,"222","220,5","405,7"
"29",12,"PREVC Domen","SLO",1999,"212,5","223","404,6"
"30",13,"KOBAYASHI Ryoyu","JPN",1996,"222","218","402,3"
"31",14,"BRESADOLA Giovanni","ITA",2001,"225,5","223","400"
"32",15,"EISENBICHLER Markus","GER",1991,"209","222,5","391,1"
"33",16,"JELAR Ziga","SLO",1997,"206,5","218,5","383,9"
"34",17,"KUBACKI Dawid","POL",1990,"214,5","208,5","379,6"
"35",18,"NAKAMURA Naoki","JPN",1996,"219,5","210","378,4"
"36",19,"STOCH Kamil","POL",1987,"216","208","378,3"
"37",20,"ZNISZCZOL Aleksander","POL",1994,"212","208,5","374"
"38",21,"DESCHWANDEN Gregor","SUI",1991,"210,5","211,5","373,1"
"39",22,"SUNDAL Kristoffer Eriksen","NOR",2001,"214","209","371,2"
"40",23,"JOHANSSON Robert","NOR",1990,"220,5","203","370,1"
"41",24,"KOS Lovro","SLO",1999,"208","208,5","365,4"
"42",25,"ASCHENWALD Philipp","AUT",1995,"208,5","203","353,6"
"43",26,"MARUSIAK Yevhen","UKR",2000,"210","200","344,6"
"44",27,"LEYHE Stephan","GER",1992,"210,5","193","343,8"
"45",28,"KYTOESAHO Niko","FIN",1999,"205,5","187,5","329,6"
"46",29,"PREVC Peter","SLO",1992,"218","176","328,1"
"47",30,"SATO Yukiya","JPN",1995,"203,5","178","310,6"
"48",31,"AIGRO Artti","EST",1999,"202","","172"
"49",32,"BOYD-CLOWES Mackenzie","CAN",1991,"202","","170,4"
"50",32,"SCHMID Constantin","GER",1999,"201,5","","170,4"
"51",34,"WOHLGENANNT Ulrich","AUT",1994,"199","","168,5"
"52",35,"MOGEL Zak","SLO",2001,"200,5","","168,4"
"53",36,"OESTVOLD Benjamin","NOR",2001,"197,5","","164,3"
"54",37,"LEITNER Clemens","AUT",1998,"191","","157,1"
"55",38,"PETER Dominik","SUI",2001,"191","","155,9"
"56",39,"STEINER Maximilian","AUT",1996,"180","","142,3"
"57",40,"INSAM Alex","ITA",1997,"163,5","","115,5"
