"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BELSHAW Erik","USA",2004,"","","Tq"
"2",NA,"CECON Francesco","ITA",2001,"","","Tq"
"3",NA,"INSAM Alex","ITA",1997,"","","Tq"
"4",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"5",NA,"KOS Lovro","SLO",1999,"","","Tq"
"6",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"7",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"8",NA,"NAKAMURA Naoki","JPN",1996,"","","Tq"
"9",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"10",NA,"ZNISZCZOL Aleksander","POL",1994,"","","Tq"
"11",1,"KRAFT Stefan","AUT",1993,"130,5","131,5","266,1"
"12",2,"LANISEK Anze","SLO",1996,"126,5","128,5","257,8"
"13",3,"KUBACKI Dawid","POL",1990,"127","130","257,7"
"14",4,"TANDE Daniel Andre","NOR",1994,"128","131,5","257,1"
"15",5,"TSCHOFENIG Daniel","AUT",2002,"130","126","253,9"
"16",6,"FORFANG Johann Andre","NOR",1995,"126,5","130","253"
"17",7,"GRANERUD Halvor Egner","NOR",1996,"128,5","125","250,7"
"18",8,"WELLINGER Andreas","GER",1995,"126,5","130","248,2"
"19",9,"EISENBICHLER Markus","GER",1991,"122,5","131","246,4"
"20",10,"ZAJC Timi","SLO",2000,"127,5","123","245,8"
"21",11,"FETTNER Manuel","AUT",1985,"126,5","123","244,3"
"22",12,"GEIGER Karl","GER",1993,"123,5","128,5","244"
"23",13,"LISSO Justin","GER",1999,"124","127,5","243,3"
"24",14,"KOBAYASHI Ryoyu","JPN",1996,"120,5","127","242,2"
"25",15,"HAYBOECK Michael","AUT",1991,"122,5","126","241,8"
"26",16,"AIGNER Clemens","AUT",1993,"125,5","123","238,2"
"27",17,"WASEK Pawel","POL",1999,"124","125,5","236,7"
"28",18,"RINGEN Sondre","NOR",1996,"121,5","127","236,1"
"29",19,"STOCH Kamil","POL",1987,"124,5","119,5","235,2"
"30",20,"DESCHWANDEN Gregor","SUI",1991,"125","121,5","234"
"31",21,"HOERL Jan","AUT",1998,"119","126","232,1"
"32",22,"SUNDAL Kristoffer Eriksen","NOR",2001,"122,5","123,5","228,7"
"33",23,"JOHANSSON Robert","NOR",1990,"118","126","225,9"
"34",24,"ZYLA Piotr","POL",1987,"123","119,5","224,1"
"35",25,"KYTOESAHO Niko","FIN",1999,"119,5","122,5","223,6"
"36",26,"STEINER Maximilian","AUT",1996,"123","121","223,2"
"37",27,"AALTO Antti","FIN",1995,"120,5","120","221,5"
"38",27,"BRESADOLA Giovanni","ITA",2001,"119,5","123","221,5"
"39",29,"NIKAIDO Ren","JPN",2001,"118,5","122,5","219,9"
"40",30,"LEYHE Stephan","GER",1992,"121,5","114","210,8"
"41",31,"PREVC Domen","SLO",1999,"119,5","","105,4"
"42",32,"ZOGRAFSKI Vladimir","BUL",1993,"117","","102,4"
"43",33,"LINDVIK Marius","NOR",1998,"116","","101"
"44",33,"NOUSIAINEN Eetu","FIN",1997,"118","","101"
"45",35,"MASLE Rok","SLO",2004,"112","","99,9"
"46",36,"BOYD-CLOWES Mackenzie","CAN",1991,"110","","99,7"
"47",37,"SCHMID Constantin","GER",1999,"116,5","","99,6"
"48",38,"AMMANN Simon","SUI",1981,"115","","98,2"
"49",39,"SATO Keiichi","JPN",1997,"116,5","","96,9"
"50",40,"PEIER Killian","SUI",1995,"113,5","","96,3"
"51",41,"WOLNY Jakub","POL",1995,"113","","94,7"
"52",42,"JELAR Ziga","SLO",1997,"112","","94,5"
"53",43,"RAIMUND Philipp","GER",2000,"115,5","","92,9"
"54",44,"AIGRO Artti","EST",1999,"111","","91,6"
"55",45,"KOBAYASHI Junshiro","JPN",1991,"113","","91,1"
"56",46,"IMHOF Remo","SUI",2003,"111","","91"
"57",47,"LARSON Casey","USA",1998,"112","","90,6"
"58",48,"SATO Yukiya","JPN",1995,"109,5","","88,2"
"59",49,"URLAUB Andrew","USA",2001,"111","","84,2"
"60",50,"BEDIR Muhammed Ali","TUR",2000,"105","","77,2"
"61",51,"HEIKKINEN Kalle","FIN",1999,"104","","74,3"
