"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"2",NA,"BELSHAW Erik","USA",2004,"","","Tq"
"3",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"4",NA,"CECON Francesco","ITA",2001,"","","Tq"
"5",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"6",NA,"KOBAYASHI Junshiro","JPN",1991,"","","Tq"
"7",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"8",NA,"LANDERER Hannes","AUT",2002,"","","Tq"
"9",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"10",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"11",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"12",NA,"PALOSAARI Vilho","FIN",2004,"","","Tq"
"13",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"14",NA,"STEINER Maximilian","AUT",1996,"","","Tq"
"15",NA,"ZOGRAFSKI Vladimir","BUL",1993,"","","Tq"
"16",NA,"SATO Yukiya","JPN",1995,"","","DSQF"
"17",1,"GRANERUD Halvor Egner","NOR",1996,"139,5","143,5","313,4"
"18",2,"LANISEK Anze","SLO",1996,"140,5","139","305,5"
"19",3,"KUBACKI Dawid","POL",1990,"135,5","140","303,7"
"20",4,"HAYBOECK Michael","AUT",1991,"138,5","137","297,6"
"21",5,"HOERL Jan","AUT",1998,"135,5","140,5","292,1"
"22",6,"STOCH Kamil","POL",1987,"138","134,5","289,9"
"23",7,"PREVC Peter","SLO",1992,"134,5","139,5","288,6"
"24",8,"FETTNER Manuel","AUT",1985,"134,5","139","285,6"
"25",9,"ZAJC Timi","SLO",2000,"135,5","137","285,3"
"26",10,"AIGNER Clemens","AUT",1993,"136,5","139,5","282,5"
"27",10,"ZYLA Piotr","POL",1987,"133,5","136","282,5"
"28",12,"RAIMUND Philipp","GER",2000,"136","135,5","281,5"
"29",13,"FORFANG Johann Andre","NOR",1995,"134,5","137,5","281,1"
"30",14,"KRAFT Stefan","AUT",1993,"141","127,5","281"
"31",15,"JELAR Ziga","SLO",1997,"134","135","277,7"
"32",16,"SCHMID Constantin","GER",1999,"133","132,5","275,1"
"33",17,"KOBAYASHI Ryoyu","JPN",1996,"134,5","135,5","273,9"
"34",18,"TSCHOFENIG Daniel","AUT",2002,"132,5","131,5","272,6"
"35",19,"LINDVIK Marius","NOR",1998,"134,5","128","269,5"
"36",20,"WELLINGER Andreas","GER",1995,"131,5","130","267,4"
"37",21,"JOHANSSON Robert","NOR",1990,"133,5","130","267,3"
"38",22,"KOS Lovro","SLO",1999,"130","133","262,9"
"39",23,"GEIGER Karl","GER",1993,"131,5","126","261,3"
"40",24,"TANDE Daniel Andre","NOR",1994,"131","126,5","258,9"
"41",25,"ASCHENWALD Philipp","AUT",1995,"132","126,5","258,3"
"42",26,"LEITNER Clemens","AUT",1998,"130","127,5","257"
"43",27,"FANNEMEL Anders","NOR",1991,"128,5","127","249,8"
"44",28,"ORTNER Maximilian","AUT",2002,"127,5","127,5","248"
"45",29,"SUNDAL Kristoffer Eriksen","NOR",2001,"130","120,5","242,3"
"46",30,"DESCHWANDEN Gregor","SUI",1991,"124","127,5","237,8"
"47",31,"EISENBICHLER Markus","GER",1991,"130","","129,1"
"48",32,"AALTO Antti","FIN",1995,"129","","128,3"
"49",33,"KYTOESAHO Niko","FIN",1999,"128","","127,3"
"50",34,"VASSILYEV Danil","KAZ",2004,"127,5","","122,7"
"51",35,"INSAM Alex","ITA",1997,"126,5","","122,3"
"52",36,"IPCIOGLU Fatih Arda","TUR",1997,"126","","122,1"
"53",37,"NIKAIDO Ren","JPN",2001,"126","","121,9"
"54",38,"MOERTH Francisco","AUT",1999,"126,5","","121,2"
"55",39,"PREVC Domen","SLO",1999,"123,5","","121,1"
"56",40,"BRESADOLA Giovanni","ITA",2001,"125","","121"
"57",40,"HABDAS Jan","POL",2003,"121,5","","121"
"58",42,"WASEK Pawel","POL",1999,"123,5","","120,7"
"59",43,"HULA Stefan","POL",1986,"125","","119,3"
"60",44,"DEAN Decker","USA",2000,"124","","119,1"
"61",45,"PASCHKE Pius","GER",1990,"123,5","","118,9"
"62",46,"LEYHE Stephan","GER",1992,"123","","117,5"
"63",47,"NAKAMURA Naoki","JPN",1996,"122","","115,2"
"64",48,"AIGRO Artti","EST",1999,"121,5","","114,2"
"65",49,"MUELLER Markus","AUT",2002,"114","","104,5"
