"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"2",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"3",NA,"BRAUN Finn","GER",2002,"","","Tq"
"4",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"5",NA,"CECON Francesco","ITA",2001,"","","Tq"
"6",NA,"HAMANN Martin","GER",1997,"","","Tq"
"7",NA,"HUBER Daniel","AUT",1993,"","","Tq"
"8",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"9",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"10",NA,"LARSON Casey","USA",1998,"","","Tq"
"11",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"12",NA,"PASCHKE Pius","GER",1990,"","","Tq"
"13",NA,"PEIER Killian","SUI",1995,"","","Tq"
"14",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"15",NA,"SATO Yukiya","JPN",1995,"","","Tq"
"16",NA,"SPULBER Mihnea Alexandru","ROU",2000,"","","Tq"
"17",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"18",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"19",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"20",NA,"NOUSIAINEN Eetu","FIN",1997,"","","DSQK"
"21",1,"GRANERUD Halvor Egner","NOR",1996,"149,5","138","296,6"
"22",2,"LANISEK Anze","SLO",1996,"150","138","293,9"
"23",3,"KUBACKI Dawid","POL",1990,"147","137","281,3"
"24",4,"ZYLA Piotr","POL",1987,"137","138","265,1"
"25",5,"GEIGER Karl","GER",1993,"137","135,5","264,3"
"26",6,"KOBAYASHI Ryoyu","JPN",1996,"137","135","263,5"
"27",7,"FORFANG Johann Andre","NOR",1995,"134","135","261,2"
"28",8,"KRAFT Stefan","AUT",1993,"138","131,5","257,4"
"29",9,"RAIMUND Philipp","GER",2000,"142,5","130","255,7"
"30",10,"WELLINGER Andreas","GER",1995,"132","132,5","255,4"
"31",11,"JELAR Ziga","SLO",1997,"140","130,5","255,2"
"32",12,"ZAJC Timi","SLO",2000,"135","131","244,3"
"33",13,"HAYBOECK Michael","AUT",1991,"134","127","241,5"
"34",14,"LEYHE Stephan","GER",1992,"137","127,5","241"
"35",15,"SCHMID Constantin","GER",1999,"133","127,5","239,9"
"36",16,"BRESADOLA Giovanni","ITA",2001,"142","121,5","238,5"
"37",17,"EISENBICHLER Markus","GER",1991,"127","134","238,3"
"38",18,"NAKAMURA Naoki","JPN",1996,"135","127","235,9"
"39",19,"KOS Lovro","SLO",1999,"125,5","130,5","233,9"
"40",20,"DESCHWANDEN Gregor","SUI",1991,"132","125","228,7"
"41",21,"HEGGLI Bendik Jakobsen","NOR",2001,"140,5","124,5","228"
"42",22,"HOERL Jan","AUT",1998,"127,5","129","226"
"43",22,"WASEK Pawel","POL",1999,"132","122","226"
"44",24,"PREVC Domen","SLO",1999,"134","119","225,8"
"45",25,"STOCH Kamil","POL",1987,"127","127","224,5"
"46",26,"AALTO Antti","FIN",1995,"132","126","223,2"
"47",27,"ZNISZCZOL Aleksander","POL",1994,"139,5","119","222"
"48",28,"TSCHOFENIG Daniel","AUT",2002,"125","125","218,2"
"49",29,"AIGRO Artti","EST",1999,"129,5","121","214,1"
"50",30,"MOGEL Zak","SLO",2001,"134","112,5","200,6"
"51",31,"PREVC Peter","SLO",1992,"127","","105,4"
"52",32,"TAKEUCHI Taku","JPN",1987,"125","","101,9"
"53",33,"LINDVIK Marius","NOR",1998,"124","","101,5"
"54",34,"LISSO Justin","GER",1999,"123","","101"
"55",35,"IPCIOGLU Fatih Arda","TUR",1997,"126","","100,5"
"56",36,"FETTNER Manuel","AUT",1985,"123","","99,6"
"57",37,"KYTOESAHO Niko","FIN",1999,"125","","98,4"
"58",38,"AIGNER Clemens","AUT",1993,"124","","97,4"
"59",39,"PETER Dominik","SUI",2001,"121","","96,9"
"60",40,"SUNDAL Kristoffer Eriksen","NOR",2001,"123","","95,1"
"61",40,"VILLUMSTAD Fredrik","NOR",1999,"121,5","","95,1"
"62",42,"TANDE Daniel Andre","NOR",1994,"121","","94"
"63",42,"ZOGRAFSKI Vladimir","BUL",1993,"125","","94"
"64",44,"DEAN Decker","USA",2000,"119,5","","93,4"
"65",45,"BOYD-CLOWES Mackenzie","CAN",1991,"121,5","","92,8"
"66",46,"MARUSIAK Yevhen","UKR",2000,"121","","92,2"
"67",47,"NIKAIDO Ren","JPN",2001,"119,5","","85,4"
"68",48,"INSAM Alex","ITA",1997,"118","","84,8"
"69",49,"SIEGEL David","GER",1996,"113,5","","79,6"
"70",50,"ROTH Luca","GER",2000,"113","","79,1"
