"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CECON Francesco","ITA",2001,"","","Tq"
"2",NA,"INSAM Alex","ITA",1997,"","","Tq"
"3",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"4",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"5",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"6",NA,"SATO Yukiya","JPN",1995,"","","Tq"
"7",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"8",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"9",NA,"AIGRO Artti","EST",1999,"","","DNSF"
"10",NA,"NOUSIAINEN Eetu","FIN",1997,"","","DNSF"
"11",1,"KUBACKI Dawid","POL",1990,"137,5","138,5","283,1"
"12",2,"LANISEK Anze","SLO",1996,"139","136","275,7"
"13",3,"TSCHOFENIG Daniel","AUT",2002,"136,5","134","273,9"
"14",4,"EISENBICHLER Markus","GER",1991,"136","146","272,7"
"15",5,"KOBAYASHI Ryoyu","JPN",1996,"132,5","136,5","263,5"
"16",6,"GRANERUD Halvor Egner","NOR",1996,"133","131,5","258,7"
"17",7,"STOCH Kamil","POL",1987,"130","134","256,3"
"18",8,"KRAFT Stefan","AUT",1993,"136","113","243"
"19",9,"SUNDAL Kristoffer Eriksen","NOR",2001,"130","129","242,3"
"20",10,"AIGNER Clemens","AUT",1993,"128,5","126,5","239,1"
"21",11,"FETTNER Manuel","AUT",1985,"125,5","126,5","238,3"
"22",12,"HOERL Jan","AUT",1998,"124","132,5","238,2"
"23",13,"ZAJC Timi","SLO",2000,"127","129","237,3"
"24",14,"ZYLA Piotr","POL",1987,"125","130","231,3"
"25",15,"RAIMUND Philipp","GER",2000,"124","129,5","230,9"
"26",16,"FORFANG Johann Andre","NOR",1995,"128","120","229"
"27",17,"ZNISZCZOL Aleksander","POL",1994,"125,5","128","226,7"
"28",18,"LISSO Justin","GER",1999,"128","123,5","224,8"
"29",19,"TANDE Daniel Andre","NOR",1994,"131,5","115,5","223,7"
"30",20,"WASEK Pawel","POL",1999,"126,5","124","223,5"
"31",21,"MASLE Rok","SLO",2004,"127,5","119","219,7"
"32",21,"SCHMID Constantin","GER",1999,"124,5","124","219,7"
"33",23,"OESTVOLD Benjamin","NOR",2001,"124,5","120,5","212,3"
"34",24,"JELAR Ziga","SLO",1997,"120,5","122,5","210,8"
"35",25,"HAYBOECK Michael","AUT",1991,"130","115","210"
"36",26,"STEINER Maximilian","AUT",1996,"127","112,5","206,3"
"37",27,"KYTOESAHO Niko","FIN",1999,"124,5","116","201,4"
"38",28,"LEYHE Stephan","GER",1992,"122,5","112","191,8"
"39",29,"DESCHWANDEN Gregor","SUI",1991,"118,5","107,5","189"
"40",30,"KOS Lovro","SLO",1999,"124","102","165,9"
"41",31,"SATO Keiichi","JPN",1997,"119,5","","101,3"
"42",32,"AMMANN Simon","SUI",1981,"119,5","","101,1"
"43",33,"JOHANSSON Robert","NOR",1990,"120","","99,2"
"44",34,"ZOGRAFSKI Vladimir","BUL",1993,"119,5","","97,4"
"45",35,"LARSON Casey","USA",1998,"118","","95,5"
"46",36,"BELSHAW Erik","USA",2004,"118","","93,4"
"47",37,"GEIGER Karl","GER",1993,"114,5","","92,8"
"48",38,"NAKAMURA Naoki","JPN",1996,"111,5","","90,1"
"49",39,"LINDVIK Marius","NOR",1998,"109,5","","89,2"
"50",40,"IMHOF Remo","SUI",2003,"113","","88,4"
"51",41,"DEAN Decker","USA",2000,"114","","86"
"52",42,"WELLINGER Andreas","GER",1995,"112,5","","84,6"
"53",43,"BOYD-CLOWES Mackenzie","CAN",1991,"110","","83"
"54",44,"TAKEUCHI Taku","JPN",1987,"108","","76,6"
"55",45,"BRESADOLA Giovanni","ITA",2001,"107,5","","76,5"
"56",46,"BEDIR Muhammed Ali","TUR",2000,"105,5","","73,9"
"57",47,"KOBAYASHI Junshiro","JPN",1991,"104","","72,1"
"58",48,"PREVC Domen","SLO",1999,"91,5","","47,3"
