"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"2",NA,"BRAUN Finn","GER",2002,"","","Tq"
"3",NA,"BRESADOLA Giovanni","ITA",2001,"","","Tq"
"4",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"5",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"6",NA,"HABDAS Jan","POL",2003,"","","Tq"
"7",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"8",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"9",NA,"KOBAYASHI Junshiro","JPN",1991,"","","Tq"
"10",NA,"KYTOESAHO Niko","FIN",1999,"","","Tq"
"11",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"12",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"13",NA,"SIEGEL David","GER",1996,"","","Tq"
"14",NA,"TANDE Daniel Andre","NOR",1994,"","","Tq"
"15",NA,"BELSHAW Erik","USA",2004,"","","DSQK"
"16",NA,"NOUSIAINEN Eetu","FIN",1997,"","","DSQK"
"17",NA,"SPIEWOK Simon","GER",2002,"","","DSQK"
"18",NA,"LINDVIK Marius","NOR",1998,"","","DSQF"
"19",1,"GRANERUD Halvor Egner","NOR",1996,"140","142","303,7"
"20",2,"LANISEK Anze","SLO",1996,"140,5","137","297,3"
"21",3,"KUBACKI Dawid","POL",1990,"136","138,5","294,4"
"22",4,"FETTNER Manuel","AUT",1985,"136","138","279,6"
"23",5,"HOERL Jan","AUT",1998,"136","138,5","278,9"
"24",6,"ZYLA Piotr","POL",1987,"135,5","134,5","277"
"25",7,"TSCHOFENIG Daniel","AUT",2002,"131","136","275,4"
"26",8,"WELLINGER Andreas","GER",1995,"137","133","273,1"
"27",9,"STOCH Kamil","POL",1987,"135","134,5","272,7"
"28",10,"HAYBOECK Michael","AUT",1991,"128,5","140","269,8"
"29",11,"GEIGER Karl","GER",1993,"131,5","131","264,9"
"30",12,"LEITNER Clemens","AUT",1998,"129,5","135,5","262,2"
"31",13,"KOS Lovro","SLO",1999,"129","135,5","261"
"32",14,"ZAJC Timi","SLO",2000,"128","134","255,8"
"33",15,"RAIMUND Philipp","GER",2000,"125,5","135","254,9"
"34",16,"JOHANSSON Robert","NOR",1990,"129,5","133","253,4"
"35",17,"LEYHE Stephan","GER",1992,"128","130","252,2"
"36",18,"KRAFT Stefan","AUT",1993,"122,5","131","249,5"
"37",19,"KOBAYASHI Ryoyu","JPN",1996,"125","131","248,8"
"38",20,"FORFANG Johann Andre","NOR",1995,"129","130,5","246,6"
"39",21,"DESCHWANDEN Gregor","SUI",1991,"127,5","126,5","243,3"
"40",22,"WASEK Pawel","POL",1999,"130","126","242"
"41",23,"SCHMID Constantin","GER",1999,"121","133","241,9"
"42",24,"PASCHKE Pius","GER",1990,"124,5","127,5","238,6"
"43",25,"ASCHENWALD Philipp","AUT",1995,"132","124","236,3"
"44",26,"PALOSAARI Vilho","FIN",2004,"125","125,5","230,6"
"45",27,"SUNDAL Kristoffer Eriksen","NOR",2001,"125","122","230"
"46",28,"HOFFMANN Felix","GER",1997,"121","128","227,1"
"47",29,"PREVC Domen","SLO",1999,"124","125","226"
"48",30,"KOUDELKA Roman","CZE",1989,"124","117","220,5"
"49",31,"FANNEMEL Anders","NOR",1991,"124,5","","112,6"
"50",32,"EISENBICHLER Markus","GER",1991,"124","","111,9"
"51",33,"AALTO Antti","FIN",1995,"125","","111"
"52",34,"JELAR Ziga","SLO",1997,"118","","108"
"53",35,"MALTSEV Kevin","EST",2000,"120","","107,9"
"54",36,"NAKAMURA Naoki","JPN",1996,"119,5","","106,1"
"55",37,"AIGRO Artti","EST",1999,"119","","105,1"
"56",38,"HAMANN Martin","GER",1997,"122,5","","105"
"57",39,"PREVC Peter","SLO",1992,"118","","103,2"
"58",39,"VASSILYEV Danil","KAZ",2004,"122","","103,2"
"59",41,"NIKAIDO Ren","JPN",2001,"118,5","","100,9"
"60",42,"INSAM Alex","ITA",1997,"113","","97,5"
"61",43,"SATO Yukiya","JPN",1995,"115","","94,8"
"62",44,"DEAN Decker","USA",2000,"112,5","","89,5"
"63",45,"ROTH Luca","GER",2000,"113","","89,1"
"64",46,"CECON Francesco","ITA",2001,"114","","88,1"
"65",47,"HULA Stefan","POL",1986,"113","","87,3"
"66",48,"SATO Keiichi","JPN",1997,"110","","79,9"
"67",49,"ZOGRAFSKI Vladimir","BUL",1993,"103","","63,9"
