"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AALTO Antti","FIN",1995,"","","Tq"
"2",NA,"AIGRO Artti","EST",1999,"","","Tq"
"3",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"4",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"5",NA,"BOYD-CLOWES Mackenzie","CAN",1991,"","","Tq"
"6",NA,"DEAN Decker","USA",2000,"","","Tq"
"7",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"8",NA,"LANDERER Hannes","AUT",2002,"","","Tq"
"9",NA,"LARSON Casey","USA",1998,"","","Tq"
"10",NA,"LISSO Justin","GER",1999,"","","Tq"
"11",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"12",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"13",NA,"NAKAMURA Naoki","JPN",1996,"","","Tq"
"14",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"15",NA,"ORTNER Maximilian","AUT",2002,"","","Tq"
"16",NA,"PEIER Killian","SUI",1995,"","","Tq"
"17",NA,"RUPITSCH Markus","AUT",1997,"","","Tq"
"18",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"19",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"20",NA,"SUNDAL Kristoffer Eriksen","NOR",2001,"","","Tq"
"21",NA,"TAKEUCHI Taku","JPN",1987,"","","Tq"
"22",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"23",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"24",NA,"RAINER Stefan","AUT",1999,"","","NPS"
"25",NA,"MOERTH Francisco","AUT",1999,"","","DSQF"
"26",1,"GRANERUD Halvor Egner","NOR",1996,"238","231","440,7"
"27",2,"KRAFT Stefan","AUT",1993,"232,5","234","431,9"
"28",3,"PREVC Domen","SLO",1999,"236","224","425,4"
"29",4,"ZYLA Piotr","POL",1987,"233,5","226,5","423"
"30",5,"HOERL Jan","AUT",1998,"212,5","223","397,8"
"31",6,"ZAJC Timi","SLO",2000,"205,5","243","391,3"
"32",7,"JELAR Ziga","SLO",1997,"212,5","200","375,9"
"33",8,"EISENBICHLER Markus","GER",1991,"200,5","209,5","370,8"
"34",9,"WELLINGER Andreas","GER",1995,"209","206","369,8"
"35",10,"KUBACKI Dawid","POL",1990,"194,5","230,5","366,2"
"36",11,"LINDVIK Marius","NOR",1998,"197","235","364,3"
"37",12,"TANDE Daniel Andre","NOR",1994,"206","195","354"
"38",13,"LANISEK Anze","SLO",1996,"196,5","215","348,6"
"39",14,"KOBAYASHI Ryoyu","JPN",1996,"194,5","218","346,6"
"40",15,"DESCHWANDEN Gregor","SUI",1991,"230,5","173,5","341,9"
"41",16,"KOS Lovro","SLO",1999,"166","233,5","331,8"
"42",17,"STOCH Kamil","POL",1987,"186,5","203","326,3"
"43",18,"FORFANG Johann Andre","NOR",1995,"173","214","317,2"
"44",19,"ZNISZCZOL Aleksander","POL",1994,"222,5","165,5","316,6"
"45",20,"FETTNER Manuel","AUT",1985,"181,5","201,5","311"
"46",21,"LEITNER Clemens","AUT",1998,"196","195","304,6"
"47",22,"OESTVOLD Benjamin","NOR",2001,"215","159","301,8"
"48",23,"SATO Yukiya","JPN",1995,"204,5","182","297,7"
"49",24,"ASCHENWALD Philipp","AUT",1995,"194","180,5","291,9"
"50",25,"KYTOESAHO Niko","FIN",1999,"192","187","291,4"
"51",26,"INSAM Alex","ITA",1997,"193","176","279"
"52",27,"PETER Dominik","SUI",2001,"190","177,5","275"
"53",28,"STEINER Maximilian","AUT",1996,"183","160","241"
"54",29,"MOGEL Zak","SLO",2001,"191","126,5","209,2"
"55",30,"WOHLGENANNT Ulrich","AUT",1994,"202,5","","158,9"
"56",31,"MUELLER Markus","AUT",2002,"171,5","","123,4"
"57",32,"LEYHE Stephan","GER",1992,"147,5","","113,7"
"58",33,"SCHMID Constantin","GER",1999,"149,5","","112,7"
"59",34,"IPCIOGLU Fatih Arda","TUR",1997,"156","","107,1"
"60",35,"NIKAIDO Ren","JPN",2001,"150","","89,6"
"61",36,"BRESADOLA Giovanni","ITA",2001,"126","","82,2"
"62",37,"JOHANSSON Robert","NOR",1990,"119","","78,6"
"63",38,"PREVC Peter","SLO",1992,"130","","76,6"
"64",39,"PASCHKE Pius","GER",1990,"117","","73,9"
