"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"2",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"3",NA,"LARSON Casey","USA",1998,"","","Tq"
"4",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"5",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"6",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"7",NA,"PALOSAARI Vilho","FIN",2004,"","","Tq"
"8",NA,"PEIER Killian","SUI",1995,"","","Tq"
"9",NA,"PETER Dominik","SUI",2001,"","","Tq"
"10",NA,"SATO Yukiya","JPN",1995,"","","Tq"
"11",NA,"SPULBER Mihnea Alexandru","ROU",2000,"","","Tq"
"12",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"13",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","DSQK"
"14",NA,"RYDL Radek","CZE",2001,"","","DSQK"
"15",1,"KUBACKI Dawid","POL",1990,"139,5","143","309,7"
"16",2,"LANISEK Anze","SLO",1996,"132,5","138,5","284"
"17",3,"KRAFT Stefan","AUT",1993,"131","141,5","283,1"
"18",4,"ZYLA Piotr","POL",1987,"131,5","137","274,3"
"19",5,"GEIGER Karl","GER",1993,"132","138","273,4"
"20",5,"GRANERUD Halvor Egner","NOR",1996,"133","132","273,4"
"21",7,"JOHANSSON Robert","NOR",1990,"128,5","136,5","271,1"
"22",8,"STOCH Kamil","POL",1987,"133","136","268,7"
"23",9,"EISENBICHLER Markus","GER",1991,"128,5","135,5","265,2"
"24",10,"HAYBOECK Michael","AUT",1991,"128,5","135","264,7"
"25",11,"WASEK Pawel","POL",1999,"133","132,5","260,5"
"26",12,"KOBAYASHI Ryoyu","JPN",1996,"127","135","260,2"
"27",13,"PASCHKE Pius","GER",1990,"128,5","133,5","259,4"
"28",14,"PREVC Peter","SLO",1992,"132,5","130","256,9"
"29",15,"LEYHE Stephan","GER",1992,"132,5","133","255,1"
"30",16,"KOS Lovro","SLO",1999,"130,5","131,5","254,8"
"31",17,"FETTNER Manuel","AUT",1985,"126","130","251,4"
"32",18,"SUNDAL Kristoffer Eriksen","NOR",2001,"131","130","251,2"
"33",19,"ZOGRAFSKI Vladimir","BUL",1993,"127,5","128","250,2"
"34",20,"JELAR Ziga","SLO",1997,"128","130","248,7"
"35",21,"SCHMID Constantin","GER",1999,"128","126,5","247,9"
"36",22,"TANDE Daniel Andre","NOR",1994,"125,5","128","247,3"
"37",23,"FORFANG Johann Andre","NOR",1995,"123,5","130","246,2"
"38",24,"HOERL Jan","AUT",1998,"132,5","126","243,6"
"39",25,"ASCHENWALD Philipp","AUT",1995,"130,5","127","243,2"
"40",26,"NAKAMURA Naoki","JPN",1996,"125","127,5","242,8"
"41",27,"WELLINGER Andreas","GER",1995,"127,5","127","242,1"
"42",28,"BOYD-CLOWES Mackenzie","CAN",1991,"128","127","236,6"
"43",29,"AALTO Antti","FIN",1995,"128,5","121","235,9"
"44",30,"BRESADOLA Giovanni","ITA",2001,"127,5","124,5","231,1"
"45",31,"INSAM Alex","ITA",1997,"126,5","","115,5"
"46",32,"ZAJC Timi","SLO",2000,"121","","115,3"
"47",33,"TSCHOFENIG Daniel","AUT",2002,"124,5","","115,1"
"48",34,"PREVC Domen","SLO",1999,"126","","114,7"
"49",35,"LINDVIK Marius","NOR",1998,"123,5","","114,2"
"50",36,"DEAN Decker","USA",2000,"125","","114,1"
"51",37,"NOUSIAINEN Eetu","FIN",1997,"124,5","","112,2"
"52",38,"HEGGLI Bendik Jakobsen","NOR",2001,"123","","108"
"53",39,"KYTOESAHO Niko","FIN",1999,"120,5","","107,3"
"54",39,"MUELLER Markus","AUT",2002,"118","","107,3"
"55",41,"DESCHWANDEN Gregor","SUI",1991,"118,5","","105,4"
"56",42,"IPCIOGLU Fatih Arda","TUR",1997,"119","","104,7"
"57",43,"WOLNY Jakub","POL",1995,"117","","104,3"
"58",44,"NIKAIDO Ren","JPN",2001,"115","","103,8"
"59",45,"ZNISZCZOL Aleksander","POL",1994,"113","","103"
"60",46,"AIGRO Artti","EST",1999,"114","","100,4"
"61",47,"SATO Keiichi","JPN",1997,"118","","98,4"
"62",48,"KOBAYASHI Junshiro","JPN",1991,"115","","94,3"
"63",49,"CECON Francesco","ITA",2001,"115","","94,1"
"64",50,"PILCH Tomasz","POL",2000,"112","","94"
