"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AIGNER Clemens","AUT",1993,"","","Tq"
"2",NA,"AIGRO Artti","EST",1999,"","","Tq"
"3",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"4",NA,"BELSHAW Erik","USA",2004,"","","Tq"
"5",NA,"HAARE Anders","NOR",1999,"","","Tq"
"6",NA,"INSAM Alex","ITA",1997,"","","Tq"
"7",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"8",NA,"LEYHE Stephan","GER",1992,"","","Tq"
"9",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"10",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"11",NA,"OLAUSSEN Ivar II","NOR",2002,"","","Tq"
"12",NA,"RAIMUND Philipp","GER",2000,"","","Tq"
"13",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"14",NA,"SATO Yukiya","JPN",1995,"","","Tq"
"15",NA,"STEINER Maximilian","AUT",1996,"","","Tq"
"16",NA,"STEKALA Andrzej","POL",1995,"","","Tq"
"17",NA,"TAKEUCHI Taku","JPN",1987,"","","Tq"
"18",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"19",NA,"IMHOF Remo","SUI",2003,"","","DSQK"
"20",NA,"JOERGENSEN Sindre Ulven","NOR",2002,"","","DSQF"
"21",1,"KRAFT Stefan","AUT",1993,"246,5","235,5","497,4"
"22",2,"GRANERUD Halvor Egner","NOR",1996,"234","219","489,8"
"23",3,"LANISEK Anze","SLO",1996,"231","220,5","468,8"
"24",4,"HAYBOECK Michael","AUT",1991,"223,5","231","467,6"
"25",5,"PREVC Domen","SLO",1999,"240,5","200","451,8"
"26",6,"JOHANSSON Robert","NOR",1990,"234","211","448,4"
"27",7,"ZAJC Timi","SLO",2000,"232","208","448,2"
"28",8,"STOCH Kamil","POL",1987,"222,5","227,5","438,4"
"29",9,"TSCHOFENIG Daniel","AUT",2002,"230,5","212","438,1"
"30",10,"HOERL Jan","AUT",1998,"207,5","227,5","435,4"
"31",11,"DESCHWANDEN Gregor","SUI",1991,"206,5","231","433,3"
"32",12,"KOBAYASHI Ryoyu","JPN",1996,"210,5","228","432,3"
"33",13,"WELLINGER Andreas","GER",1995,"207,5","236","431,9"
"34",14,"EISENBICHLER Markus","GER",1991,"229","227","430,9"
"35",15,"ZYLA Piotr","POL",1987,"218","220,5","428,1"
"36",16,"TANDE Daniel Andre","NOR",1994,"220,5","220","428"
"37",17,"GEIGER Karl","GER",1993,"233","214","419,4"
"38",18,"FETTNER Manuel","AUT",1985,"204,5","229","417"
"39",19,"KOS Lovro","SLO",1999,"216,5","204","410,1"
"40",20,"JELAR Ziga","SLO",1997,"221","208","407"
"41",21,"ZNISZCZOL Aleksander","POL",1994,"205,5","220,5","404,9"
"42",22,"FORFANG Johann Andre","NOR",1995,"199,5","216,5","395,9"
"43",23,"NAKAMURA Naoki","JPN",1996,"209","212,5","395,1"
"44",24,"WASEK Pawel","POL",1999,"206,5","214","373,1"
"45",25,"AMMANN Simon","SUI",1981,"206","206","372,5"
"46",26,"SUNDAL Kristoffer Eriksen","NOR",2001,"211,5","189","370,3"
"47",27,"KYTOESAHO Niko","FIN",1999,"206","209","368,4"
"48",28,"BJOERENG Joacim Oedegaard","NOR",1995,"203,5","198","356,5"
"49",29,"RINGEN Sondre","NOR",1996,"210","181,5","350,4"
"50",30,"MASLE Rok","SLO",2004,"211,5","DSQ","193,4"
"51",31,"VILLUMSTAD Fredrik","NOR",1999,"203","","181,9"
"52",32,"FANNEMEL Anders","NOR",1991,"198","","175,1"
"53",33,"HEGGLI Bendik Jakobsen","NOR",2001,"190,5","","172,3"
"54",34,"BOYD-CLOWES Mackenzie","CAN",1991,"194","","166,8"
"55",35,"LISSO Justin","GER",1999,"196","","166,2"
"56",36,"DEAN Decker","USA",2000,"190,5","","164,6"
"57",37,"SCHMID Constantin","GER",1999,"193,5","","162,5"
"58",38,"KOBAYASHI Junshiro","JPN",1991,"190","","157,1"
"59",39,"LARSON Casey","USA",1998,"187,5","","153,8"
