"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"4",NA,"LEJSEK Frantisek","CZE",2002,"","","Tq"
"5",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"6",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"7",NA,"PILCH Tomasz","POL",2000,"","","Tq"
"8",NA,"RYDL Radek","CZE",2001,"","","Tq"
"9",1,"LANISEK Anze","SLO",1996,"139,5","142","320,3"
"10",2,"KUBACKI Dawid","POL",1990,"139","140","317"
"11",3,"ZYLA Piotr","POL",1987,"141","139","312,3"
"12",4,"KRAFT Stefan","AUT",1993,"136,5","138","307,4"
"13",5,"GRANERUD Halvor Egner","NOR",1996,"134,5","141","300,6"
"14",6,"WELLINGER Andreas","GER",1995,"137","139","295,1"
"15",7,"HOERL Jan","AUT",1998,"141","134","294,1"
"16",8,"STOCH Kamil","POL",1987,"130","135,5","287,8"
"17",9,"ZAJC Timi","SLO",2000,"131,5","133,5","286,8"
"18",10,"KOBAYASHI Ryoyu","JPN",1996,"134,5","134,5","284,7"
"19",11,"PASCHKE Pius","GER",1990,"128","133","279,2"
"20",12,"JELAR Ziga","SLO",1997,"136","132","278,9"
"21",13,"JOHANSSON Robert","NOR",1990,"124","137","278,7"
"22",14,"FETTNER Manuel","AUT",1985,"125","139,5","275,1"
"23",15,"LINDVIK Marius","NOR",1998,"123,5","134","274,9"
"24",16,"PREVC Domen","SLO",1999,"135","132,5","274,8"
"25",17,"TSCHOFENIG Daniel","AUT",2002,"127,5","134,5","274,7"
"26",18,"LEYHE Stephan","GER",1992,"134,5","128,5","273,7"
"27",19,"KOS Lovro","SLO",1999,"133","131,5","273,2"
"28",20,"BRESADOLA Giovanni","ITA",2001,"136,5","129,5","273,1"
"29",21,"NAKAMURA Naoki","JPN",1996,"129","130,5","270,8"
"30",22,"GEIGER Karl","GER",1993,"124","129,5","270,6"
"31",23,"WASEK Pawel","POL",1999,"136","129,5","270,2"
"32",24,"ASCHENWALD Philipp","AUT",1995,"128,5","129,5","260"
"33",25,"AALTO Antti","FIN",1995,"134,5","123","258,8"
"34",26,"PREVC Peter","SLO",1992,"124","124","258,3"
"35",27,"EISENBICHLER Markus","GER",1991,"121","129,5","258"
"36",28,"FORFANG Johann Andre","NOR",1995,"126,5","119,5","252,5"
"37",29,"SUNDAL Kristoffer Eriksen","NOR",2001,"133,5","118","245,4"
"38",30,"INSAM Alex","ITA",1997,"128","118","232,2"
"39",31,"SCHMID Constantin","GER",1999,"122,5","","125"
"40",32,"KOBAYASHI Junshiro","JPN",1991,"129","","124,7"
"41",33,"KYTOESAHO Niko","FIN",1999,"126,5","","124,6"
"42",34,"MUELLER Markus","AUT",2002,"126","","123,5"
"43",35,"SATO Yukiya","JPN",1995,"128","","122,3"
"44",36,"DESCHWANDEN Gregor","SUI",1991,"124","","121,8"
"45",37,"BOYD-CLOWES Mackenzie","CAN",1991,"122","","121,6"
"46",38,"BELSHAW Erik","USA",2004,"121,5","","121"
"47",39,"HAYBOECK Michael","AUT",1991,"115,5","","120"
"48",39,"SATO Keiichi","JPN",1997,"122","","120"
"49",41,"ZOGRAFSKI Vladimir","BUL",1993,"125","","119,9"
"50",42,"CECON Francesco","ITA",2001,"123","","119,7"
"51",42,"PEIER Killian","SUI",1995,"123","","119,7"
"52",44,"PETER Dominik","SUI",2001,"119,5","","119,5"
"53",45,"HEGGLI Bendik Jakobsen","NOR",2001,"124","","117,7"
"54",46,"ZNISZCZOL Aleksander","POL",1994,"118,5","","114,3"
"55",47,"DEAN Decker","USA",2000,"120","","113"
"56",48,"NIKAIDO Ren","JPN",2001,"121","","112,9"
"57",49,"WOLNY Jakub","POL",1995,"120,5","","112,1"
"58",50,"VASSILYEV Danil","KAZ",2004,"119","","111,3"
