"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BJOERENG Joacim Oedegaard","NOR",1995,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"CECON Francesco","ITA",2001,"","","Tq"
"4",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"5",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"6",NA,"HEGGLI Bendik Jakobsen","NOR",2001,"","","Tq"
"7",NA,"HULA Stefan","POL",1986,"","","Tq"
"8",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"9",NA,"LARSON Casey","USA",1998,"","","Tq"
"10",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"11",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"12",NA,"OESTVOLD Benjamin","NOR",2001,"","","Tq"
"13",NA,"RINGEN Sondre","NOR",1996,"","","Tq"
"14",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"15",NA,"STRAND Soelve Jokerud","NOR",2000,"","","Tq"
"16",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"17",NA,"ZOGRAFSKI Vladimir","BUL",1993,"","","Tq"
"18",1,"KRAFT Stefan","AUT",1993,"135","137","294,1"
"19",2,"KOBAYASHI Ryoyu","JPN",1996,"136","134,5","289"
"20",3,"GEIGER Karl","GER",1993,"135","134,5","286,2"
"21",4,"GRANERUD Halvor Egner","NOR",1996,"131,5","136,5","279,6"
"22",5,"HOERL Jan","AUT",1998,"130,5","142,5","277,7"
"23",6,"EISENBICHLER Markus","GER",1991,"129,5","140","277,6"
"24",7,"PREVC Cene","SLO",1996,"132","133","274,1"
"25",8,"ZYLA Piotr","POL",1987,"130","137","269,7"
"26",9,"FETTNER Manuel","AUT",1985,"127,5","139,5","268,6"
"27",10,"STOCH Kamil","POL",1987,"129,5","133,5","265,7"
"28",11,"JOHANSSON Robert","NOR",1990,"127,5","137","264,6"
"29",12,"SCHMID Constantin","GER",1999,"128,5","136,5","262,8"
"30",13,"LANISEK Anze","SLO",1996,"127","137","261,8"
"31",14,"HUBER Daniel","AUT",1993,"127","135,5","260,3"
"32",15,"KUBACKI Dawid","POL",1990,"128,5","135","257,8"
"33",16,"TANDE Daniel Andre","NOR",1994,"129,5","130","257,1"
"34",17,"ZAJC Timi","SLO",2000,"128","132,5","256,4"
"35",18,"FREUND Severin","GER",1988,"128,5","136","253,2"
"36",19,"AIGNER Clemens","AUT",1993,"127","132,5","253,1"
"37",20,"ASCHENWALD Philipp","AUT",1995,"126,5","133","252,4"
"38",21,"LINDVIK Marius","NOR",1998,"126","132","249,8"
"39",22,"KOS Lovro","SLO",1999,"125,5","130,5","248,5"
"40",23,"WASEK Pawel","POL",1999,"125,5","132","248,2"
"41",24,"JELAR Ziga","SLO",1997,"123,5","137","245,1"
"42",25,"KOBAYASHI Junshiro","JPN",1991,"126","131,5","243,9"
"43",26,"LEYHE Stephan","GER",1992,"122","131","242,5"
"44",27,"NOUSIAINEN Eetu","FIN",1997,"123,5","132","241"
"45",28,"AMMANN Simon","SUI",1981,"123","132","239,9"
"46",29,"SATO Yukiya","JPN",1995,"125","127","238,8"
"47",30,"PEIER Killian","SUI",1995,"122,5","125,5","228,8"
"48",31,"AIGRO Artti","EST",1999,"123","","111"
"49",32,"KYTOESAHO Niko","FIN",1999,"123","","110,6"
"50",33,"DESCHWANDEN Gregor","SUI",1991,"120,5","","109,3"
"51",34,"ITO Daiki","JPN",1985,"120,5","","107,9"
"52",35,"VILLUMSTAD Fredrik","NOR",1999,"120","","104,6"
"53",36,"JUROSZEK Kacper","POL",2001,"120","","104,1"
"54",37,"AALTO Antti","FIN",1995,"119,5","","103,3"
"55",38,"SATO Keiichi","JPN",1997,"119","","103"
"56",39,"WOHLGENANNT Ulrich","AUT",1994,"118,5","","101,4"
"57",40,"BOYD-CLOWES Mackenzie","CAN",1991,"117,5","","100,9"
"58",41,"WELLINGER Andreas","GER",1995,"118,5","","99,7"
"59",42,"PEDERSEN Robin","NOR",1996,"117","","98,9"
"60",43,"FORFANG Johann Andre","NOR",1995,"116,5","","98,3"
"61",44,"NAKAMURA Naoki","JPN",1996,"114,5","","94,3"
"62",45,"INSAM Alex","ITA",1997,"114,5","","92,6"
"63",46,"BICKNER Kevin","USA",1996,"113","","89,1"
"64",47,"BRESADOLA Giovanni","ITA",2001,"112","","88,6"
"65",48,"HAARE Anders","NOR",1999,"107","","78,5"
"66",49,"SEMENIC Anze","SLO",1993,"106,5","","76,5"
"67",50,"POLASEK Viktor","CZE",1997,"91,5","","47"
