"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BEDIR Muhammed Ali","TUR",2000,"","","Tq"
"2",NA,"BRESADOLA Giovanni","ITA",2001,"","","Tq"
"3",NA,"CONTAMINE Mathis","FRA",2001,"","","Tq"
"4",NA,"DEAN Decker","USA",2000,"","","Tq"
"5",NA,"FOUBERT Valentin","FRA",2002,"","","Tq"
"6",NA,"HEGGLI Bendik Jakobsen","NOR",2001,"","","Tq"
"7",NA,"INSAM Alex","ITA",1997,"","","Tq"
"8",NA,"IPCIOGLU Fatih Arda","TUR",1997,"","","Tq"
"9",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"10",NA,"LARSON Casey","USA",1998,"","","Tq"
"11",NA,"LEJSEK Frantisek","CZE",2002,"","","Tq"
"12",NA,"LINDVIK Marius","NOR",1998,"","","Tq"
"13",NA,"NAKAMURA Naoki","JPN",1996,"","","Tq"
"14",NA,"PEDERSEN Robin","NOR",1996,"","","Tq"
"15",NA,"SCHULER Andreas","SUI",1995,"","","Tq"
"16",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"17",NA,"WELLINGER Andreas","GER",1995,"","","Tq"
"18",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"19",NA,"STEKALA Andrzej","POL",1995,"","","DSQK"
"20",1,"ZAJC Timi","SLO",2000,"211,5","232","407,9"
"21",2,"ZYLA Piotr","POL",1987,"218,5","221","401,1"
"22",3,"KRAFT Stefan","AUT",1993,"212","222,5","399,8"
"23",4,"JELAR Ziga","SLO",1997,"208,5","233,5","397,5"
"24",5,"FORFANG Johann Andre","NOR",1995,"220","221","388,2"
"25",6,"KOBAYASHI Ryoyu","JPN",1996,"217","209,5","384,2"
"26",7,"KUBACKI Dawid","POL",1990,"221","206,5","380,7"
"27",8,"NOUSIAINEN Eetu","FIN",1997,"216","201,5","379,6"
"28",9,"EISENBICHLER Markus","GER",1991,"205,5","199,5","375,9"
"29",9,"GEIGER Karl","GER",1993,"214","203","375,9"
"30",11,"SATO Yukiya","JPN",1995,"215","211,5","374,9"
"31",12,"PREVC Peter","SLO",1992,"216","204","372,7"
"32",13,"FREUND Severin","GER",1988,"215,5","209,5","372,4"
"33",14,"HUBER Daniel","AUT",1993,"224,5","204,5","369,3"
"34",15,"LANISEK Anze","SLO",1996,"216","200","366,6"
"35",16,"HAYBOECK Michael","AUT",1991,"209","200,5","366,3"
"36",17,"FETTNER Manuel","AUT",1985,"206","206","365,5"
"37",18,"PREVC Domen","SLO",1999,"220,5","192","360,2"
"38",19,"KOS Lovro","SLO",1999,"209,5","192,5","352,4"
"39",20,"TSCHOFENIG Daniel","AUT",2002,"204,5","201,5","350,7"
"40",21,"STOCH Kamil","POL",1987,"202","195,5","346,6"
"41",22,"LACKNER Thomas","AUT",1993,"193","202","342,8"
"42",23,"AIGRO Artti","EST",1999,"187,5","204,5","342,2"
"43",24,"SCHMID Constantin","GER",1999,"193","200,5","339,1"
"44",25,"AMMANN Simon","SUI",1981,"187","207,5","338,6"
"45",26,"LEYHE Stephan","GER",1992,"207,5","185,5","335,9"
"46",27,"BJOERENG Joacim Oedegaard","NOR",1995,"187,5","192,5","332"
"47",28,"ZNISZCZOL Aleksander","POL",1994,"203","198,5","330,6"
"48",29,"WOHLGENANNT Ulrich","AUT",1994,"198","190,5","326,2"
"49",30,"SATO Keiichi","JPN",1997,"196,5","179,5","313,3"
"50",31,"AALTO Antti","FIN",1995,"187,5","","145,7"
"51",32,"KYTOESAHO Niko","FIN",1999,"187","","145,5"
"52",33,"GRANERUD Halvor Egner","NOR",1996,"185,5","","144,5"
"53",34,"KOBAYASHI Junshiro","JPN",1991,"181,5","","139,5"
"54",35,"BOYD-CLOWES Mackenzie","CAN",1991,"173,5","","137,2"
"55",36,"PEIER Killian","SUI",1995,"184,5","","136,3"
"56",37,"PREVC Cene","SLO",1996,"180","","136"
"57",38,"VILLUMSTAD Fredrik","NOR",1999,"178,5","","132"
"58",39,"MALTSEV Kevin","EST",2000,"164","","115,8"
"59",40,"ZOGRAFSKI Vladimir","BUL",1993,"148","","85,3"
