"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AALTO Antti","FIN",1995,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"CHOI Heung-Chul","KOR",1981,"","","Tq"
"4",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"5",NA,"DEAN Decker","USA",2000,"","","Tq"
"6",NA,"HAZETDINOV Ilmir","RUS",1991,"","","Tq"
"7",NA,"HULA Stefan","POL",1986,"","","Tq"
"8",NA,"KOLOBOV Maksim","RUS",2002,"","","Tq"
"9",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"10",NA,"KRAFT Stefan","AUT",1993,"","","Tq"
"11",NA,"MAKSIMOCHKIN Mikhail","RUS",1993,"","","Tq"
"12",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"13",NA,"MANKOV Ilya","RUS",2003,"","","Tq"
"14",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"15",NA,"MURANKA Klemens","POL",1994,"","","Tq"
"16",NA,"PREVC Domen","SLO",1999,"","","Tq"
"17",NA,"PURTOV Mikhail","RUS",2002,"","","Tq"
"18",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"19",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"20",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"21",NA,"ZAJC Timi","SLO",2000,"","","Tq"
"22",NA,"SONG Qiwu","CHN",2001,"","","DSQK"
"23",NA,"SADREEV Danil","RUS",2003,"","","DSQF"
"24",1,"GEIGER Karl","GER",1993,"134,5","133","252,4"
"25",2,"KOBAYASHI Ryoyu","JPN",1996,"128","131","243,7"
"26",3,"GRANERUD Halvor Egner","NOR",1996,"133","125","239,7"
"27",4,"NAKAMURA Naoki","JPN",1996,"130","128,5","230,2"
"28",5,"STOCH Kamil","POL",1987,"117,5","125","221,3"
"29",6,"EISENBICHLER Markus","GER",1991,"122,5","119,5","219,6"
"30",7,"LANISEK Anze","SLO",1996,"126,5","122,5","219,1"
"31",8,"PREVC Cene","SLO",1996,"121,5","127,5","215,5"
"32",9,"JOHANSSON Robert","NOR",1990,"131,5","117","215,3"
"33",10,"SATO Yukiya","JPN",1995,"119","120,5","213,4"
"34",11,"KOBAYASHI Junshiro","JPN",1991,"121,5","118","209,6"
"35",12,"FETTNER Manuel","AUT",1985,"129","120","206,5"
"36",13,"KUBACKI Dawid","POL",1990,"125","115","206"
"37",14,"LEYHE Stephan","GER",1992,"124,5","113","202,4"
"38",15,"ITO Daiki","JPN",1985,"125","115","201,3"
"39",16,"PEIER Killian","SUI",1995,"121","115","198,9"
"40",17,"HUBER Daniel","AUT",1993,"133","101,5","198,3"
"41",18,"KYTOESAHO Niko","FIN",1999,"123,5","112,5","196,6"
"42",19,"LINDVIK Marius","NOR",1998,"122","113","195,5"
"43",20,"KLIMOV Evgeniy","RUS",1994,"122","113","195,3"
"44",21,"SCHIFFNER Markus","AUT",1992,"125,5","113","194"
"45",22,"SCHMID Constantin","GER",1999,"121,5","112,5","189,6"
"46",23,"HOERL Jan","AUT",1998,"129,5","101","189,4"
"47",24,"TANDE Daniel Andre","NOR",1994,"120","111,5","187,6"
"48",25,"FORFANG Johann Andre","NOR",1995,"118,5","111","183,8"
"49",26,"PASCHKE Pius","GER",1990,"118","108,5","182"
"50",27,"PETER Dominik","SUI",2001,"117","109,5","180,9"
"51",28,"AMMANN Simon","SUI",1981,"126,5","105,5","173,9"
"52",29,"SATO Keiichi","JPN",1997,"117,5","104,5","173,1"
"53",30,"BOYD-CLOWES Mackenzie","CAN",1991,"115,5","105","172,2"
"54",31,"WELLINGER Andreas","GER",1995,"114","","93,8"
"55",32,"TROFIMOV Roman Sergeevich","RUS",1989,"113,5","","93,4"
"56",32,"ZYLA Piotr","POL",1987,"113,5","","93,4"
"57",34,"KOS Lovro","SLO",1999,"113,5","","92,3"
"58",35,"NAZAROV Mikhail","RUS",1994,"118","","92,1"
"59",36,"FANNEMEL Anders","NOR",1991,"117,5","","91,6"
"60",37,"AIGRO Artti","EST",1999,"115,5","","91,3"
"61",38,"ZOGRAFSKI Vladimir","BUL",1993,"111,5","","88,7"
"62",39,"ASCHENWALD Philipp","AUT",1995,"113","","86,3"
"63",40,"TSCHOFENIG Daniel","AUT",2002,"113","","86,1"
"64",41,"KORNILOV Denis","RUS",1986,"109,5","","85,9"
"65",42,"BARTOL Tilen","SLO",1997,"116,5","","85,4"
"66",43,"VILLUMSTAD Fredrik","NOR",1999,"106","","82,2"
"67",44,"POLASEK Viktor","CZE",1997,"112,5","","79,5"
"68",45,"WOLNY Jakub","POL",1995,"105","","71,9"
"69",46,"IPCIOGLU Fatih Arda","TUR",1997,"99,5","","65,4"
"70",47,"BAZHENOV Aleksandr","RUS",1995,"100","","64,1"
"71",48,"STEKALA Andrzej","POL",1995,"96","","49"
"72",49,"FELDOREAN Andrei","ROU",2000,"89","","40,6"
