"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AALTO Antti","FIN",1995,"","","Tq"
"2",NA,"BJOERENG Joacim Oedegaard","NOR",1995,"","","Tq"
"3",NA,"BOYD-CLOWES Mackenzie","CAN",1991,"","","Tq"
"4",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"5",NA,"CHOI Heung-Chul","KOR",1981,"","","Tq"
"6",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"7",NA,"DEAN Decker","USA",2000,"","","Tq"
"8",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"9",NA,"FOUBERT Valentin","FRA",2002,"","","Tq"
"10",NA,"INSAM Alex","ITA",1997,"","","Tq"
"11",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"12",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"13",NA,"LARSON Casey","USA",1998,"","","Tq"
"14",NA,"MANKOV Ilya","RUS",2003,"","","Tq"
"15",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"16",NA,"NAZAROV Mikhail","RUS",1994,"","","Tq"
"17",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"18",NA,"POLASEK Viktor","CZE",1997,"","","Tq"
"19",NA,"REISENAUER Janni","AUT",1997,"","","Tq"
"20",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"21",NA,"SATO Keiichi","JPN",1997,"","","Tq"
"22",NA,"STEINER Maximilian","AUT",1996,"","","Tq"
"23",NA,"STEKALA Andrzej","POL",1995,"","","Tq"
"24",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"25",NA,"VASKUL Andrii","UKR",1999,"","","Tq"
"26",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"27",NA,"VILLUMSTAD Fredrik","NOR",1999,"","","Tq"
"28",1,"KOBAYASHI Ryoyu","JPN",1996,"137","137,5","291,3"
"29",2,"LINDVIK Marius","NOR",1998,"137,5","135,5","286,6"
"30",3,"GRANERUD Halvor Egner","NOR",1996,"135,5","135,5","282,4"
"31",4,"GEIGER Karl","GER",1993,"133","136","280,8"
"32",5,"FETTNER Manuel","AUT",1985,"137","132,5","273,1"
"33",5,"HOERL Jan","AUT",1998,"138","132,5","273,1"
"34",7,"JOHANSSON Robert","NOR",1990,"133","135","270,4"
"35",8,"EISENBICHLER Markus","GER",1991,"130","140,5","270,3"
"36",9,"HAYBOECK Michael","AUT",1991,"130,5","131,5","267,1"
"37",10,"SATO Yukiya","JPN",1995,"137","126,5","262,9"
"38",11,"AIGNER Clemens","AUT",1993,"129","135,5","262,7"
"39",12,"FREUND Severin","GER",1988,"131,5","133,5","257,3"
"40",13,"HUBER Daniel","AUT",1993,"132","127,5","257"
"41",14,"ZAJC Timi","SLO",2000,"130,5","131,5","256,6"
"42",15,"WELLINGER Andreas","GER",1995,"129,5","130,5","252,7"
"43",16,"FORFANG Johann Andre","NOR",1995,"134,5","123,5","251,5"
"44",17,"ASCHENWALD Philipp","AUT",1995,"132,5","124,5","251,4"
"45",18,"ZYLA Piotr","POL",1987,"130","130","250,1"
"46",19,"KOBAYASHI Junshiro","JPN",1991,"129,5","129,5","249,4"
"47",20,"LEYHE Stephan","GER",1992,"130,5","135","249"
"48",21,"KUBACKI Dawid","POL",1990,"128,5","131,5","248,2"
"49",22,"WOHLGENANNT Ulrich","AUT",1994,"131,5","124","247,5"
"50",23,"KRAFT Stefan","AUT",1993,"133","123","246,3"
"51",24,"ITO Daiki","JPN",1985,"131","126","245,1"
"52",25,"KOS Lovro","SLO",1999,"136","138,5","243,9"
"53",26,"PEIER Killian","SUI",1995,"130","133","243,5"
"54",27,"SADREEV Danil","RUS",2003,"129,5","126,5","240,1"
"55",28,"PREVC Peter","SLO",1992,"133,5","116,5","237,3"
"56",29,"DESCHWANDEN Gregor","SUI",1991,"129,5","127,5","236,8"
"57",30,"WOLNY Jakub","POL",1995,"124","125","224,7"
"58",31,"NAKAMURA Naoki","JPN",1996,"123","118","211,7"
"59",32,"SCHMID Constantin","GER",1999,"132","","125,2"
"60",33,"KLIMOV Evgeniy","RUS",1994,"127","","124,4"
"61",34,"KYTOESAHO Niko","FIN",1999,"128","","123,6"
"62",34,"LACKNER Thomas","AUT",1993,"128,5","","123,6"
"63",36,"ZOGRAFSKI Vladimir","BUL",1993,"130","","123,2"
"64",37,"LANISEK Anze","SLO",1996,"129,5","","122,5"
"65",38,"TANDE Daniel Andre","NOR",1994,"125,5","","121,9"
"66",39,"WASEK Pawel","POL",1999,"127,5","","115,9"
"67",40,"TSCHOFENIG Daniel","AUT",2002,"123","","115,2"
"68",41,"BRESADOLA Giovanni","ITA",2001,"121","","114,9"
"69",42,"IPCIOGLU Fatih Arda","TUR",1997,"124","","114,5"
"70",43,"AMMANN Simon","SUI",1981,"124","","114,3"
"71",44,"AIGRO Artti","EST",1999,"126","","114,1"
"72",45,"JELAR Ziga","SLO",1997,"122","","112,7"
"73",46,"PASCHKE Pius","GER",1990,"123,5","","108"
"74",47,"RAINER Stefan","AUT",1999,"119","","105,7"
"75",48,"TROFIMOV Roman Sergeevich","RUS",1989,"108","","85,3"
"76",49,"MALTSEV Kevin","EST",2000,"107","","83,3"
"77",50,"MOGEL Zak","SLO",2001,"101,5","","65,1"
