"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"2",NA,"CHOI Heung-Chul","KOR",1981,"","","Tq"
"3",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"4",NA,"DEAN Decker","USA",2000,"","","Tq"
"5",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"6",NA,"FOUBERT Valentin","FRA",2002,"","","Tq"
"7",NA,"INSAM Alex","ITA",1997,"","","Tq"
"8",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"9",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"10",NA,"LARSON Casey","USA",1998,"","","Tq"
"11",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"12",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"13",NA,"NAZAROV Mikhail","RUS",1994,"","","Tq"
"14",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"15",NA,"STEKALA Andrzej","POL",1995,"","","Tq"
"16",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"17",NA,"VASKUL Andrii","UKR",1999,"","","Tq"
"18",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"19",NA,"WELLINGER Andreas","GER",1995,"","","Tq"
"20",NA,"ZAJC Timi","SLO",2000,"","","Tq"
"21",NA,"FREUND Severin","GER",1988,"","","DSQF"
"22",1,"KOBAYASHI Ryoyu","JPN",1996,"128,5","141","302"
"23",2,"GRANERUD Halvor Egner","NOR",1996,"132","133","299,2"
"24",3,"JOHANSSON Robert","NOR",1990,"135,5","131","298,6"
"25",4,"LINDVIK Marius","NOR",1998,"129,5","137,5","296,3"
"26",5,"GEIGER Karl","GER",1993,"131,5","131","295,9"
"27",6,"KOS Lovro","SLO",1999,"126,5","139,5","289,5"
"28",7,"EISENBICHLER Markus","GER",1991,"129,5","132,5","281,1"
"29",8,"HUBER Daniel","AUT",1993,"129","126,5","269"
"30",9,"LEYHE Stephan","GER",1992,"124,5","125","266,8"
"31",10,"DESCHWANDEN Gregor","SUI",1991,"129","122,5","262,6"
"32",11,"KOBAYASHI Junshiro","JPN",1991,"127","124,5","261,2"
"33",12,"KRAFT Stefan","AUT",1993,"126,5","123","260,1"
"34",13,"AMMANN Simon","SUI",1981,"123","125","258,4"
"35",14,"PEIER Killian","SUI",1995,"121,5","125","256,8"
"36",15,"KLIMOV Evgeniy","RUS",1994,"122","123","256,6"
"37",16,"SATO Yukiya","JPN",1995,"117","123,5","252,8"
"38",17,"HOERL Jan","AUT",1998,"121","121,5","252,4"
"39",18,"TANDE Daniel Andre","NOR",1994,"121,5","121","251"
"40",19,"PREVC Peter","SLO",1992,"128","118","249,8"
"41",20,"NAKAMURA Naoki","JPN",1996,"121,5","119","248,1"
"42",21,"TSCHOFENIG Daniel","AUT",2002,"122","115,5","246,2"
"43",22,"ASCHENWALD Philipp","AUT",1995,"121","116","244,7"
"44",23,"LANISEK Anze","SLO",1996,"116","121,5","241,3"
"45",24,"TROFIMOV Roman Sergeevich","RUS",1989,"115,5","123,5","234,1"
"46",25,"BOYD-CLOWES Mackenzie","CAN",1991,"126,5","111","234"
"47",26,"PASCHKE Pius","GER",1990,"123","110","233,8"
"48",27,"PREVC Cene","SLO",1996,"122","110,5","230,7"
"49",28,"KUBACKI Dawid","POL",1990,"111,5","113,5","227,8"
"50",29,"IPCIOGLU Fatih Arda","TUR",1997,"120","109","224,7"
"51",30,"FORFANG Johann Andre","NOR",1995,"110,5","121","224,4"
"52",31,"SCHMID Constantin","GER",1999,"118,5","","124,6"
"53",32,"WOLNY Jakub","POL",1995,"118","","124"
"54",33,"WASEK Pawel","POL",1999,"121,5","","123,8"
"55",34,"ITO Daiki","JPN",1985,"120","","123,4"
"56",35,"WOHLGENANNT Ulrich","AUT",1994,"121,5","","122,1"
"57",36,"JELAR Ziga","SLO",1997,"121","","119,2"
"58",37,"VILLUMSTAD Fredrik","NOR",1999,"117","","119,1"
"59",38,"ZYLA Piotr","POL",1987,"114","","116,5"
"60",39,"FETTNER Manuel","AUT",1985,"114,5","","115,2"
"61",40,"SADREEV Danil","RUS",2003,"116,5","","115,1"
"62",41,"STOCH Kamil","POL",1987,"118","","114"
"63",42,"AIGRO Artti","EST",1999,"112","","109,7"
"64",43,"KYTOESAHO Niko","FIN",1999,"113","","109,3"
"65",44,"AALTO Antti","FIN",1995,"116,5","","108,6"
"66",45,"POLASEK Viktor","CZE",1997,"113,5","","107,3"
"67",46,"SATO Keiichi","JPN",1997,"109,5","","104,7"
"68",47,"MANKOV Ilya","RUS",2003,"111,5","","103,7"
"69",48,"BRESADOLA Giovanni","ITA",2001,"111","","102,1"
"70",49,"ZOGRAFSKI Vladimir","BUL",1993,"102,5","","90,1"
