"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"CHOI Heung-Chul","KOR",1981,"","","Tq"
"4",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"5",NA,"DEVYATKIN Nikita","KAZ",1999,"","","Tq"
"6",NA,"HABDAS Jan","POL",2003,"","","Tq"
"7",NA,"JUROSZEK Kacper","POL",2001,"","","Tq"
"8",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"9",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"10",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"11",NA,"POLASEK Viktor","CZE",1997,"","","Tq"
"12",NA,"RINGEN Sondre","NOR",1996,"","","Tq"
"13",NA,"RYDL Radek","CZE",2001,"","","Tq"
"14",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"15",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"16",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"17",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"18",NA,"SATO Keiichi","JPN",1997,"","","DSQK"
"19",NA,"MALTSEV Kevin","EST",2000,"","","DSQF"
"20",1,"LINDVIK Marius","NOR",1998,"135","139,5","294,6"
"21",2,"GEIGER Karl","GER",1993,"134,5","135,5","284,6"
"22",3,"LANISEK Anze","SLO",1996,"134,5","135,5","283,7"
"23",4,"KOBAYASHI Ryoyu","JPN",1996,"136","132","282,6"
"24",5,"TSCHOFENIG Daniel","AUT",2002,"135","133,5","281,3"
"25",6,"HUBER Daniel","AUT",1993,"138,5","136","276,8"
"26",7,"PEIER Killian","SUI",1995,"135,5","135,5","274,5"
"27",8,"HOERL Jan","AUT",1998,"131","133","273,5"
"28",9,"ZAJC Timi","SLO",2000,"129,5","132","272,1"
"29",10,"EISENBICHLER Markus","GER",1991,"129","130","270"
"30",11,"AIGNER Clemens","AUT",1993,"133","130,5","267,5"
"31",12,"PREVC Cene","SLO",1996,"131","129","266,4"
"32",13,"PREVC Peter","SLO",1992,"131","124,5","263,5"
"33",14,"DESCHWANDEN Gregor","SUI",1991,"130,5","126,5","261,5"
"34",15,"SATO Yukiya","JPN",1995,"131","124,5","261,1"
"35",16,"KOS Lovro","SLO",1999,"123,5","131","256,7"
"36",17,"ZYLA Piotr","POL",1987,"123,5","131,5","256,4"
"37",18,"TANDE Daniel Andre","NOR",1994,"125","128","256,3"
"38",19,"JELAR Ziga","SLO",1997,"124","128","255,4"
"39",20,"FREUND Severin","GER",1988,"129,5","121","252,9"
"40",21,"SADREEV Danil","RUS",2003,"127","122,5","251,1"
"41",22,"WASEK Pawel","POL",1999,"125,5","124","250,3"
"42",23,"AMMANN Simon","SUI",1981,"127,5","126,5","246,7"
"43",24,"ASCHENWALD Philipp","AUT",1995,"122,5","128","245,5"
"44",25,"GRANERUD Halvor Egner","NOR",1996,"127","122,5","243,4"
"45",26,"BOYD-CLOWES Mackenzie","CAN",1991,"124,5","124","242,9"
"46",27,"HULA Stefan","POL",1986,"126","124","238,1"
"47",28,"FETTNER Manuel","AUT",1985,"124,5","118,5","235,6"
"48",29,"KLIMOV Evgeniy","RUS",1994,"129","118,5","233,6"
"49",30,"FORFANG Johann Andre","NOR",1995,"125,5","","122,9"
"50",31,"LEYHE Stephan","GER",1992,"122,5","","120,7"
"51",32,"KOT Maciej","POL",1991,"124,5","","120,5"
"52",32,"NAKAMURA Naoki","JPN",1996,"123","","120,5"
"53",32,"PEDERSEN Robin","NOR",1996,"122","","120,5"
"54",35,"HAYBOECK Michael","AUT",1991,"125","","119"
"55",36,"ITO Daiki","JPN",1985,"124","","118,3"
"56",37,"SCHMID Constantin","GER",1999,"121,5","","117,4"
"57",38,"WOLNY Jakub","POL",1995,"121,5","","116,5"
"58",39,"VILLUMSTAD Fredrik","NOR",1999,"123","","116,3"
"59",40,"NAZAROV Mikhail","RUS",1994,"120","","113,8"
"60",41,"MURANKA Klemens","POL",1994,"120","","113,5"
"61",42,"PILCH Tomasz","POL",2000,"118,5","","111,7"
"62",43,"IPCIOGLU Fatih Arda","TUR",1997,"122","","111,6"
"63",44,"ZOGRAFSKI Vladimir","BUL",1993,"119","","111,4"
"64",45,"KOBAYASHI Junshiro","JPN",1991,"117,5","","111,2"
"65",46,"PASCHKE Pius","GER",1990,"116,5","","108,5"
"66",47,"STEKALA Andrzej","POL",1995,"120,5","","107,6"
"67",48,"ZNISZCZOL Aleksander","POL",1994,"115,5","","101,5"
"68",49,"MANKOV Ilya","RUS",2003,"115","","100,4"
"69",50,"KOUDELKA Roman","CZE",1989,"103,5","","80,8"
