"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BATBY Alessandro","FRA",2001,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"CECON Francesco","ITA",2001,"","","Tq"
"4",NA,"CINTIMAR Muhammet Irfan","TUR",1997,"","","Tq"
"5",NA,"CONTAMINE Mathis","FRA",2001,"","","Tq"
"6",NA,"FANNEMEL Anders","NOR",1991,"","","Tq"
"7",NA,"FELDOREAN Andrei","ROU",2000,"","","Tq"
"8",NA,"VASSILYEV Danil","KAZ",2004,"","","Tq"
"9",NA,"BICKNER Kevin","USA",1996,"","","DSQK"
"10",NA,"PREVC Domen","SLO",1999,"","","DSQK"
"11",NA,"WASEK Pawel","POL",1999,"","","DSQF"
"12",1,"KOBAYASHI Ryoyu","JPN",1996,"129,5","139","262,8"
"13",2,"TANDE Daniel Andre","NOR",1994,"130,5","141,5","260,2"
"14",3,"LINDVIK Marius","NOR",1998,"126","141","256,6"
"15",4,"JOHANSSON Robert","NOR",1990,"128","139,5","255,8"
"16",5,"GRANERUD Halvor Egner","NOR",1996,"128","138","254,9"
"17",6,"FORFANG Johann Andre","NOR",1995,"123","138,5","247,5"
"18",7,"PREVC Cene","SLO",1996,"123","136,5","243,8"
"19",8,"SCHMID Constantin","GER",1999,"127,5","134","241,2"
"20",9,"KOBAYASHI Junshiro","JPN",1991,"128,5","135","240,7"
"21",10,"ASCHENWALD Philipp","AUT",1995,"128","128,5","233,2"
"22",11,"FETTNER Manuel","AUT",1985,"124","131","232,2"
"23",12,"SADREEV Danil","RUS",2003,"125,5","131","229,3"
"24",13,"PEIER Killian","SUI",1995,"118","132","228,7"
"25",14,"ZYLA Piotr","POL",1987,"124","129","226,7"
"26",15,"HOERL Jan","AUT",1998,"120,5","128,5","226,2"
"27",16,"HUBER Daniel","AUT",1993,"122","128","223,5"
"28",17,"KOS Lovro","SLO",1999,"124","128","220,7"
"29",18,"PETER Dominik","SUI",2001,"121","130","220,4"
"30",19,"LEYHE Stephan","GER",1992,"117","132","219,6"
"31",20,"NAKAMURA Naoki","JPN",1996,"121,5","127,5","219,1"
"32",21,"WELLINGER Andreas","GER",1995,"116","133,5","218,9"
"33",22,"GEIGER Karl","GER",1993,"115,5","134","217,3"
"34",23,"LANISEK Anze","SLO",1996,"121,5","126","216,5"
"35",24,"NAZAROV Mikhail","RUS",1994,"121,5","125","215,4"
"36",25,"AMMANN Simon","SUI",1981,"124,5","123","213,1"
"37",26,"KRAFT Stefan","AUT",1993,"117","126,5","209,4"
"38",27,"SATO Yukiya","JPN",1995,"115,5","129,5","207"
"39",28,"DESCHWANDEN Gregor","SUI",1991,"117","125","200,6"
"40",29,"PASCHKE Pius","GER",1990,"116,5","124,5","197,8"
"41",30,"BRESADOLA Giovanni","ITA",2001,"116,5","119,5","197,4"
"42",31,"TKACHENKO Sergey","KAZ",1999,"118","116","179,4"
"43",32,"SCHIFFNER Markus","AUT",1992,"117","","91"
"44",33,"BOYD-CLOWES Mackenzie","CAN",1991,"115,5","","90,5"
"45",34,"IPCIOGLU Fatih Arda","TUR",1997,"117","","90,3"
"46",35,"DEAN Decker","USA",2000,"115,5","","90,2"
"47",36,"TSCHOFENIG Daniel","AUT",2002,"115","","89,9"
"48",37,"AIGRO Artti","EST",1999,"115","","89,1"
"49",38,"ITO Daiki","JPN",1985,"119","","88,3"
"50",39,"SATO Keiichi","JPN",1997,"115","","87"
"51",40,"EISENBICHLER Markus","GER",1991,"115","","86,6"
"52",41,"PREVC Peter","SLO",1992,"113","","83,8"
"53",42,"ZNISZCZOL Aleksander","POL",1994,"110,5","","82,1"
"54",43,"ZOGRAFSKI Vladimir","BUL",1993,"111,5","","81,2"
"55",44,"VILLUMSTAD Fredrik","NOR",1999,"110,5","","80,3"
"56",45,"MANKOV Ilya","RUS",2003,"109,5","","80"
"57",46,"KLIMOV Evgeniy","RUS",1994,"111,5","","78,9"
"58",47,"KYTOESAHO Niko","FIN",1999,"106,5","","70"
"59",48,"ZAJC Timi","SLO",2000,"105","","69,7"
"60",49,"POLASEK Viktor","CZE",1997,"103","","63,4"
