"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",1,"ZYLA Piotr","POL",1987,"225,5","219,5","418,5"
"2",2,"ZAJC Timi","SLO",2000,"222,5","225","418,2"
"3",3,"KRAFT Stefan","AUT",1993,"224,5","214,5","414,6"
"4",4,"GEIGER Karl","GER",1993,"230","213","414,5"
"5",5,"KUBACKI Dawid","POL",1990,"226","217","410,4"
"6",6,"AALTO Antti","FIN",1995,"214,5","225,5","405,1"
"7",7,"STOCH Kamil","POL",1987,"217,5","231,5","400,9"
"8",8,"JOHANSSON Robert","NOR",1990,"206,5","226,5","398"
"9",9,"KOBAYASHI Ryoyu","JPN",1996,"224","207,5","397,7"
"10",10,"LINDVIK Marius","NOR",1998,"209","231,5","395,7"
"11",11,"HAYBOECK Michael","AUT",1991,"215,5","224","395,6"
"12",12,"PEDERSEN Robin","NOR",1996,"205","225","393,1"
"13",13,"SCHMID Constantin","GER",1999,"212,5","211","391,3"
"14",14,"TANDE Daniel Andre","NOR",1994,"207","227,5","389,2"
"15",15,"LEYHE Stephan","GER",1992,"208","226,5","385,9"
"16",16,"FORFANG Johann Andre","NOR",1995,"206","220","383,3"
"17",17,"LANISEK Anze","SLO",1996,"207","214","379,7"
"18",18,"PASCHKE Pius","GER",1990,"204","215,5","377,3"
"19",19,"ASCHENWALD Philipp","AUT",1995,"208,5","214","376"
"20",20,"TEPES Jurij","SLO",1989,"200","211,5","368,4"
"21",21,"KOBAYASHI Junshiro","JPN",1991,"201,5","209","368,1"
"22",22,"HUBER Daniel","AUT",1993,"195,5","205","363,8"
"23",23,"JELAR Ziga","SLO",1997,"185","205,5","361,2"
"24",24,"WOLNY Jakub","POL",1995,"211","201","360,3"
"25",25,"PREVC Domen","SLO",1999,"198,5","205","357,1"
"26",26,"AIGRO Artti","EST",1999,"197","204","357"
"27",27,"SATO Yukiya","JPN",1995,"205","197","353,2"
"28",28,"EISENBICHLER Markus","GER",1991,"201","200","342"
"29",29,"HAARE Anders","NOR",1999,"193","191","337,7"
"30",30,"ZNISZCZOL Aleksander","POL",1994,"197","188","332,4"
"31",31,"AMMANN Simon","SUI",1981,"197","","162,7"
"32",32,"ZOGRAFSKI Vladimir","BUL",1993,"196,5","","162,3"
"33",33,"PREVC Peter","SLO",1992,"195,5","","161,9"
"34",34,"BOYD-CLOWES Mackenzie","CAN",1991,"180","","160,7"
"35",35,"STEKALA Andrzej","POL",1995,"191,5","","158,7"
"36",36,"SATO Keiichi","JPN",1997,"191,5","","158"
"37",37,"TAKEUCHI Taku","JPN",1987,"181","","152,8"
"38",38,"SCHULER Andreas","SUI",1995,"181","","152,6"
"39",39,"DESCHWANDEN Gregor","SUI",1991,"170,5","","149,9"
"40",40,"SCHLIERENZAUER Gregor","AUT",1990,"182,5","","146,9"
"41",41,"KOZISEK Cestmir","CZE",1991,"178","","142"
"42",42,"KOUDELKA Roman","CZE",1989,"176","","139,1"
"43",43,"NAKAMURA Naoki","JPN",1996,"175","","138,3"
"44",44,"LEITNER Clemens","AUT",1998,"169","","135,8"
"45",45,"SEMENIC Anze","SLO",1993,"161,5","","135,4"
"46",46,"MURANKA Klemens","POL",1994,"170","","132,1"
"47",47,"STURSA Vojtech","CZE",1995,"157","","123,9"
"48",48,"CECON Federico","ITA",1994,"158","","116,4"
"49",49,"HUBER Stefan","AUT",1994,"148","","115,7"
"50",50,"MAEAETTAE Jarkko","FIN",1994,"150","","114,9"
"51",51,"SOUKUP Matthew","CAN",1997,"156,5","","113,3"
"52",52,"SAKALA Filip","CZE",1996,"146,5","","104,7"
"53",53,"POHJOLA Arttu","FIN",2001,"139","","89,7"
