"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AIGRO Artti","EST",1999,"","","Tq"
"2",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"3",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"4",NA,"CECON Federico","ITA",1994,"","","Tq"
"5",NA,"CONTAMINE Mathis","FRA",2001,"","","Tq"
"6",NA,"HOFER Thomas","AUT",1996,"","","Tq"
"7",NA,"INSAM Alex","ITA",1997,"","","Tq"
"8",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"9",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"10",NA,"KYTOESAHO Niko","FIN",1999,"","","Tq"
"11",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"12",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"13",NA,"PETER Dominik","SUI",2001,"","","Tq"
"14",NA,"POLASEK Viktor","CZE",1997,"","","Tq"
"15",NA,"RAINER Stefan","AUT",1999,"","","Tq"
"16",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"17",NA,"SEMENIC Anze","SLO",1993,"","","Tq"
"18",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"19",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"20",NA,"ZOGRAFSKI Vladimir","BUL",1993,"","","Tq"
"21",1,"KUBACKI Dawid","POL",1990,"143","140,5","300,9"
"22",2,"GEIGER Karl","GER",1993,"140","136","291"
"23",3,"LINDVIK Marius","NOR",1998,"139","137","289,4"
"24",4,"KRAFT Stefan","AUT",1993,"138","137","287,4"
"25",5,"PREVC Peter","SLO",1992,"136,5","138","283,6"
"26",6,"TANDE Daniel Andre","NOR",1994,"137,5","135","279,3"
"27",7,"KOBAYASHI Ryoyu","JPN",1996,"135,5","138","279"
"28",8,"ITO Daiki","JPN",1985,"137","134","276,4"
"29",9,"PREVC Domen","SLO",1999,"140","133","275,5"
"30",10,"ASCHENWALD Philipp","AUT",1995,"136","135","274,6"
"31",11,"FORFANG Johann Andre","NOR",1995,"135,5","135","273,9"
"32",12,"SATO Yukiya","JPN",1995,"139","131,5","271,3"
"33",13,"STOCH Kamil","POL",1987,"134,5","134","269,6"
"34",14,"EISENBICHLER Markus","GER",1991,"137","130","266,5"
"35",15,"HUBER Daniel","AUT",1993,"135","133","266,3"
"36",16,"JOHANSSON Robert","NOR",1990,"133","132","258,5"
"37",17,"SCHLIERENZAUER Gregor","AUT",1990,"129","133","258,1"
"38",18,"LEYHE Stephan","GER",1992,"132","131","257,7"
"39",19,"HAYBOECK Michael","AUT",1991,"131","132","257,2"
"40",20,"SCHMID Constantin","GER",1999,"134,5","127,5","256,8"
"41",21,"PEIER Killian","SUI",1995,"128","131","253"
"42",22,"PREVC Cene","SLO",1996,"132","128","252,7"
"43",23,"KOUDELKA Roman","CZE",1989,"126","131","248,1"
"44",24,"HUBER Stefan","AUT",1994,"132","126,5","247,4"
"45",25,"LEITNER Clemens","AUT",1998,"130","128","246,2"
"46",26,"AIGNER Clemens","AUT",1993,"129","128","245,1"
"47",27,"ZYLA Piotr","POL",1987,"125,5","129","242,1"
"48",28,"PASCHKE Pius","GER",1990,"126","127,5","239,2"
"49",29,"KOBAYASHI Junshiro","JPN",1991,"127","124,5","237,8"
"50",30,"HAARE Anders","NOR",1999,"125","124","226"
"51",31,"LANISEK Anze","SLO",1996,"126","","120,2"
"52",32,"HOERL Jan","AUT",1998,"127","","119,7"
"53",33,"KOT Maciej","POL",1991,"126","","119,3"
"54",34,"AALTO Antti","FIN",1995,"127","","117,4"
"55",35,"TKACHENKO Sergey","KAZ",1999,"124","","114,1"
"56",36,"NAKAMURA Naoki","JPN",1996,"124","","112,5"
"57",37,"TAKEUCHI Taku","JPN",1987,"123","","112,1"
"58",38,"SATO Keiichi","JPN",1997,"125","","111,9"
"59",39,"KLIMOV Evgeniy","RUS",1994,"124","","111,4"
"60",40,"ZAJC Timi","SLO",2000,"121","","110,5"
"61",41,"FETTNER Manuel","AUT",1985,"123,5","","108,5"
"62",42,"BOYD-CLOWES Mackenzie","CAN",1991,"120,5","","107,1"
"63",43,"TROFIMOV Roman Sergeevich","RUS",1989,"122","","106"
"64",44,"PEDERSEN Robin","NOR",1996,"120","","105,8"
"65",45,"SCHIFFNER Markus","AUT",1992,"121","","104,9"
"66",46,"AMMANN Simon","SUI",1981,"121","","104,7"
"67",47,"DESCHWANDEN Gregor","SUI",1991,"118,5","","100,9"
"68",48,"RINGEN Sondre","NOR",1996,"117","","100,4"
"69",49,"HULA Stefan","POL",1986,"119","","100,3"
"70",50,"VASSILIEV Dimitry","RUS",1979,"113","","90"
