"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"2",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"3",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"4",NA,"PEDERSEN Robin","NOR",1996,"","","Tq"
"5",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"6",NA,"TEPES Jurij","SLO",1989,"","","Tq"
"7",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"8",NA,"SADREEV Danil","RUS",2003,"","","DSQF"
"9",1,"KRAFT Stefan","AUT",1993,"103","97,5","270,3"
"10",2,"GEIGER Karl","GER",1993,"99,5","96","266,7"
"11",3,"SCHMID Constantin","GER",1999,"103","95,5","260,2"
"12",4,"KUBACKI Dawid","POL",1990,"96","100","258,6"
"13",5,"TANDE Daniel Andre","NOR",1994,"98","94,5","255,5"
"14",6,"LINDVIK Marius","NOR",1998,"93","99","253,8"
"15",7,"LEYHE Stephan","GER",1992,"95,5","97","252,8"
"16",8,"JELAR Ziga","SLO",1997,"98","97,5","252,4"
"17",9,"STOCH Kamil","POL",1987,"92","98,5","250,3"
"18",10,"FORFANG Johann Andre","NOR",1995,"96","96","249,5"
"19",11,"HAYBOECK Michael","AUT",1991,"100,5","93,5","249,2"
"20",12,"SCHLIERENZAUER Gregor","AUT",1990,"103","93","248,4"
"21",13,"ASCHENWALD Philipp","AUT",1995,"97","95,5","244,9"
"22",14,"EISENBICHLER Markus","GER",1991,"96","94","244,3"
"23",15,"PREVC Cene","SLO",1996,"97","94,5","243,9"
"24",16,"PREVC Peter","SLO",1992,"97","92","242"
"25",17,"HAARE Anders","NOR",1999,"93","95","241,9"
"26",18,"KOUDELKA Roman","CZE",1989,"94,5","94","240,9"
"27",19,"HUBER Daniel","AUT",1993,"93,5","95,5","239,4"
"28",20,"HUBER Stefan","AUT",1994,"94,5","93","235,4"
"29",21,"PASCHKE Pius","GER",1990,"95","93","235,2"
"30",21,"ZYLA Piotr","POL",1987,"92","95","235,2"
"31",23,"GRANERUD Halvor Egner","NOR",1996,"92,5","96","234,1"
"32",24,"PEIER Killian","SUI",1995,"88,5","93","227,5"
"33",24,"ZNISZCZOL Aleksander","POL",1994,"94","90,5","227,5"
"34",26,"AALTO Antti","FIN",1995,"91","93,5","226,3"
"35",27,"MURANKA Klemens","POL",1994,"94","90,5","225,3"
"36",28,"WATANABE Hiroaki","JPN",1991,"93,5","90,5","221"
"37",29,"FREUND Severin","GER",1988,"92","87","217,6"
"38",29,"TOCHIMOTO Shohei","JPN",1989,"92","87","217,6"
"39",31,"JUSTIN Rok","SLO",1993,"89","","110,5"
"40",32,"NAZAROV Mikhail","RUS",1994,"91","","109,6"
"41",33,"DESCHWANDEN Gregor","SUI",1991,"88,5","","109,4"
"42",34,"WASEK Pawel","POL",1999,"88","","109,2"
"43",35,"KLIMOV Evgeniy","RUS",1994,"90","","109"
"44",36,"ZOGRAFSKI Vladimir","BUL",1993,"90","","108,8"
"45",37,"WOLNY Jakub","POL",1995,"89,5","","108,6"
"46",38,"IWASA Yuken","JPN",1999,"89","","108,5"
"47",39,"HOERL Jan","AUT",1998,"89,5","","108,1"
"48",40,"MUMINOV Sabirzhan","KAZ",1994,"89,5","","107,6"
"49",41,"KOZISEK Cestmir","CZE",1991,"89,5","","107,4"
"50",41,"TKACHENKO Sergey","KAZ",1999,"88,5","","107,4"
"51",43,"TAKEUCHI Taku","JPN",1987,"87,5","","106,9"
"52",44,"CECON Federico","ITA",1994,"89","","106,6"
"53",45,"SCHULER Andreas","SUI",1995,"89,5","","106,5"
"54",46,"PETER Dominik","SUI",2001,"88","","105"
"55",47,"POLASEK Viktor","CZE",1997,"87","","104,8"
"56",48,"STURSA Vojtech","CZE",1995,"89,5","","102,6"
"57",49,"MANKOV Ilya","RUS",2003,"84,5","","97,4"
