"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AIGRO Artti","EST",1999,"","","Tq"
"2",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"3",NA,"CECON Federico","ITA",1994,"","","Tq"
"4",NA,"CONTAMINE Mathis","FRA",2001,"","","Tq"
"5",NA,"FETTNER Manuel","AUT",1985,"","","Tq"
"6",NA,"HAARE Anders","NOR",1999,"","","Tq"
"7",NA,"HOFER Thomas","AUT",1996,"","","Tq"
"8",NA,"INSAM Alex","ITA",1997,"","","Tq"
"9",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"10",NA,"KLIMOV Evgeniy","RUS",1994,"","","Tq"
"11",NA,"KOZISEK Cestmir","CZE",1991,"","","Tq"
"12",NA,"KYTOESAHO Niko","FIN",1999,"","","Tq"
"13",NA,"LEAROYD Jonathan","FRA",2000,"","","Tq"
"14",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"15",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"16",NA,"RAINER Stefan","AUT",1999,"","","Tq"
"17",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"18",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"19",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"20",NA,"VASSILIEV Dimitry","RUS",1979,"","","Tq"
"21",NA,"WOLNY Jakub","POL",1995,"","","Tq"
"22",NA,"ZOGRAFSKI Vladimir","BUL",1993,"","","DSQK"
"23",1,"LINDVIK Marius","NOR",1998,"133","120,5","253,3"
"24",2,"KUBACKI Dawid","POL",1990,"133","120,5","252"
"25",3,"TANDE Daniel Andre","NOR",1994,"126","131","249,3"
"26",4,"KRAFT Stefan","AUT",1993,"123","127,5","245"
"27",5,"LEYHE Stephan","GER",1992,"125","125","241,6"
"28",6,"SCHLIERENZAUER Gregor","AUT",1990,"127,5","126","240"
"29",7,"FORFANG Johann Andre","NOR",1995,"131","120,5","238,4"
"30",8,"GEIGER Karl","GER",1993,"117,5","126","236,5"
"31",9,"PREVC Peter","SLO",1992,"127","122","236,3"
"32",10,"PREVC Domen","SLO",1999,"125","122","234,6"
"33",11,"LANISEK Anze","SLO",1996,"124","120,5","233,8"
"34",12,"ZYLA Piotr","POL",1987,"117","125","230,9"
"35",13,"ASCHENWALD Philipp","AUT",1995,"115","127,5","230,8"
"36",14,"KOBAYASHI Ryoyu","JPN",1996,"122","120","229,8"
"37",15,"STOCH Kamil","POL",1987,"126,5","118,5","229,5"
"38",16,"KOUDELKA Roman","CZE",1989,"124","123,5","228,9"
"39",17,"JOHANSSON Robert","NOR",1990,"127","115,5","224,8"
"40",18,"ITO Daiki","JPN",1985,"122,5","117","221,9"
"41",19,"PEIER Killian","SUI",1995,"123","120","221,3"
"42",20,"ZAJC Timi","SLO",2000,"123,5","114,5","219,8"
"43",21,"HOERL Jan","AUT",1998,"120","122,5","219,5"
"44",22,"KOBAYASHI Junshiro","JPN",1991,"117","122","215,4"
"45",23,"HAYBOECK Michael","AUT",1991,"122,5","119","214"
"46",24,"AALTO Antti","FIN",1995,"119","119","211,9"
"47",25,"HUBER Daniel","AUT",1993,"126","118,5","207,7"
"48",26,"SCHMID Constantin","GER",1999,"118","115","205,3"
"49",27,"EISENBICHLER Markus","GER",1991,"114,5","116,5","200,7"
"50",28,"NAKAMURA Naoki","JPN",1996,"123","109,5","199,3"
"51",29,"SATO Keiichi","JPN",1997,"127,5","103","194"
"52",30,"TAKEUCHI Taku","JPN",1987,"117,5","110,5","193,4"
"53",31,"AMMANN Simon","SUI",1981,"122,5","","112,7"
"54",32,"HUBER Stefan","AUT",1994,"118","","110,4"
"55",33,"PASCHKE Pius","GER",1990,"120,5","","107,1"
"56",34,"RINGEN Sondre","NOR",1996,"117","","105,5"
"57",35,"AIGNER Clemens","AUT",1993,"118","","104,7"
"58",36,"PREVC Cene","SLO",1996,"116,5","","103,2"
"59",37,"BOYD-CLOWES Mackenzie","CAN",1991,"118","","103"
"60",38,"JUSTIN Rok","SLO",1993,"113,5","","102,2"
"61",39,"LEITNER Clemens","AUT",1998,"116","","102,1"
"62",39,"PEDERSEN Robin","NOR",1996,"115","","102,1"
"63",41,"DESCHWANDEN Gregor","SUI",1991,"113,5","","101,8"
"64",42,"SCHIFFNER Markus","AUT",1992,"113,5","","101,3"
"65",43,"POLASEK Viktor","CZE",1997,"113","","100,8"
"66",44,"KOT Maciej","POL",1991,"112","","99,6"
"67",45,"BICKNER Kevin","USA",1996,"114","","95,7"
"68",46,"SATO Yukiya","JPN",1995,"111","","92,7"
"69",47,"BAER Moritz","GER",1997,"107","","91,4"
"70",48,"SAKALA Filip","CZE",1996,"105,5","","86,7"
"71",49,"PETER Dominik","SUI",2001,"102","","81,3"
"72",50,"HULA Stefan","POL",1986,"100,5","","73,2"
