"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"2",NA,"DEAN Decker","USA",2000,"","","Tq"
"3",NA,"HAYBOECK Michael","AUT",1991,"","","Tq"
"4",NA,"JUROSZEK Kacper","POL",2001,"","","Tq"
"5",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"6",NA,"KASAI Noriaki","JPN",1972,"","","Tq"
"7",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"8",NA,"KYTOESAHO Niko","FIN",1999,"","","Tq"
"9",NA,"MAEAETTAE Jarkko","FIN",1994,"","","Tq"
"10",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"11",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"12",NA,"MURANKA Klemens","POL",1994,"","","Tq"
"13",NA,"NAZAROV Mikhail","RUS",1994,"","","Tq"
"14",NA,"NIZNIK Adam II","POL",2002,"","","Tq"
"15",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"16",NA,"STEKALA Andrzej","POL",1995,"","","Tq"
"17",NA,"STURSA Vojtech","CZE",1995,"","","Tq"
"18",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"19",NA,"INSAM Alex","ITA",1997,"","","DSQK"
"20",NA,"PILCH Tomasz","POL",2000,"","","DSQK"
"21",NA,"SEMENIC Anze","SLO",1993,"","","DSQK"
"22",1,"TANDE Daniel Andre","NOR",1994,"127","129","241,4"
"23",2,"LANISEK Anze","SLO",1996,"126","126","225,6"
"24",3,"STOCH Kamil","POL",1987,"118","126,5","224,2"
"25",4,"KOBAYASHI Ryoyu","JPN",1996,"124,5","120,5","224"
"26",5,"ITO Daiki","JPN",1985,"130,5","123,5","223,2"
"27",6,"ZAJC Timi","SLO",2000,"119","134,5","222,3"
"28",7,"GEIGER Karl","GER",1993,"127","118","221,4"
"29",7,"KUBACKI Dawid","POL",1990,"125","127,5","221,4"
"30",9,"PEDERSEN Robin","NOR",1996,"136","118","219,8"
"31",10,"KOBAYASHI Junshiro","JPN",1991,"117","129,5","217,4"
"32",11,"JOHANSSON Robert","NOR",1990,"130,5","119","216,6"
"33",12,"HOERL Jan","AUT",1998,"126","123","215,3"
"34",13,"NAKAMURA Naoki","JPN",1996,"122","128","213,8"
"35",14,"LINDVIK Marius","NOR",1998,"126","122","213"
"36",15,"PREVC Peter","SLO",1992,"125","123","211,1"
"37",16,"FORFANG Johann Andre","NOR",1995,"114","136","209,3"
"38",17,"SATO Yukiya","JPN",1995,"116,5","129","207,5"
"39",18,"ASCHENWALD Philipp","AUT",1995,"125,5","116","207,2"
"40",19,"HUBER Daniel","AUT",1993,"112","126","201,6"
"41",20,"PEIER Killian","SUI",1995,"113,5","122,5","200,3"
"42",21,"KRAFT Stefan","AUT",1993,"109","120","195,4"
"43",22,"MARKENG Thomas Aasen","NOR",2000,"124","109,5","195,3"
"44",23,"PREVC Domen","SLO",1999,"122,5","116","193"
"45",24,"FREITAG Richard","GER",1991,"131","106","191,3"
"46",25,"KOT Maciej","POL",1991,"116,5","117","190,3"
"47",26,"PASCHKE Pius","GER",1990,"118","106,5","189,6"
"48",27,"JUSTIN Rok","SLO",1993,"113","109,5","174"
"49",28,"TROFIMOV Roman Sergeevich","RUS",1989,"113","114,5","173,2"
"50",29,"BARTOL Tilen","SLO",1997,"118,5","103,5","169,3"
"51",30,"SCHLIERENZAUER Gregor","AUT",1990,"111","106,5","159,1"
"52",31,"SCHMID Constantin","GER",1999,"109,5","","85"
"53",32,"ZOGRAFSKI Vladimir","BUL",1993,"112,5","","82,3"
"54",33,"WOLNY Jakub","POL",1995,"110,5","","81,3"
"55",34,"LEYHE Stephan","GER",1992,"110","","78,5"
"56",35,"ZYLA Piotr","POL",1987,"119","","76,1"
"57",36,"SAKALA Filip","CZE",1996,"109,5","","75,8"
"58",37,"SCHULER Andreas","SUI",1995,"107,5","","74,2"
"59",38,"HULA Stefan","POL",1986,"106","","74,1"
"60",39,"WASEK Pawel","POL",1999,"106,5","","73,3"
"61",40,"KLIMOV Evgeniy","RUS",1994,"102","","68,9"
"62",41,"BOYD-CLOWES Mackenzie","CAN",1991,"99","","68"
"63",42,"BAER Moritz","GER",1997,"93","","67,4"
"64",43,"PETER Dominik","SUI",2001,"101","","67"
"65",44,"ZNISZCZOL Aleksander","POL",1994,"103","","66"
"66",45,"DESCHWANDEN Gregor","SUI",1991,"98","","61,6"
"67",46,"KORNILOV Denis","RUS",1986,"96","","51,1"
"68",47,"ALAMOMMO Andreas","FIN",1998,"87,5","","45,9"
"69",48,"NOUSIAINEN Eetu","FIN",1997,"90","","45,3"
"70",49,"POLASEK Viktor","CZE",1997,"89","","31,4"
"71",50,"EISENBICHLER Markus","GER",1991,"73","","23,8"
