"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"2",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"3",NA,"SADREEV Danil","RUS",2003,"","","Tq"
"4",NA,"SOUKUP Matthew","CAN",1997,"","","Tq"
"5",NA,"URLAUB Andrew","USA",2001,"","","Tq"
"6",NA,"WASEK Pawel","POL",1999,"","","Tq"
"7",NA,"MANKOV Ilya","RUS",2003,"","","DSQK"
"8",1,"GEIGER Karl","GER",1993,"100","100","270,3"
"9",2,"LEYHE Stephan","GER",1992,"99","97,5","264,7"
"10",3,"KRAFT Stefan","AUT",1993,"98","97,5","264,5"
"11",4,"PREVC Peter","SLO",1992,"98,5","96","258,2"
"12",5,"LINDVIK Marius","NOR",1998,"98","96","256,5"
"13",6,"STOCH Kamil","POL",1987,"98","95","252,2"
"14",7,"ASCHENWALD Philipp","AUT",1995,"97","95","251,5"
"15",8,"KUBACKI Dawid","POL",1990,"98","94,5","251,1"
"16",9,"ZYLA Piotr","POL",1987,"95","95","248,7"
"17",10,"PASCHKE Pius","GER",1990,"94,5","94,5","246,9"
"18",11,"EISENBICHLER Markus","GER",1991,"92","95,5","243,7"
"19",12,"JELAR Ziga","SLO",1997,"93","96","242,4"
"20",13,"HUBER Daniel","AUT",1993,"94,5","93","240,8"
"21",14,"FORFANG Johann Andre","NOR",1995,"95","93","239,7"
"22",15,"SCHMID Constantin","GER",1999,"93","95","239,2"
"23",16,"JUSTIN Rok","SLO",1993,"92","93","236,6"
"24",17,"SCHLIERENZAUER Gregor","AUT",1990,"93","92,5","236,5"
"25",18,"TANDE Daniel Andre","NOR",1994,"96","90","235,9"
"26",19,"AALTO Antti","FIN",1995,"89,5","91","227,3"
"27",20,"WOLNY Jakub","POL",1995,"91","90","227,2"
"28",21,"PREVC Cene","SLO",1996,"90,5","89,5","226,6"
"29",22,"ZOGRAFSKI Vladimir","BUL",1993,"90","88,5","224,7"
"30",23,"KLIMOV Evgeniy","RUS",1994,"90","88,5","224,6"
"31",24,"ZNISZCZOL Aleksander","POL",1994,"90","90","224,5"
"32",25,"DESCHWANDEN Gregor","SUI",1991,"90,5","88,5","224"
"33",26,"HAARE Anders","NOR",1999,"90","89,5","222,9"
"34",27,"KOUDELKA Roman","CZE",1989,"89","88","222,6"
"35",28,"PETER Dominik","SUI",2001,"89","87,5","220,7"
"36",29,"PEIER Killian","SUI",1995,"90","86","219,4"
"37",30,"HAYBOECK Michael","AUT",1991,"90","87","218,7"
"38",31,"GRANERUD Halvor Egner","NOR",1996,"89,5","85,5","217,5"
"39",32,"FREUND Severin","GER",1988,"89","","109,8"
"40",32,"TKACHENKO Sergey","KAZ",1999,"88,5","","109,8"
"41",34,"HOERL Jan","AUT",1998,"88,5","","109,5"
"42",35,"WATANABE Hiroaki","JPN",1991,"89,5","","109,4"
"43",36,"IWASA Yuken","JPN",1999,"88","","109"
"44",37,"HUBER Stefan","AUT",1994,"88,5","","108,8"
"45",38,"POLASEK Viktor","CZE",1997,"88","","108,6"
"46",39,"STURSA Vojtech","CZE",1995,"88,5","","107,4"
"47",40,"MURANKA Klemens","POL",1994,"87,5","","107,3"
"48",40,"TOCHIMOTO Shohei","JPN",1989,"89","","107,3"
"49",42,"PEDERSEN Robin","NOR",1996,"87","","106,5"
"50",43,"TAKEUCHI Taku","JPN",1987,"88","","106"
"51",44,"SCHULER Andreas","SUI",1995,"87","","104,8"
"52",45,"KOZISEK Cestmir","CZE",1991,"86,5","","103,2"
"53",46,"MUMINOV Sabirzhan","KAZ",1994,"86","","103,1"
"54",47,"NAZAROV Mikhail","RUS",1994,"85,5","","101,7"
"55",48,"KALINICHENKO Vitaliy","UKR",1993,"86","","101,5"
"56",49,"CECON Federico","ITA",1994,"85,5","","101"
"57",50,"TEPES Jurij","SLO",1989,"82","","94,9"
