"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"2",NA,"BAZHENOV Aleksandr","RUS",1995,"","","Tq"
"3",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"4",NA,"HAZETDINOV Ilmir","RUS",1991,"","","Tq"
"5",NA,"INSAM Alex","ITA",1997,"","","Tq"
"6",NA,"JUSTIN Rok","SLO",1993,"","","Tq"
"7",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"8",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"9",NA,"NAZAROV Mikhail","RUS",1994,"","","Tq"
"10",NA,"SAKALA Filip","CZE",1996,"","","Tq"
"11",NA,"SEMENIC Anze","SLO",1993,"","","Tq"
"12",NA,"SHISHKIN Vadim","RUS",1995,"","","Tq"
"13",NA,"STURSA Vojtech","CZE",1995,"","","Tq"
"14",NA,"ZOGRAFSKI Vladimir","BUL",1993,"","","Tq"
"15",1,"KRAFT Stefan","AUT",1993,"140","134,5","277,6"
"16",2,"PEIER Killian","SUI",1995,"138","137","254,6"
"17",3,"KOBAYASHI Ryoyu","JPN",1996,"133,5","113","252,3"
"18",4,"TANDE Daniel Andre","NOR",1994,"131,5","131","251,8"
"19",5,"MARKENG Thomas Aasen","NOR",2000,"138,5","131","246,8"
"20",6,"GEIGER Karl","GER",1993,"130,5","124,5","246"
"21",7,"SCHMID Constantin","GER",1999,"131,5","131","239,2"
"22",8,"PREVC Peter","SLO",1992,"127,5","131,5","238,6"
"23",9,"JOHANSSON Robert","NOR",1990,"122","128","234"
"24",10,"ZAJC Timi","SLO",2000,"121","126,5","229,1"
"25",11,"PASCHKE Pius","GER",1990,"125","124,5","220,8"
"26",11,"SATO Yukiya","JPN",1995,"126","123","220,8"
"27",13,"HAYBOECK Michael","AUT",1991,"124,5","125","220,4"
"28",14,"FORFANG Johann Andre","NOR",1995,"118","123","220,3"
"29",15,"STOCH Kamil","POL",1987,"122","121,5","219,5"
"30",16,"WOLNY Jakub","POL",1995,"124,5","120","218,7"
"31",17,"KUBACKI Dawid","POL",1990,"125","120","218,4"
"32",18,"HOERL Jan","AUT",1998,"119,5","122","217,2"
"33",19,"HUBER Daniel","AUT",1993,"125","119","216,3"
"34",20,"ASCHENWALD Philipp","AUT",1995,"120","120","216,1"
"35",21,"AMMANN Simon","SUI",1981,"126","122","214,2"
"36",22,"LEYHE Stephan","GER",1992,"121,5","119","207,8"
"37",23,"PEDERSEN Robin","NOR",1996,"114,5","122","205,5"
"38",24,"KOT Maciej","POL",1991,"125,5","110,5","203,7"
"39",25,"HULA Stefan","POL",1986,"120","119","194,7"
"40",26,"VASSILIEV Dimitry","RUS",1979,"123","107","188,5"
"41",27,"BAER Moritz","GER",1997,"121,5","107,5","187,2"
"42",28,"LANISEK Anze","SLO",1996,"114","116","183,6"
"43",29,"KOBAYASHI Junshiro","JPN",1991,"124,5","94","174,9"
"44",30,"FREITAG Richard","GER",1991,"117","81","145,3"
"45",31,"ITO Daiki","JPN",1985,"115,5","","96,3"
"46",32,"POLASEK Viktor","CZE",1997,"119","","96,2"
"47",33,"AALTO Antti","FIN",1995,"115","","95,9"
"48",34,"LINDVIK Marius","NOR",1998,"115","","95,8"
"49",35,"ZYLA Piotr","POL",1987,"112","","94,9"
"50",36,"EISENBICHLER Markus","GER",1991,"118,5","","94,2"
"51",37,"TROFIMOV Roman Sergeevich","RUS",1989,"111","","92,4"
"52",38,"DESCHWANDEN Gregor","SUI",1991,"114,5","","91,9"
"53",39,"MURANKA Klemens","POL",1994,"112,5","","91,5"
"54",40,"PREVC Domen","SLO",1999,"118","","90,7"
"55",41,"KOUDELKA Roman","CZE",1989,"111,5","","86,9"
"56",42,"BOYD-CLOWES Mackenzie","CAN",1991,"113","","86,4"
"57",43,"BARTOL Tilen","SLO",1997,"110","","84,4"
"58",44,"SCHLIERENZAUER Gregor","AUT",1990,"103,5","","83,2"
"59",45,"KASAI Noriaki","JPN",1972,"107","","75,2"
"60",46,"TKACHENKO Sergey","KAZ",1999,"105","","73,6"
"61",47,"NOUSIAINEN Eetu","FIN",1997,"104","","73,4"
"62",48,"MAKSIMOCHKIN Mikhail","RUS",1993,"101,5","","68,8"
"63",49,"NAKAMURA Naoki","JPN",1996,"95,5","","62,3"
"64",50,"KLIMOV Evgeniy","RUS",1994,"94","","51,3"
