"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"2",NA,"HULA Stefan","POL",1986,"","","Tq"
"3",NA,"INSAM Alex","ITA",1997,"","","Tq"
"4",NA,"KASAI Noriaki","JPN",1972,"","","Tq"
"5",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"6",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"7",NA,"SEMENIC Anze","SLO",1993,"","","Tq"
"8",NA,"SHISHKIN Vadim","RUS",1995,"","","Tq"
"9",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"10",NA,"VASSILIEV Dimitry","RUS",1979,"","","Tq"
"11",NA,"ZAJC Timi","SLO",2000,"","","Tq"
"12",NA,"BAZHENOV Aleksandr","RUS",1995,"","","DSQK"
"13",NA,"BICKNER Kevin","USA",1996,"","","DSQK"
"14",1,"SATO Yukiya","JPN",1995,"126,5","132","251,6"
"15",2,"GEIGER Karl","GER",1993,"130","130","250,1"
"16",3,"ASCHENWALD Philipp","AUT",1995,"129","129","249,4"
"17",4,"SCHLIERENZAUER Gregor","AUT",1990,"126,5","133,5","249"
"18",5,"KUBACKI Dawid","POL",1990,"127","131","245"
"19",6,"KOBAYASHI Ryoyu","JPN",1996,"126","130","244,6"
"20",7,"KRAFT Stefan","AUT",1993,"128","130","244,4"
"21",8,"PREVC Peter","SLO",1992,"133,5","123","240,6"
"22",9,"STOCH Kamil","POL",1987,"121","128,5","237"
"23",10,"LEYHE Stephan","GER",1992,"124,5","128","234,9"
"24",11,"ITO Daiki","JPN",1985,"128","127","233,5"
"25",12,"LINDVIK Marius","NOR",1998,"119","130","232"
"26",13,"FORFANG Johann Andre","NOR",1995,"119,5","128,5","229,5"
"27",14,"LANISEK Anze","SLO",1996,"123,5","123","228,2"
"28",15,"HOERL Jan","AUT",1998,"123,5","125,5","227,8"
"29",16,"PEIER Killian","SUI",1995,"128","122","227,5"
"30",17,"PEDERSEN Robin","NOR",1996,"121,5","125","223,4"
"31",18,"FREITAG Richard","GER",1991,"125,5","116","221,6"
"32",19,"BAER Moritz","GER",1997,"123","122,5","219,7"
"33",19,"HUBER Daniel","AUT",1993,"124,5","120,5","219,7"
"34",21,"HAYBOECK Michael","AUT",1991,"123","123","219,6"
"35",21,"TANDE Daniel Andre","NOR",1994,"124","114","219,6"
"36",23,"SCHMID Constantin","GER",1999,"119,5","121","219"
"37",24,"ZYLA Piotr","POL",1987,"131","112","218,8"
"38",25,"JOHANSSON Robert","NOR",1990,"131","123","214,1"
"39",26,"KOBAYASHI Junshiro","JPN",1991,"119,5","119,5","206,4"
"40",27,"KOT Maciej","POL",1991,"116,5","119","201,2"
"41",28,"PASCHKE Pius","GER",1990,"118","114,5","199,2"
"42",29,"AMMANN Simon","SUI",1981,"120,5","112,5","198,8"
"43",30,"ZOGRAFSKI Vladimir","BUL",1993,"118,5","110","185"
"44",31,"EISENBICHLER Markus","GER",1991,"114","","97,8"
"45",32,"WOLNY Jakub","POL",1995,"114,5","","96,4"
"46",33,"DESCHWANDEN Gregor","SUI",1991,"116","","95,5"
"47",34,"AALTO Antti","FIN",1995,"113","","95"
"48",34,"KOUDELKA Roman","CZE",1989,"114,5","","95"
"49",36,"NAKAMURA Naoki","JPN",1996,"114","","93,2"
"50",37,"PREVC Domen","SLO",1999,"115","","91,2"
"51",38,"BARTOL Tilen","SLO",1997,"113,5","","90,8"
"52",39,"TKACHENKO Sergey","KAZ",1999,"111","","89,1"
"53",40,"BOYD-CLOWES Mackenzie","CAN",1991,"113,5","","86,6"
"54",41,"KLIMOV Evgeniy","RUS",1994,"108","","86,3"
"55",42,"HAZETDINOV Ilmir","RUS",1991,"108","","85,5"
"56",43,"SAKALA Filip","CZE",1996,"109","","85,2"
"57",44,"MAKSIMOCHKIN Mikhail","RUS",1993,"107,5","","80,2"
"58",45,"MURANKA Klemens","POL",1994,"105,5","","79,9"
"59",46,"NAZAROV Mikhail","RUS",1994,"107","","78,8"
"60",47,"JUSTIN Rok","SLO",1993,"106","","77,9"
"61",48,"STURSA Vojtech","CZE",1995,"105","","76,8"
"62",49,"POLASEK Viktor","CZE",1997,"103","","75"
"63",50,"NOUSIAINEN Eetu","FIN",1997,"99,5","","66,5"
