"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"CHOI Seou","KOR",1982,"","","Tq"
"2",NA,"ROTH Luca","GER",2000,"","","DSQF"
"3",1,"KUBACKI Dawid","POL",1990,"140,5","141","290,1"
"4",2,"KRAFT Stefan","AUT",1993,"135,5","140,5","283,7"
"5",3,"KOBAYASHI Ryoyu","JPN",1996,"138,5","138,5","282,8"
"6",4,"FORFANG Johann Andre","NOR",1995,"137,5","138","280,4"
"7",5,"LEYHE Stephan","GER",1992,"139","134,5","277,6"
"8",5,"SCHMID Constantin","GER",1999,"136","139,5","277,6"
"9",7,"TANDE Daniel Andre","NOR",1994,"136","138,5","275,4"
"10",8,"STOCH Kamil","POL",1987,"137,5","135,5","275,1"
"11",9,"ZYLA Piotr","POL",1987,"136","134","273,6"
"12",10,"ZAJC Timi","SLO",2000,"135","137","271,7"
"13",11,"KLIMOV Evgeniy","RUS",1994,"139,5","134,5","269,7"
"14",12,"GEIGER Karl","GER",1993,"132,5","135","269"
"15",13,"JOHANSSON Robert","NOR",1990,"135","137","268,7"
"16",14,"LANISEK Anze","SLO",1996,"134","135","267,5"
"17",15,"SCHLIERENZAUER Gregor","AUT",1990,"132","136","265,1"
"18",16,"ITO Daiki","JPN",1985,"136,5","134","265"
"19",17,"LINDVIK Marius","NOR",1998,"132,5","135","259,7"
"20",18,"SATO Yukiya","JPN",1995,"129,5","135","259"
"21",19,"HUBER Daniel","AUT",1993,"133","133,5","258,1"
"22",20,"PREVC Domen","SLO",1999,"134,5","133,5","257,2"
"23",21,"HOERL Jan","AUT",1998,"133,5","132,5","257,1"
"24",22,"PREVC Peter","SLO",1992,"129","133","255,8"
"25",23,"KOUDELKA Roman","CZE",1989,"132","132","254,8"
"26",24,"SATO Keiichi","JPN",1997,"132,5","132,5","254"
"27",25,"ASCHENWALD Philipp","AUT",1995,"132","130,5","252,3"
"28",26,"PREVC Cene","SLO",1996,"134,5","129","248,8"
"29",27,"AMMANN Simon","SUI",1981,"131,5","126,5","242,6"
"30",28,"KOBAYASHI Junshiro","JPN",1991,"129","124,5","240,1"
"31",29,"HAYBOECK Michael","AUT",1991,"129","125,5","234,8"
"32",30,"BOYD-CLOWES Mackenzie","CAN",1991,"130,5","120","225,6"
"33",31,"AALTO Antti","FIN",1995,"128,5","","116,7"
"34",32,"PASCHKE Pius","GER",1990,"127","","116,2"
"35",33,"NAKAMURA Naoki","JPN",1996,"127,5","","115,8"
"36",34,"ZNISZCZOL Aleksander","POL",1994,"126","","112,5"
"37",35,"TROFIMOV Roman Sergeevich","RUS",1989,"125,5","","112,3"
"38",36,"ZOGRAFSKI Vladimir","BUL",1993,"121","","110,6"
"39",37,"TKACHENKO Sergey","KAZ",1999,"119,5","","110,3"
"40",38,"POLASEK Viktor","CZE",1997,"127,5","","110,2"
"41",39,"BUSKUM Andreas Granerud","NOR",1996,"121,5","","109,6"
"42",40,"HULA Stefan","POL",1986,"123,5","","105,9"
"43",41,"MAEAETTAE Jarkko","FIN",1994,"122,5","","105,4"
"44",42,"HAARE Anders","NOR",1999,"120","","102,5"
"45",43,"JUSTIN Rok","SLO",1993,"122","","101,5"
"46",44,"RAIMUND Philipp","GER",2000,"117,5","","98,2"
"47",45,"BICKNER Kevin","USA",1996,"120,5","","97"
"48",46,"KOT Maciej","POL",1991,"118","","91,8"
"49",47,"VASSILIEV Dimitry","RUS",1979,"114","","91,7"
"50",48,"MUMINOV Sabirzhan","KAZ",1994,"109","","86,6"
"51",49,"CHOI Heung-Chul","KOR",1981,"110","","80,2"
