"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AHONEN Mico","FIN",2001,"","","Tq"
"2",NA,"AIGRO Artti","EST",1999,"","","Tq"
"3",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"4",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"5",NA,"KORNILOV Denis","RUS",1986,"","","Tq"
"6",NA,"MUMINOV Sabirzhan","KAZ",1994,"","","Tq"
"7",NA,"NAKAMURA Naoki","JPN",1996,"","","Tq"
"8",NA,"NOUSIAINEN Eetu","FIN",1997,"","","Tq"
"9",NA,"POHJOLA Arttu","FIN",2001,"","","Tq"
"10",NA,"STURSA Vojtech","CZE",1995,"","","Tq"
"11",NA,"TROFIMOV Roman Sergeevich","RUS",1989,"","","Tq"
"12",NA,"WASEK Pawel","POL",1999,"","","Tq"
"13",NA,"KOBAYASHI Junshiro","JPN",1991,"","","DSQF"
"14",1,"KRAFT Stefan","AUT",1993,"129,5","129,5","284,1"
"15",2,"GEIGER Karl","GER",1993,"128,5","130,5","279,1"
"16",3,"TANDE Daniel Andre","NOR",1994,"124,5","128","273,3"
"17",4,"LANISEK Anze","SLO",1996,"124,5","128,5","272,5"
"18",5,"STOCH Kamil","POL",1987,"126,5","127,5","271,6"
"19",6,"KUBACKI Dawid","POL",1990,"127,5","126","270,3"
"20",7,"ZAJC Timi","SLO",2000,"125,5","126","268,6"
"21",8,"HUBER Stefan","AUT",1994,"125","126","266"
"22",9,"HAYBOECK Michael","AUT",1991,"127","124,5","265,4"
"23",10,"ASCHENWALD Philipp","AUT",1995,"122","127","261,4"
"24",11,"SCHMID Constantin","GER",1999,"123","125","258,1"
"25",12,"JOHANSSON Robert","NOR",1990,"120","126","256,5"
"26",13,"PREVC Cene","SLO",1996,"124","120,5","255,8"
"27",14,"KOBAYASHI Ryoyu","JPN",1996,"122","123","254,2"
"28",15,"LINDVIK Marius","NOR",1998,"121","124","254,1"
"29",16,"LEYHE Stephan","GER",1992,"122,5","122","253,9"
"30",17,"EISENBICHLER Markus","GER",1991,"125","119,5","249"
"31",18,"PREVC Peter","SLO",1992,"120,5","121,5","246,2"
"32",19,"KLIMOV Evgeniy","RUS",1994,"119","123","246"
"33",20,"JELAR Ziga","SLO",1997,"121","118","244,4"
"34",21,"ITO Daiki","JPN",1985,"122","119","244,2"
"35",21,"SATO Yukiya","JPN",1995,"124","121","244,2"
"36",23,"PEIER Killian","SUI",1995,"119,5","120,5","242,9"
"37",24,"SATO Keiichi","JPN",1997,"120","121,5","241,4"
"38",25,"HUBER Daniel","AUT",1993,"120","118,5","239,4"
"39",26,"SCHLIERENZAUER Gregor","AUT",1990,"120","118","238,9"
"40",27,"PREVC Domen","SLO",1999,"119","121","238,8"
"41",28,"AMMANN Simon","SUI",1981,"121,5","117,5","237,5"
"42",29,"HOERL Jan","AUT",1998,"118,5","119","237,1"
"43",30,"KOUDELKA Roman","CZE",1989,"119,5","117","235,2"
"44",31,"HAARE Anders","NOR",1999,"118","","117,9"
"45",32,"PEDERSEN Robin","NOR",1996,"118,5","","117,7"
"46",33,"SEMENIC Anze","SLO",1993,"118,5","","117,4"
"47",34,"PASCHKE Pius","GER",1990,"119,5","","117,3"
"48",35,"BOYD-CLOWES Mackenzie","CAN",1991,"118,5","","117,1"
"49",36,"FORFANG Johann Andre","NOR",1995,"116,5","","114,4"
"50",37,"ZYLA Piotr","POL",1987,"116","","109,2"
"51",38,"ZOGRAFSKI Vladimir","BUL",1993,"114","","107,6"
"52",39,"KYTOESAHO Niko","FIN",1999,"112,5","","105,9"
"53",40,"TKACHENKO Sergey","KAZ",1999,"113,5","","105,8"
"54",41,"DESCHWANDEN Gregor","SUI",1991,"112","","105,7"
"55",42,"MURANKA Klemens","POL",1994,"111,5","","104,8"
"56",43,"MAEAETTAE Jarkko","FIN",1994,"112,5","","103,5"
"57",44,"AALTO Antti","FIN",1995,"110","","101,5"
"58",44,"NAZAROV Mikhail","RUS",1994,"111,5","","101,5"
"59",46,"FREUND Severin","GER",1988,"107,5","","98,1"
"60",47,"SCHULER Andreas","SUI",1995,"109","","97,5"
"61",48,"ZNISZCZOL Aleksander","POL",1994,"107,5","","93,9"
"62",49,"WOLNY Jakub","POL",1995,"107,5","","87"
