"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"ALAMOMMO Andreas","FIN",1998,"","","Tq"
"2",NA,"BICKNER Kevin","USA",1996,"","","Tq"
"3",NA,"CECON Federico","ITA",1994,"","","Tq"
"4",NA,"GASIENICA Patrick","USA",1998,"","","Tq"
"5",NA,"INSAM Alex","ITA",1997,"","","Tq"
"6",NA,"KALINICHENKO Vitaliy","UKR",1993,"","","Tq"
"7",NA,"MAEAETTAE Jarkko","FIN",1994,"","","Tq"
"8",NA,"MARUSIAK Yevhen","UKR",2000,"","","Tq"
"9",NA,"LINDVIK Marius","NOR",1998,"","","DSQF"
"10",NA,"NAZAROV Mikhail","RUS",1994,"","","DNSF"
"11",1,"GEIGER Karl","GER",1993,"104,5","103,5","294,6"
"12",2,"KRAFT Stefan","AUT",1993,"102","103","286,9"
"13",3,"KUBACKI Dawid","POL",1990,"98,5","104","279,9"
"14",4,"STOCH Kamil","POL",1987,"101","100,5","279,8"
"15",5,"SCHMID Constantin","GER",1999,"107","102","279,1"
"16",6,"LEYHE Stephan","GER",1992,"101","104","277,6"
"17",7,"ZYLA Piotr","POL",1987,"102,5","103,5","276,6"
"18",8,"PASCHKE Pius","GER",1990,"101,5","101","274,5"
"19",9,"FORFANG Johann Andre","NOR",1995,"100","99","269,7"
"20",10,"LANISEK Anze","SLO",1996,"100,5","99","269,2"
"21",11,"SATO Yukiya","JPN",1995,"100","100","268,5"
"22",12,"ITO Daiki","JPN",1985,"98,5","100","266"
"23",13,"PREVC Domen","SLO",1999,"101","94,5","263,6"
"24",14,"KOUDELKA Roman","CZE",1989,"99","100","263,2"
"25",15,"HUBER Daniel","AUT",1993,"98","99","262,6"
"26",16,"HAYBOECK Michael","AUT",1991,"100","100","262,5"
"27",17,"PREVC Peter","SLO",1992,"96","100,5","261,3"
"28",18,"JUSTIN Rok","SLO",1993,"101,5","95","260,9"
"29",19,"PREVC Cene","SLO",1996,"98","98","260,4"
"30",20,"SCHLIERENZAUER Gregor","AUT",1990,"98","99","260,1"
"31",21,"PEIER Killian","SUI",1995,"98","98","258,8"
"32",22,"KLIMOV Evgeniy","RUS",1994,"98,5","98,5","257,6"
"33",23,"TANDE Daniel Andre","NOR",1994,"93","102,5","255,9"
"34",24,"POLASEK Viktor","CZE",1997,"98","96,5","253,5"
"35",25,"BUSKUM Andreas Granerud","NOR",1996,"95,5","99","252,2"
"36",26,"KOBAYASHI Ryoyu","JPN",1996,"94,5","99","250,5"
"37",27,"KOT Maciej","POL",1991,"96,5","98,5","249,1"
"38",28,"ROTH Luca","GER",2000,"97","96","249"
"39",29,"ZAJC Timi","SLO",2000,"99","96,5","248,3"
"40",30,"SATO Keiichi","JPN",1997,"97,5","95","241,4"
"41",31,"HAARE Anders","NOR",1999,"94,5","","122,6"
"42",32,"HULA Stefan","POL",1986,"95","","122,4"
"43",33,"ZOGRAFSKI Vladimir","BUL",1993,"96","","122,1"
"44",34,"NAKAMURA Naoki","JPN",1996,"95,5","","121,9"
"45",35,"KOBAYASHI Junshiro","JPN",1991,"96","","121,7"
"46",36,"ASCHENWALD Philipp","AUT",1995,"95","","121,3"
"47",36,"HOERL Jan","AUT",1998,"92,5","","121,3"
"48",38,"JOHANSSON Robert","NOR",1990,"96,5","","120,2"
"49",39,"SCHULER Andreas","SUI",1995,"93,5","","119,7"
"50",40,"DESCHWANDEN Gregor","SUI",1991,"94","","119,2"
"51",41,"TKACHENKO Sergey","KAZ",1999,"94","","118,9"
"52",42,"MUMINOV Sabirzhan","KAZ",1994,"92","","117,3"
"53",42,"TROFIMOV Roman Sergeevich","RUS",1989,"94","","117,3"
"54",44,"BOYD-CLOWES Mackenzie","CAN",1991,"93,5","","117,2"
"55",45,"WOLNY Jakub","POL",1995,"92,5","","115,1"
"56",46,"SAKALA Filip","CZE",1996,"90","","112,5"
"57",47,"HAMANN Martin","GER",1997,"89","","110,5"
"58",48,"BRESADOLA Giovanni","ITA",2001,"87,5","","105,6"
