"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",1,"KOBAYASHI Ryoyu","JPN",1996,"132,5","134","272"
"2",2,"PREVC Peter","SLO",1992,"123,5","127,5","263,1"
"3",3,"HOERL Jan","AUT",1998,"134","136,5","262"
"4",4,"GEIGER Karl","GER",1993,"133","125","260,6"
"5",5,"HUBER Daniel","AUT",1993,"128","139,5","259"
"6",6,"ASCHENWALD Philipp","AUT",1995,"128,5","134","257,7"
"7",7,"LINDVIK Marius","NOR",1998,"126,5","122,5","255,2"
"8",8,"JOHANSSON Robert","NOR",1990,"134","122","253,4"
"9",9,"STOCH Kamil","POL",1987,"128,5","118,5","252,7"
"10",10,"LEYHE Stephan","GER",1992,"117,5","128,5","250,1"
"11",11,"PEIER Killian","SUI",1995,"120,5","125,5","246,2"
"12",12,"FORFANG Johann Andre","NOR",1995,"118,5","126,5","246,1"
"13",13,"PASCHKE Pius","GER",1990,"121","122","244,2"
"14",14,"LANISEK Anze","SLO",1996,"124","125","241,7"
"15",15,"SCHLIERENZAUER Gregor","AUT",1990,"115,5","127,5","241,3"
"16",16,"JUSTIN Rok","SLO",1993,"122","116","240,6"
"17",17,"BOYD-CLOWES Mackenzie","CAN",1991,"126","123,5","240"
"18",18,"KRAFT Stefan","AUT",1993,"127","125,5","237,4"
"19",19,"PREVC Domen","SLO",1999,"118","122,5","236,6"
"20",20,"DESCHWANDEN Gregor","SUI",1991,"123,5","124,5","236,1"
"21",21,"SATO Keiichi","JPN",1997,"130,5","119","235,7"
"22",22,"BICKNER Kevin","USA",1996,"117,5","121","232,4"
"23",23,"IWASA Yuken","JPN",1999,"123","120,5","231,2"
"24",24,"TKACHENKO Sergey","KAZ",1999,"132","112,5","228,9"
"25",25,"HULA Stefan","POL",1986,"115,5","117,5","220,3"
"26",26,"SCHULER Andreas","SUI",1995,"132","112,5","218,4"
"27",27,"ZOGRAFSKI Vladimir","BUL",1993,"113,5","116","216,2"
"28",28,"RINGEN Sondre","NOR",1996,"120","113","216,1"
"29",29,"PETER Dominik","SUI",2001,"131","103,5","211,9"
"30",30,"BARTOL Tilen","SLO",1997,"119,5","110","210,8"
"31",31,"HAARE Anders","NOR",1999,"116","","105,3"
"32",32,"BAER Moritz","GER",1997,"118,5","","105,2"
"33",33,"ZYLA Piotr","POL",1987,"111","","104,9"
"34",34,"HAYBOECK Michael","AUT",1991,"114,5","","104,4"
"35",35,"KOT Maciej","POL",1991,"109,5","","103,9"
"36",36,"KOUDELKA Roman","CZE",1989,"117","","103,2"
"37",37,"KLIMOV Evgeniy","RUS",1994,"109,5","","103,1"
"38",38,"MUMINOV Sabirzhan","KAZ",1994,"116","","103"
"39",38,"NAZAROV Mikhail","RUS",1994,"114","","103"
"40",40,"STURSA Vojtech","CZE",1995,"120,5","","102,9"
"41",41,"EISENBICHLER Markus","GER",1991,"107,5","","100,3"
"42",42,"POLASEK Viktor","CZE",1997,"114,5","","100,2"
"43",43,"TROFIMOV Roman Sergeevich","RUS",1989,"116","","98,9"
"44",44,"MURANKA Klemens","POL",1994,"113,5","","98,7"
"45",45,"SAKALA Filip","CZE",1996,"107","","96,9"
"46",46,"AALTO Antti","FIN",1995,"110,5","","96,6"
"47",47,"KUBACKI Dawid","POL",1990,"113,5","","96,5"
"48",48,"SCHMID Constantin","GER",1999,"110,5","","96,4"
"49",49,"CHOI Seou","KOR",1982,"117","","94,5"
"50",50,"TAKEUCHI Taku","JPN",1987,"104,5","","94"
"51",51,"TOCHIMOTO Shohei","JPN",1989,"111","","93,4"
"52",52,"WOLNY Jakub","POL",1995,"108,5","","93"
"53",53,"POHJOLA Arttu","FIN",2001,"100","","90,5"
"54",53,"SEMENIC Anze","SLO",1993,"113","","90,5"
"55",55,"ITO Kenshiro","JPN",1990,"107","","89,7"
"56",56,"INSAM Alex","ITA",1997,"107","","88,4"
"57",57,"ZAJC Timi","SLO",2000,"107","","86,5"
"58",58,"TANDE Daniel Andre","NOR",1994,"107","","84,1"
"59",59,"KARLEN Gabriel","SUI",1994,"102","","78,2"
"60",60,"KYTOESAHO Niko","FIN",1999,"105","","77,6"
"61",61,"FREITAG Richard","GER",1991,"92,5","","74,2"
"62",62,"CHOI Heung-Chul","KOR",1981,"97,5","","69,9"
"63",63,"AMMANN Simon","SUI",1981,"85,5","","60,5"
