"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",1,"GRANERUD Halvor Egner","NOR",1996,"135,5","124,5","241,5"
"2",2,"JOHANSSON Robert","NOR",1990,"139","118,5","240,7"
"3",3,"LINDVIK Marius","NOR",1998,"131,5","127","240,6"
"4",4,"EISENBICHLER Markus","GER",1991,"127","129,5","231,6"
"5",5,"SATO Keiichi","JPN",1997,"124,5","127,5","219,8"
"6",6,"WASEK Pawel","POL",1999,"128","121,5","218,9"
"7",7,"FORFANG Johann Andre","NOR",1995,"126","121,5","217,9"
"8",7,"SCHMID Constantin","GER",1999,"122","125,5","217,9"
"9",9,"DESCHWANDEN Gregor","SUI",1991,"126","121,5","216,5"
"10",10,"ZAJC Timi","SLO",2000,"124","127","215,2"
"11",11,"PAVLOVCIC Bor","SLO",1998,"123","124,5","210,4"
"12",12,"ERIKSEN Sander Vossan","NOR",2000,"122","124","208,9"
"13",13,"PREVC Peter","SLO",1992,"124","120","208,3"
"14",14,"PASCHKE Pius","GER",1990,"129,5","113","207,8"
"15",15,"KOBAYASHI Ryoyu","JPN",1996,"118","122","202,6"
"16",16,"NAZAROV Mikhail","RUS",1994,"119,5","123,5","199,8"
"17",17,"LANISEK Anze","SLO",1996,"128","113","199,1"
"18",18,"FREUND Severin","GER",1988,"118","118,5","198,9"
"19",19,"ZNISZCZOL Aleksander","POL",1994,"113,5","123,5","198,6"
"20",20,"HAMANN Martin","GER",1997,"117,5","119","196,5"
"21",21,"SEMENIC Anze","SLO",1993,"123,5","114,5","191,1"
"22",22,"HAARE Anders","NOR",1999,"117,5","115,5","188,6"
"23",23,"TROFIMOV Roman Sergeevich","RUS",1989,"119","114,5","185,8"
"24",24,"BARTOL Tilen","SLO",1997,"124","116,5","184,1"
"25",25,"SADREEV Danil","RUS",2003,"122,5","107","174,5"
"26",26,"JELAR Ziga","SLO",1997,"118,5","102","171,9"
"27",27,"TANDE Daniel Andre","NOR",1994,"120","98","163,3"
"28",28,"KOBAYASHI Junshiro","JPN",1991,"110","104,5","160,6"
"29",29,"KLIMOV Evgeniy","RUS",1994,"120,5","94,5","157,8"
"30",30,"SATO Yukiya","JPN",1995,"122,5","97","157,2"
"31",31,"KOT Maciej","POL",1991,"114","","89,1"
"32",32,"AMMANN Simon","SUI",1981,"113","","86,8"
"33",33,"MANKOV Ilya","RUS",2003,"113,5","","84"
"34",34,"HAUSWIRTH Sandro","SUI",2000,"109,5","","83,2"
"35",35,"HULA Stefan","POL",1986,"109,5","","80"
"36",36,"PETER Dominik","SUI",2001,"104,5","","76,4"
"37",37,"NAKAMURA Naoki","JPN",1996,"107","","73,8"
"38",38,"ITO Daiki","JPN",1985,"108","","73,5"
"39",39,"WELLINGER Andreas","GER",1995,"101","","71,9"
"40",40,"KORNILOV Denis","RUS",1986,"99,5","","68,3"
"41",41,"HAZETDINOV Ilmir","RUS",1991,"104,5","","66,8"
"42",42,"PILCH Tomasz","POL",2000,"97","","61,3"
"43",43,"MATAVIN Nikolai","RUS",1997,"104","","60,2"
"44",44,"WOLNY Jakub","POL",1995,"94","","53,2"
"45",45,"SHISHKIN Vadim","RUS",1995,"92,5","","40"
