"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"BARTOL Tilen","SLO",1997,"","","DSQK"
"2",NA,"HOERL Jan","AUT",1998,"","","DSQK"
"3",NA,"SADREEV Danil","RUS",2003,"","","DSQF"
"4",1,"GRANERUD Halvor Egner","NOR",1996,"132,5","132","270"
"5",2,"HUBER Daniel","AUT",1993,"131","133","255,7"
"6",3,"JOHANSSON Robert","NOR",1990,"120,5","142,5","254,1"
"7",4,"LACKNER Thomas","AUT",1993,"128,5","131","249,3"
"8",5,"PASCHKE Pius","GER",1990,"128","126,5","241,6"
"9",6,"ZNISZCZOL Aleksander","POL",1994,"131","122","230,6"
"10",7,"KLIMOV Evgeniy","RUS",1994,"132","120,5","230,5"
"11",8,"SATO Yukiya","JPN",1995,"127,5","124","230,2"
"12",9,"LANISEK Anze","SLO",1996,"125","123","227,3"
"13",10,"SCHIFFNER Markus","AUT",1992,"124","123","223,9"
"14",11,"HAMANN Martin","GER",1997,"123,5","123,5","223,5"
"15",12,"KOBAYASHI Ryoyu","JPN",1996,"122","122","223,1"
"16",13,"PAVLOVCIC Bor","SLO",1998,"119","129","222,9"
"17",14,"SATO Keiichi","JPN",1997,"126","116","222,5"
"18",15,"WOLNY Jakub","POL",1995,"133","122","221,7"
"19",16,"PETER Dominik","SUI",2001,"125,5","122,5","219,2"
"20",17,"DESCHWANDEN Gregor","SUI",1991,"122","123,5","218"
"21",18,"TANDE Daniel Andre","NOR",1994,"125,5","116","216,9"
"22",19,"ERIKSEN Sander Vossan","NOR",2000,"121","124","213,5"
"23",20,"FORFANG Johann Andre","NOR",1995,"121","119,5","212,7"
"24",21,"NAZAROV Mikhail","RUS",1994,"121,5","121,5","212,1"
"25",22,"ZAJC Timi","SLO",2000,"128,5","111","211,7"
"26",23,"STEINER Maximilian","AUT",1996,"128,5","114","202"
"27",24,"JELAR Ziga","SLO",1997,"122","115,5","201,4"
"28",25,"KOT Maciej","POL",1991,"123,5","111","198,3"
"29",26,"LINDVIK Marius","NOR",1998,"125","114","198,1"
"30",27,"TROFIMOV Roman Sergeevich","RUS",1989,"125,5","115,5","197,8"
"31",28,"EISENBICHLER Markus","GER",1991,"136,5","80","183,6"
"32",29,"NAKAMURA Naoki","JPN",1996,"120,5","104,5","176,2"
"33",30,"PILCH Tomasz","POL",2000,"124","96,5","164,8"
"34",31,"ITO Daiki","JPN",1985,"117,5","","104,7"
"35",32,"WASEK Pawel","POL",1999,"121","","104,3"
"36",33,"FETTNER Manuel","AUT",1985,"118,5","","103,6"
"37",34,"SEMENIC Anze","SLO",1993,"123,5","","103"
"38",35,"AMMANN Simon","SUI",1981,"119,5","","102,7"
"39",36,"KOBAYASHI Junshiro","JPN",1991,"116,5","","101"
"40",36,"PREVC Peter","SLO",1992,"116","","101"
"41",38,"SCHMID Constantin","GER",1999,"117,5","","100,4"
"42",39,"FREUND Severin","GER",1988,"118","","99,5"
"43",40,"WELLINGER Andreas","GER",1995,"118","","96,4"
"44",41,"HULA Stefan","POL",1986,"117","","91,9"
"45",42,"HAARE Anders","NOR",1999,"110","","86,7"
"46",43,"KORNILOV Denis","RUS",1986,"110","","77,5"
"47",44,"HAUSWIRTH Sandro","SUI",2000,"106","","77,2"
"48",45,"MATAVIN Nikolai","RUS",1997,"102","","65,1"
"49",46,"SHISHKIN Vadim","RUS",1995,"95","","52,8"
"50",47,"HAZETDINOV Ilmir","RUS",1991,"94","","47,1"
