"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"AMMANN Simon","SUI",1981,"","","Tq"
"2",NA,"CACINA Daniel Andrei","ROU",2001,"","","Tq"
"3",NA,"CONTAMINE Mathis","FRA",2001,"","","Tq"
"4",NA,"INSAM Alex","ITA",1997,"","","Tq"
"5",NA,"KOUDELKA Roman","CZE",1989,"","","Tq"
"6",NA,"LARSON Casey","USA",1998,"","","Tq"
"7",NA,"MANKOV Ilya","RUS",2003,"","","Tq"
"8",NA,"SCHULER Andreas","SUI",1995,"","","Tq"
"9",1,"GRANERUD Halvor Egner","NOR",1996,"141,5","135,5","305,4"
"10",2,"EISENBICHLER Markus","GER",1991,"134","137,5","303,7"
"11",3,"ZYLA Piotr","POL",1987,"132,5","127,5","296,2"
"12",4,"LANISEK Anze","SLO",1996,"132","131","295,6"
"13",5,"PASCHKE Pius","GER",1990,"131","133","294,1"
"14",6,"BOYD-CLOWES Mackenzie","CAN",1991,"132,5","135","293,8"
"15",7,"STOCH Kamil","POL",1987,"137","127,5","293,4"
"16",8,"KUBACKI Dawid","POL",1990,"130,5","128","285,6"
"17",9,"SATO Yukiya","JPN",1995,"135,5","121,5","284,8"
"18",10,"PREVC Cene","SLO",1996,"127","128","282,6"
"19",11,"JOHANSSON Robert","NOR",1990,"126,5","125,5","279"
"20",12,"HAYBOECK Michael","AUT",1991,"129,5","124","275,6"
"21",13,"HUBER Daniel","AUT",1993,"139,5","121","275,2"
"22",14,"LINDVIK Marius","NOR",1998,"126","125,5","274,9"
"23",15,"STEKALA Andrzej","POL",1995,"126,5","123,5","274,7"
"24",16,"KOBAYASHI Ryoyu","JPN",1996,"126","131","272"
"25",17,"PREVC Domen","SLO",1999,"122","128","271,1"
"26",18,"KYTOESAHO Niko","FIN",1999,"125","131,5","270,9"
"27",19,"TANDE Daniel Andre","NOR",1994,"121,5","129,5","269"
"28",20,"FORFANG Johann Andre","NOR",1995,"124","130,5","268,9"
"29",21,"HAMANN Martin","GER",1997,"125,5","128","263"
"30",22,"MURANKA Klemens","POL",1994,"127,5","123","262,7"
"31",23,"AALTO Antti","FIN",1995,"124,5","124","260,1"
"32",24,"SCHLIERENZAUER Gregor","AUT",1990,"123","124","259,6"
"33",25,"DESCHWANDEN Gregor","SUI",1991,"122","125,5","259"
"34",26,"FETTNER Manuel","AUT",1985,"121","125","252,2"
"35",27,"POLASEK Viktor","CZE",1997,"120,5","122","252"
"36",28,"AIGRO Artti","EST",1999,"122,5","121","244,5"
"37",29,"KOZISEK Cestmir","CZE",1991,"121,5","114","236,1"
"38",30,"SOUKUP Matthew","CAN",1997,"123","110","227,3"
"39",31,"NAKAMURA Naoki","JPN",1996,"116,5","","122,3"
"40",32,"WELLINGER Andreas","GER",1995,"117","","120,5"
"41",33,"PREVC Peter","SLO",1992,"117,5","","120,3"
"42",34,"SIEGEL David","GER",1996,"121","","119,7"
"43",35,"PAVLOVCIC Bor","SLO",1998,"120,5","","119,4"
"44",36,"KLIMOV Evgeniy","RUS",1994,"120,5","","119,2"
"45",37,"KOBAYASHI Junshiro","JPN",1991,"117,5","","118,2"
"46",38,"ASCHENWALD Philipp","AUT",1995,"118,5","","117,3"
"47",39,"FREUND Severin","GER",1988,"113,5","","114,3"
"48",40,"JUSTIN Rok","SLO",1993,"115,5","","114,1"
"49",41,"SCHMID Constantin","GER",1999,"116","","113,7"
"50",42,"SADREEV Danil","RUS",2003,"113","","111,5"
"51",43,"BARTOL Tilen","SLO",1997,"109,5","","110,1"
"52",44,"PETER Dominik","SUI",2001,"110,5","","107,7"
"53",45,"ITO Daiki","JPN",1985,"110","","107,2"
"54",46,"SATO Keiichi","JPN",1997,"113","","106"
"55",47,"ERIKSEN Sander Vossan","NOR",2000,"111","","105,5"
"56",48,"ZNISZCZOL Aleksander","POL",1994,"108","","104,3"
"57",49,"LACKNER Thomas","AUT",1993,"104","","98,8"
"58",50,"BRESADOLA Giovanni","ITA",2001,"100,5","","89,1"
