"","Miejsce","Nazwisko","Narodowość","Rok.Urodzenia","skok.1","skok.2","Suma.punktow"
"1",NA,"INSAM Alex","ITA",1997,"","","Tq"
"2",NA,"MALTSEV Kevin","EST",2000,"","","Tq"
"3",NA,"MARKENG Thomas Aasen","NOR",2000,"","","Tq"
"4",NA,"TKACHENKO Sergey","KAZ",1999,"","","Tq"
"5",NA,"HUBER Daniel","AUT",1993,"","","DSQF"
"6",1,"KOBAYASHI Ryoyu","JPN",1996,"136,5","134,5","268,9"
"7",2,"STEKALA Andrzej","POL",1995,"137","133,5","268,6"
"8",3,"LINDVIK Marius","NOR",1998,"133","141,5","267,8"
"9",4,"LANISEK Anze","SLO",1996,"133","135","266,9"
"10",5,"PAVLOVCIC Bor","SLO",1998,"137","130","266,4"
"11",6,"TANDE Daniel Andre","NOR",1994,"134,5","134","263,5"
"12",7,"GRANERUD Halvor Egner","NOR",1996,"139","129","263"
"13",8,"ZYLA Piotr","POL",1987,"132","134,5","257,5"
"14",9,"JOHANSSON Robert","NOR",1990,"133","131","256,8"
"15",10,"KRAFT Stefan","AUT",1993,"132,5","128,5","252,9"
"16",11,"KUBACKI Dawid","POL",1990,"132","131","251,6"
"17",12,"SATO Yukiya","JPN",1995,"134","128","250,7"
"18",13,"ASCHENWALD Philipp","AUT",1995,"132","134,5","250"
"19",14,"EISENBICHLER Markus","GER",1991,"132","131","249,8"
"20",14,"PASCHKE Pius","GER",1990,"131,5","132","249,8"
"21",16,"SATO Keiichi","JPN",1997,"128","131,5","247,5"
"22",17,"PREVC Domen","SLO",1999,"131","133","246,7"
"23",18,"ZAJC Timi","SLO",2000,"135","129","246,6"
"24",19,"FORFANG Johann Andre","NOR",1995,"127,5","135","245,6"
"25",20,"STOCH Kamil","POL",1987,"127,5","132","244,7"
"26",21,"HOERL Jan","AUT",1998,"131,5","131,5","244,4"
"27",22,"NAZAROV Mikhail","RUS",1994,"131","131,5","243,5"
"28",23,"GEIGER Karl","GER",1993,"127,5","132","239,8"
"29",24,"DESCHWANDEN Gregor","SUI",1991,"131","130,5","239,7"
"30",25,"HAYBOECK Michael","AUT",1991,"127","131,5","236,6"
"31",26,"AMMANN Simon","SUI",1981,"132","126","235,1"
"32",27,"KLIMOV Evgeniy","RUS",1994,"131","125","232,5"
"33",28,"NAKAMURA Naoki","JPN",1996,"134","122,5","232,2"
"34",29,"WOHLGENANNT Ulrich","AUT",1994,"133,5","120","228,2"
"35",30,"FREUND Severin","GER",1988,"124","128","225"
"36",31,"BARTOL Tilen","SLO",1997,"126","","110,8"
"37",32,"WASEK Pawel","POL",1999,"125,5","","110,7"
"38",33,"KORNILOV Denis","RUS",1986,"125","","110,4"
"39",34,"HAMANN Martin","GER",1997,"125","","109,9"
"40",35,"BOYD-CLOWES Mackenzie","CAN",1991,"125,5","","109,7"
"41",36,"WOLNY Jakub","POL",1995,"121,5","","107,6"
"42",37,"JELAR Ziga","SLO",1997,"122,5","","107,5"
"43",38,"KOT Maciej","POL",1991,"123,5","","107,2"
"44",38,"MURANKA Klemens","POL",1994,"124","","107,2"
"45",40,"PILCH Tomasz","POL",2000,"124","","106,8"
"46",41,"HULA Stefan","POL",1986,"123,5","","104,1"
"47",42,"LACKNER Thomas","AUT",1993,"123","","102,8"
"48",43,"SCHMID Constantin","GER",1999,"121,5","","102,3"
"49",44,"ZOGRAFSKI Vladimir","BUL",1993,"122","","100,3"
"50",45,"ZNISZCZOL Aleksander","POL",1994,"121,5","","100"
"51",46,"DEAN Decker","USA",2000,"120","","97"
"52",47,"KALINICHENKO Vitaliy","UKR",1993,"116","","90,8"
"53",48,"MUMINOV Sabirzhan","KAZ",1994,"114","","84,4"
"54",49,"MARUSIAK Yevhen","UKR",2000,"107","","70,6"
